SpeciesNum,SampleID,Beta,Gamma,CollapseTP,RecoveryTP,RelativeHysteresis
1,1,NA,NA,0.166653307,0.063486974,28.65731463
1,2,NA,NA,0.13490982,0.051943888,23.04609218
1,3,NA,NA,0.216432866,0.082244489,37.2745491
1,4,NA,NA,0.196953908,0.07503006,33.86773547
1,5,NA,NA,0.108216433,0.041122244,18.63727455
1,6,NA,NA,0.093787575,0.036072144,16.03206413
1,7,NA,NA,0.08008016,0.030300601,13.82765531
1,8,NA,NA,0.077194389,0.029579158,13.22645291
1,9,NA,NA,0.216432866,0.082244489,37.2745491
1,10,NA,NA,0.072144289,0.02741483,12.4248497
1,11,NA,NA,0.072144289,0.02741483,12.4248497
1,12,NA,NA,0.113987976,0.043286573,19.63927856
1,13,NA,NA,0.093787575,0.036072144,16.03206413
1,14,NA,NA,0.113987976,0.043286573,19.63927856
1,15,NA,NA,0.13490982,0.051943888,23.04609218
1,16,NA,NA,0.120480962,0.046172345,20.64128257
1,17,NA,NA,0.090180361,0.034629259,15.43086172
1,18,NA,NA,0.072144289,0.02741483,12.4248497
1,19,NA,NA,0.154388778,0.059158317,26.45290581
1,20,NA,NA,0.120480962,0.046172345,20.64128257
1,21,NA,NA,0.093787575,0.036072144,16.03206413
1,22,NA,NA,0.154388778,0.059158317,26.45290581
1,23,NA,NA,0.154388778,0.059158317,26.45290581
1,24,NA,NA,0.196953908,0.07503006,33.86773547
1,25,NA,NA,0.113987976,0.043286573,19.63927856
1,26,NA,NA,0.103166333,0.039679359,17.63527054
1,27,NA,NA,0.090180361,0.034629259,15.43086172
1,28,NA,NA,0.216432866,0.082244489,37.2745491
1,29,NA,NA,0.074308617,0.028857715,12.6252505
1,30,NA,NA,0.180360721,0.068537074,31.06212425
1,31,NA,NA,0.144288577,0.054829659,24.8496994
1,32,NA,NA,0.113987976,0.043286573,19.63927856
1,33,NA,NA,0.113987976,0.043286573,19.63927856
1,34,NA,NA,0.144288577,0.054829659,24.8496994
1,35,NA,NA,0.090180361,0.034629259,15.43086172
1,36,NA,NA,0.074308617,0.028857715,12.6252505
1,37,NA,NA,0.074308617,0.028857715,12.6252505
1,38,NA,NA,0.103166333,0.039679359,17.63527054
1,39,NA,NA,0.144288577,0.054829659,24.8496994
1,40,NA,NA,0.126973948,0.048336673,21.84368737
1,41,NA,NA,0.103166333,0.039679359,17.63527054
1,42,NA,NA,0.144288577,0.054829659,24.8496994
1,43,NA,NA,0.13490982,0.051943888,23.04609218
1,44,NA,NA,0.077194389,0.029579158,13.22645291
1,45,NA,NA,0.113987976,0.043286573,19.63927856
1,46,NA,NA,0.144288577,0.054829659,24.8496994
1,47,NA,NA,0.093787575,0.036072144,16.03206413
1,48,NA,NA,0.196953908,0.07503006,33.86773547
1,49,NA,NA,0.098116232,0.03751503,16.83366733
1,50,NA,NA,0.08008016,0.030300601,13.82765531
1,51,NA,NA,0.093787575,0.036072144,16.03206413
1,52,NA,NA,0.144288577,0.054829659,24.8496994
1,53,NA,NA,0.216432866,0.082244489,37.2745491
1,54,NA,NA,0.077194389,0.029579158,13.22645291
1,55,NA,NA,0.077194389,0.029579158,13.22645291
1,56,NA,NA,0.126973948,0.048336673,21.84368737
1,57,NA,NA,0.144288577,0.054829659,24.8496994
1,58,NA,NA,0.103166333,0.039679359,17.63527054
1,59,NA,NA,0.144288577,0.054829659,24.8496994
1,60,NA,NA,0.126973948,0.048336673,21.84368737
1,61,NA,NA,0.13490982,0.051943888,23.04609218
1,62,NA,NA,0.108216433,0.041122244,18.63727455
1,63,NA,NA,0.082965932,0.031743487,14.22845691
1,64,NA,NA,0.166653307,0.063486974,28.65731463
1,65,NA,NA,0.098116232,0.03751503,16.83366733
1,66,NA,NA,0.126973948,0.048336673,21.84368737
1,67,NA,NA,0.086573146,0.033186373,14.82965932
1,68,NA,NA,0.093787575,0.036072144,16.03206413
1,69,NA,NA,0.074308617,0.028857715,12.6252505
1,70,NA,NA,0.13490982,0.051943888,23.04609218
1,71,NA,NA,0.098116232,0.03751503,16.83366733
1,72,NA,NA,0.103166333,0.039679359,17.63527054
1,73,NA,NA,0.086573146,0.033186373,14.82965932
1,74,NA,NA,0.216432866,0.082244489,37.2745491
1,75,NA,NA,0.098116232,0.03751503,16.83366733
1,76,NA,NA,0.072144289,0.02741483,12.4248497
1,77,NA,NA,0.144288577,0.054829659,24.8496994
1,78,NA,NA,0.082965932,0.031743487,14.22845691
1,79,NA,NA,0.120480962,0.046172345,20.64128257
1,80,NA,NA,0.13490982,0.051943888,23.04609218
1,81,NA,NA,0.077194389,0.029579158,13.22645291
1,82,NA,NA,0.08008016,0.030300601,13.82765531
1,83,NA,NA,0.086573146,0.033186373,14.82965932
1,84,NA,NA,0.108216433,0.041122244,18.63727455
1,85,NA,NA,0.113987976,0.043286573,19.63927856
1,86,NA,NA,0.13490982,0.051943888,23.04609218
1,87,NA,NA,0.077194389,0.029579158,13.22645291
