"Beta","Gamma","BioEffect"
0,0,2.30460921843683
0,0.1,12.625250501002
0.1,0,-0.501002004008072
0,0.2,21.1422845691383
0.2,0,-4.00801603206418
0,0.3,24.1482965931863
0.3,0,-8.01603206412831
0,0.4,22.8456913827655
0.4,0,-9.31863727454914
0,0.5,26.4529058116231
0.5,0,-10.4208416833668
0,0.6,27.8557114228456
0.6,0,-10.7214428857716
0,0.7,31.8637274549097
0.7,0,-7.91583166332671
0,0.8,35.9719438877754
0.8,0,-7.41482965931869
0,0.9,37.6753507014028
0.9,0,-5.71142284569144
0,1,43.0861723446893
1,0,-6.01202404809624
0.1,0.1,1.80360721442881
0.1,0.2,9.01803607214425
0.2,0.1,-1.1022044088177
0.1,0.3,18.8376753507014
0.3,0.1,-2.00400801603212
0.1,0.4,21.0420841683366
0.4,0.1,-4.50901803607221
0.1,0.5,20.6412825651302
0.5,0.1,-5.91182364729464
0.1,0.6,23.3466933867734
0.6,0.1,-6.11222444889785
0.1,0.7,22.5450901803608
0.7,0.1,-4.00801603206419
0.1,0.8,26.9539078156312
0.8,0.1,-3.40681362725455
0.1,0.9,28.75751503006
0.9,0.1,-4.40881763527059
0.1,1,31.5631262525049
1,0.1,-4.90981963927862
0.2,0.2,1.10220440881757
0.2,0.3,3.60721442885766
0.3,0.2,-0.701402805611277
0.2,0.4,13.8276553106211
0.4,0.2,-1.70340681362732
0.2,0.5,17.1342685370741
0.5,0.2,-3.30661322645295
0.2,0.6,17.5350701402806
0.6,0.2,-3.30661322645296
0.2,0.7,18.9378757515029
0.7,0.2,-3.20641282565136
0.2,0.8,21.5430861723446
0.8,0.2,-3.30661322645296
0.2,0.9,23.3466933867734
0.9,0.2,-4.30861723446899
0.2,1,28.5571142284569
1,0.2,-4.10821643286577
0.3,0.3,1.20240480961919
0.3,0.4,2.80561122244486
0.4,0.3,-2.00400801603212
0.3,0.5,5.91182364729453
0.5,0.3,-3.50701402805615
0.3,0.6,12.0240480961922
0.6,0.3,-4.50901803607218
0.3,0.7,14.2284569138277
0.7,0.3,-4.809619238477
0.3,0.8,16.9338677354709
0.8,0.3,-4.10821643286579
0.3,0.9,17.7354709418837
0.9,0.3,-4.809619238477
0.3,1,21.4428857715431
1,0.3,-5.11022044088181
0.4,0.4,-0.701402805611266
0.4,0.5,1.10220440881758
0.5,0.4,-3.60721442885777
0.4,0.6,5.61122244488973
0.6,0.4,-4.809619238477
0.4,0.7,8.61723446893782
0.7,0.4,-5.01002004008022
0.4,0.8,11.2224448897795
0.8,0.4,-5.71142284569143
0.4,0.9,12.8256513026052
0.9,0.4,-5.51102204408823
0.4,1,13.1262525050099
1,0.4,-6.11222444889784
0.5,0.5,-2.30460921843693
0.5,0.6,0.100200400801555
0.6,0.5,-3.60721442885777
0.5,0.7,3.10621242484967
0.7,0.5,-5.51102204408821
0.5,0.8,5.51102204408811
0.8,0.5,-6.21242484969945
0.5,0.9,9.0180360721442
0.9,0.5,-6.41282565130265
0.5,1,10.5210420841683
1,0.5,-6.41282565130267
0.6,0.6,-2.40480961923852
0.6,0.7,-1.90380761523052
0.7,0.6,-4.10821643286578
0.6,0.8,1.60320641282571
0.8,0.6,-6.41282565130267
0.6,0.9,2.10420841683365
0.9,0.6,-6.91382765531067
0.6,1,4.20841683366734
1,0.6,-6.81362725450906
0.7,0.7,-3.80761523046097
0.7,0.8,-1.5030060120241
0.8,0.7,-5.21042084168342
0.7,0.9,-0.100200400801754
0.9,0.7,-7.21442885771548
0.7,1,0.701402805611224
1,0.7,-7.8156312625251
0.8,0.8,-4.00801603206418
0.8,0.9,-3.10621242484971
0.9,0.8,-6.61322645290586
0.8,1,-1.90380761523053
1,0.8,-8.41683366733471
0.9,0.9,-5.41082164328656
0.9,1,-5.4108216432866
1,0.9,-8.21643286573152
1,1,-7.8156312625251
