"Year","Month","DiversityCoeff"
1985,1,0.205900049978374
1985,2,0.19662299172478
1985,3,0.205845370942208
1985,4,0.207956853293674
1985,5,0.193401757762458
1985,6,0.186987319377437
1985,7,0.204062017423445
1985,8,0.213416759273538
1985,9,0.196518982100117
1985,10,0.170556293160182
1985,11,0.172171078211472
1985,12,0.164103800094598
1986,1,0.176704369471518
1986,2,0.203461401501042
1986,3,0.184263984298811
1986,4,0.189766464275803
1986,5,0.171531418619669
1986,6,0.174537126810405
1986,7,0.201446470760936
1986,8,0.205312444639322
1986,9,0.208418941583015
1986,10,0.221735923298421
1986,11,0.217741409324984
1986,12,0.211221933080289
1987,1,0.214648147403194
1987,2,0.21817923327501
1987,3,0.211670762426842
1987,4,0.210308051993112
1987,5,0.25234860370832
1987,6,0.242066462908994
1987,7,0.235629215730637
1987,8,0.24254775831809
1987,9,0.257455230813118
1987,10,0.224994461200498
1987,11,0.222288749721836
1987,12,0.170955194850592
1988,1,0.180984916486056
1988,2,0.203611073041374
1988,3,0.237987489021758
1988,4,0.20351009954813
1988,5,0.208032175153476
1988,6,0.189812080966934
1988,7,0.191681397657459
1988,8,0.197011070128391
1988,9,0.193080761528517
1988,10,0.176656188556222
1988,11,0.176619880781141
1988,12,0.201763818301445
1989,1,0.170765266698891
1989,2,0.159695460181979
1989,3,0.148900678826202
1989,4,0.157093713938485
1989,5,0.161335956233038
1989,6,0.17346653979238
1989,7,0.188182857511509
1989,8,0.167095245202221
1989,9,0.172781347375618
1989,10,0.167832152403011
1989,11,0.174766962497876
1989,12,0.170744411797861
1990,1,0.156769662964159
1990,2,0.181074917139919
1990,3,0.186692706590987
1990,4,0.19220461692682
1990,5,0.180894364422445
1990,6,0.189140508768858
1990,7,0.212489048886119
1990,8,0.169003003802289
1990,9,0.181608243145061
1990,10,0.182133913051247
1990,11,0.194450999302125
1990,12,0.181613471648072
1991,1,0.181743943004343
1991,2,0.14873028406081
1991,3,0.152770431206755
1991,4,0.147820674342373
1991,5,0.143933499745623
1991,6,0.145987914160848
1991,7,0.155461435851281
1991,8,0.113513927647128
1991,9,0.0732070364025166
1991,10,0.0521839067915445
1991,11,0.0788330201354797
1991,12,0.0563667803509681
1992,1,0.0676865113228883
1992,2,0.0595615336738539
1992,3,0.0445847478583472
1992,4,0.0514850388656633
1992,5,0.0395725832472569
1992,6,0.0471067528654359
1992,7,0.0393622048228018
1992,8,0.038013447817589
1992,9,0.0447945687304669
1992,10,0.0528354100737284
1992,11,0.0449993190109938
1992,12,0.0467614594350126
1993,1,0.0414037581548081
1993,2,0.0365223923365586
1993,3,0.0176118773036949
1993,4,0.0181854290473383
1993,5,-0.0045031387404353
1993,6,0.00715375448421179
1993,7,-0.00339521793203075
1993,8,0.0126952905203153
1993,9,0.0213708569845884
1993,10,-0.00560049272703695
