"Year","Month","DiversityCoeff"
1985,1,-0.11039036721139
1985,2,-0.10499825525621
1985,3,-0.102301984281596
1985,4,-0.0971245846985842
1985,5,-0.0915496717929193
1985,6,-0.0866088238147415
1985,7,-0.0832906518607988
1985,8,-0.0725551517328795
1985,9,-0.0903538380286206
1985,10,-0.0923839169767797
1985,11,-0.0792281315179308
1985,12,-0.0658169986722836
1986,1,-0.056749160853362
1986,2,-0.070857896451158
1986,3,-0.061444590009232
1986,4,-0.00718221007304332
1986,5,0.0259428707865217
1986,6,0.0222395748871691
1986,7,0.00920998335440759
1986,8,0.0496473669759055
1986,9,0.0790848562351099
1986,10,0.0576335917300044
1986,11,0.0289116806137917
1986,12,0.0288165880272098
1987,1,0.0513223850891018
1987,2,-0.0234426374047817
1987,3,-0.00379972392050549
1987,4,-0.0221714659438832
1987,5,-0.033027045605353
1987,6,-0.0474185907586607
1987,7,-0.0367583573474369
1987,8,-0.0374016167030315
1987,9,-0.0742057854575801
1987,10,-0.0831591018873208
1987,11,-0.0814757790587328
1987,12,-0.0693890671313799
1988,1,-0.082832577087967
1988,2,-0.107767555828814
1988,3,-0.0842762786104918
1988,4,-0.0836973609826021
1988,5,-0.0642519000281116
1988,6,-0.0679413594666163
1988,7,-0.0726764027411935
1988,8,-0.0762243277729751
1988,9,-0.0820813514266013
1988,10,-0.0983558250064764
1988,11,-0.0886927345890014
1988,12,-0.106097717682586
1989,1,-0.118854206956253
1989,2,-0.120331141312116
1989,3,-0.143909476601968
1989,4,-0.166949323981044
1989,5,-0.162182374795263
1989,6,-0.165887365385572
1989,7,-0.167947331065598
1989,8,-0.171456402216047
1989,9,-0.18252492451015
1989,10,-0.159738424562796
1989,11,-0.159761123603436
1989,12,-0.155639813465966
1990,1,-0.142706082499067
1990,2,-0.0933272748948507
1990,3,-0.105088977676781
1990,4,-0.110138808258531
1990,5,-0.115427524160561
1990,6,-0.0813854571081282
1990,7,-0.0600855737642181
1990,8,-0.067759939953029
1990,9,-0.067669523684756
1990,10,-0.0506977357859719
1990,11,-0.0306724481390841
1990,12,-0.0381853250492692
1991,1,-0.0299389484590131
1991,2,-0.0198894364617054
1991,3,-0.0371525338727924
1991,4,0.00425773256625289
1991,5,0.005392173403991
1991,6,0.0183882423128041
1991,7,0.0145277118576482
1991,8,0.0611109611912371
1991,9,0.0743239318909576
1991,10,0.0574086556203783
1991,11,0.0427673430259922
1991,12,0.0465444217403041
1992,1,0.0342856298467315
1992,2,-0.0102739583696234
1992,3,0.0249649105900058
1992,4,0.0460134956092396
1992,5,0.0421764836165083
1992,6,0.0257795115255983
1992,7,0.0290443338488281
1992,8,0.0164487937491279
1992,9,0.0130813719078242
1992,10,0.0121659394382565
1992,11,-0.0300349845218234
1992,12,-0.0359501172583241
1993,1,-0.0560196540352209
1993,2,-0.0716451784651223
1993,3,-0.0762847830232982
1993,4,-0.0737607128882351
1993,5,-0.104712344974758
1993,6,-0.0768279801926956
1993,7,-0.0475346556553402
1993,8,-0.0255280283134476
1993,9,-0.0475183752478743
1993,10,-0.0384130292473393
1993,11,-0.0459914261972693
1993,12,-0.0331204861307667
1994,1,-0.0230903417102321
1994,2,-0.0347025826796704
1994,3,-0.0221889007093865
1994,4,-0.047880825769906
1994,5,-0.039712588318595
1994,6,-0.0506178815620303
1994,7,-0.0570492448794086
1994,8,-0.0685504923165623
1994,9,-0.0746949320499176
1994,10,-0.0696632611657778
1994,11,-0.102689452103322
1994,12,-0.0767346123104559
1995,1,-0.0398635688631764
1995,2,-0.0478554151365598
1995,3,-0.0414239477394384
1995,4,-0.0513852653300577
1995,5,-0.0466769795486211
1995,6,-0.0474972312746666
1995,7,-0.0430636937343753
1995,8,-0.052997478449715
1995,9,-0.0700743728673349
1995,10,-0.0541086811656767
1995,11,-0.0360952485228387
1995,12,-0.0420244245907274
1996,1,-0.0391634368149086
1996,2,-0.0360041811096634
1996,3,-0.0054711841410627
1996,4,-0.0509079515518992
1996,5,-0.0606502210098556
1996,6,-0.0538087348394985
1996,7,-0.0512770786752423
1996,8,-0.0245489885406661
1996,9,-0.000986188823540987
1996,10,-0.00567840457354299
1996,11,-0.00420055632331801
1996,12,0.0058334105289563
1997,1,0.0378671103375246
1997,2,0.0493205010517935
1997,3,0.035547412589323
1997,4,0.0307580896906805
1997,5,0.0058731015634574
1997,6,0.0124372182977068
1997,7,0.0154017353523856
1997,8,0.023524028731614
1997,9,0.0236600288399437
1997,10,0.0434015306176171
1997,11,0.0621832528374786
1997,12,0.0151381298360259
1998,1,-0.0189535753762699
1998,2,-0.0435613316512009
1998,3,-0.0502038435926851
1998,4,-0.0453101127593997
1998,5,-0.0453640982364034
1998,6,-0.0412936834283711
1998,7,-0.0516062721456604
1998,8,-0.0364669983493703
1998,9,-0.0479512483061746
1998,10,-0.0311912631349945
1998,11,-0.0423627780073945
1998,12,-0.0285337272024133
1999,1,-0.0137154104002448
1999,2,-0.0324619685865389
1999,3,-0.0111639751926395
1999,4,0.0171358101098021
1999,5,-0.00781287128421964
1999,6,-0.0273370711555146
1999,7,-0.0267558359245035
1999,8,-0.0348304967103226
1999,9,-0.0561894858668192
1999,10,-0.0407332836985438
1999,11,-0.0381851776926632
1999,12,-0.0607921391743229
2000,1,-0.0720008127754626
2000,2,-0.0612739765927574
2000,3,-0.0558511554785197
2000,4,-0.0499498208203203
2000,5,-0.0290058182005974
2000,6,-0.0488090688244298
2000,7,-0.0485479777278764
2000,8,-0.0543837528705417
2000,9,-0.0460132880260168
2000,10,-0.0399610436263818
2000,11,-0.0532150253881323
2000,12,-0.0388906296777272
2001,1,-0.0377607841000905
2001,2,0.0121291527428306
2001,3,0.075537857641673
