"Year","Month","DiversityCoeff"
1985,1,0.0323188956483728
1985,2,0.028981075598873
1985,3,0.0199813397954901
1985,4,0.0283474965944292
1985,5,0.0512217544817412
1985,6,0.0218087452680749
1985,7,4.3659250568583e-05
1985,8,0.0218774515059377
1985,9,0.00909618470611913
1985,10,0.0302630001386654
1985,11,0.0339794825178084
1985,12,0.0417779585758459
1986,1,0.0615851342623643
1986,2,0.0622760051870762
1986,3,0.0685560935994712
1986,4,0.113596923324416
1986,5,0.126667707391584
1986,6,0.120362015027532
1986,7,0.116766974921379
1986,8,0.153646561121922
1986,9,0.189427621270313
1986,10,0.172908749031218
1986,11,0.123089241003742
1986,12,0.133652370425336
1987,1,0.145581846588661
1987,2,0.0758898158444478
1987,3,0.0947977962433404
1987,4,0.067200055672631
1987,5,0.0279182032486564
1987,6,0.0419371261954749
1987,7,0.0607868960443231
1987,8,0.0470801239873842
1987,9,-0.00289946250005215
1987,10,-0.00548395396249609
1987,11,-0.00134958337957668
1987,12,0.0153635863785254
1988,1,-0.00504984022765074
1988,2,0.00127195283251194
1988,3,0.0439089602464957
1988,4,0.0530872962027049
1988,5,0.0497802249163358
1988,6,0.0334483570982434
1988,7,0.0243932868600549
1988,8,0.0427962073556449
1988,9,0.0558752409919266
1988,10,0.0571424663642011
1988,11,0.0645819353677913
1988,12,0.056604802063601
1989,1,0.0360407295664017
1989,2,0.0550811568378457
1989,3,0.0321463430882007
1989,4,0.0208243318880555
1989,5,0.0277912092787385
1989,6,0.00565352282325765
1989,7,0.0276592733737156
1989,8,0.0182118837874678
1989,9,0.0158367560554132
1989,10,0.0427795997432418
1989,11,0.0551145983627649
1989,12,0.054267010181618
1990,1,0.0668325378505082
1990,2,0.103122780626834
1990,3,0.0921482613486304
1990,4,0.0783163842299637
1990,5,0.0787997955034701
1990,6,0.0974075417318265
1990,7,0.10635713284008
1990,8,0.104498618615134
1990,9,0.112347916399736
1990,10,0.109628670305351
1990,11,0.0866457611752037
1990,12,0.0962512211675601
1991,1,0.092317143972285
1991,2,0.103711674599955
1991,3,0.0756993374298105
1991,4,0.0964888655467286
1991,5,0.118373893992364
1991,6,0.126730633835744
1991,7,0.106745888601794
1991,8,0.116222065941009
1991,9,0.115624175196186
1991,10,0.123893994136274
1991,11,0.0881503765678393
1991,12,0.105733587471011
1992,1,0.0891840885520631
1992,2,0.0845064342085881
1992,3,0.149486395156004
1992,4,0.149607987053605
1992,5,0.153228558619054
1992,6,0.107411971064681
1992,7,0.132147614187059
1992,8,0.115025716178994
1992,9,0.136046304718626
1992,10,0.128715887724899
1992,11,0.0815469302828852
1992,12,0.0912387372689731
1993,1,0.0822540749528807
1993,2,0.0770125469020352
1993,3,0.0672481200975608
1993,4,0.0923073710329039
1993,5,0.0678516943455708
1993,6,0.0698817275555483
1993,7,0.087320238937396
1993,8,0.106879329444573
1993,9,0.0793721611452178
1993,10,0.0869182309134434
1993,11,0.0710359887619359
1993,12,0.0972516617137824
1994,1,0.087552033898408
1994,2,0.0889780642192124
1994,3,0.090962310557237
1994,4,0.0840386074509901
1994,5,0.0659831021876954
1994,6,0.0744633928107553
1994,7,0.0721085104984303
1994,8,0.0741296687907835
1994,9,0.0390359433292874
1994,10,0.0724159347899299
1994,11,0.0398909259010378
1994,12,0.0597865204523909
1995,1,0.0579140568078886
1995,2,0.0599307508443011
1995,3,0.0427033782874124
1995,4,0.0403839153012194
1995,5,0.0665563379427253
1995,6,0.082379412014669
1995,7,0.0836063370299756
1995,8,0.105911373951149
1995,9,0.073247652841375
1995,10,0.086795815562709
1995,11,0.109907327463898
1995,12,0.118453792336149
1996,1,0.123155131938398
1996,2,0.0771821278810836
1996,3,0.109374882838112
1996,4,0.0622772442461376
1996,5,0.0477827970043782
1996,6,0.0397534155464932
1996,7,0.0409366894350918
1996,8,0.0795682721542955
1996,9,0.0878906677682024
1996,10,0.0791339447436858
1996,11,0.0759411716432459
1996,12,0.0838150644804978
1997,1,0.113305304134891
1997,2,0.104180323178816
1997,3,0.0822510686087471
1997,4,0.070100312568594
1997,5,0.0567453899670489
1997,6,0.0794953673846094
1997,7,0.0908498581851431
1997,8,0.0814100478592572
1997,9,0.087861320696708
1997,10,0.109678341525623
1997,11,0.14034342420919
1997,12,0.0884334585952785
1998,1,0.0511986891550462
1998,2,0.0313763074510084
1998,3,0.0515465452330063
1998,4,0.0629067003091062
1998,5,0.0707789074215364
1998,6,0.0515380130628919
1998,7,0.0462059503669998
1998,8,0.0670043503581492
1998,9,0.0567665640172222
1998,10,0.076805738909227
1998,11,0.0610849449589269
1998,12,0.0825274100171777
1999,1,0.0782140762877797
1999,2,0.0791304940568965
1999,3,0.0935525195569652
1999,4,0.111797957496952
1999,5,0.0859831403124994
1999,6,0.0652056516350324
1999,7,0.0848490368997533
1999,8,0.0850533814013575
1999,9,0.0711937178222976
1999,10,0.0902802201998149
1999,11,0.0771877133092894
1999,12,0.0626344232849376
2000,1,0.0528678228487173
2000,2,0.0855738706513699
2000,3,0.107830331446954
2000,4,0.0889533931599549
2000,5,0.103695340492968
2000,6,0.0949192101572981
2000,7,0.111306860765344
2000,8,0.124757257685301
2000,9,0.114254820158688
2000,10,0.118849939391817
2000,11,0.0972655251895054
2000,12,0.0959217521175827
2001,1,0.0945592478185273
2001,2,0.132205998565626
2001,3,0.157712168312575
2001,4,0.180166957075697
2001,5,0.168289304745943
2001,6,0.174102985697478
2001,7,0.190667887004797
2001,8,0.213489148572801
2001,9,0.257005332356146
2001,10,0.263032199285781
2001,11,0.260426158779775
2001,12,0.254580477169267
2002,1,0.208998573864732
2002,2,0.215356616695729
2002,3,0.167938189409042
2002,4,0.154542914689686
2002,5,0.142807132060039
2002,6,0.17246848217383
2002,7,0.160148890445892
2002,8,0.172315843287445
2002,9,0.192265238628306
