"Year","Month","DiversityCoeff"
1985,1,0.149103543367609
1985,2,0.171043534728135
1985,3,0.157013535039304
1985,4,0.174281890503024
1985,5,0.135846195964263
1985,6,0.15950118056414
1985,7,0.175374418432872
1985,8,0.159442611962718
1985,9,0.187130471826231
1985,10,0.180905471192204
1985,11,0.166424024551927
1985,12,0.147137858295585
1986,1,0.172523881667435
1986,2,0.170591713832959
1986,3,0.168021602701737
1986,4,0.111934605159697
1986,5,0.0989435952952832
1986,6,0.0983821168557423
1986,7,0.103318245528461
1986,8,0.0894745303944442
1986,9,0.0899211319135182
1986,10,0.0973621598862931
1986,11,0.0998748230272682
1986,12,0.10662270241417
1987,1,0.0773578808219161
1987,2,0.0845131029632973
1987,3,0.0827318184291097
1987,4,0.0857887660328406
1987,5,0.108361544024731
1987,6,0.0723097518184677
1987,7,0.110326033522355
1987,8,0.0816790588435548
1987,9,0.0946294151071053
1987,10,0.0942791459547254
1987,11,0.0767154423175054
1987,12,0.064083976591431
1988,1,0.0508849923712308
1988,2,0.0431042294009886
1988,3,0.039400272707485
1988,4,0.0347904393761361
1988,5,0.033853173405371
1988,6,0.0468239283558805
1988,7,0.025842063617245
1988,8,0.0577551195247465
1988,9,0.0561375288132616
1988,10,0.0556246585272332
1988,11,0.0568976087023
1988,12,0.0515579138569199
1989,1,0.0504703685790332
1989,2,0.0483963868480389
1989,3,0.0387917498640406
1989,4,0.0320002176304054
1989,5,-0.0159908872683565
1989,6,0.0126336709228529
1989,7,0.0356538010823034
1989,8,0.0359643110657096
1989,9,0.0429249669906289
1989,10,0.0475024604614263
1989,11,0.0553396368910857
1989,12,0.0522891456785242
1990,1,0.0655123191879305
1990,2,0.0460355118291127
1990,3,0.0656284294514549
1990,4,0.0538111679920229
1990,5,0.0351743917929922
1990,6,0.0581626583477539
1990,7,0.0811838920992105
1990,8,0.0855179744339063
1990,9,0.0843510943816717
1990,10,0.0974140796300984
1990,11,0.100228950858131
1990,12,0.0911065867247557
1991,1,0.0937637923116339
1991,2,0.0997284002179896
1991,3,0.0923631574134126
1991,4,0.0755953739931244
1991,5,0.134479931729005
1991,6,0.096003224212831
1991,7,0.0873495114304436
1991,8,0.136299605943094
1991,9,0.142140966319749
1991,10,0.131542175349631
1991,11,0.128185039518502
1991,12,0.133352284154797
1992,1,0.128462808510855
1992,2,0.102614427884643
1992,3,0.1550213007926
1992,4,0.145131514340074
1992,5,0.137369687169272
1992,6,0.133445807546728
1992,7,0.139218025088824
1992,8,0.1307549016922
1992,9,0.146998431245289
1992,10,0.128414363950797
1992,11,0.137233582212703
1992,12,0.148394032876717
1993,1,0.190291915024491
1993,2,0.132197248605192
1993,3,0.0873313439811526
1993,4,0.0893825962984557
1993,5,0.0996492015205951
1993,6,0.0874816663924874
1993,7,0.0895169435259652
1993,8,0.0874086916961083
1993,9,0.0881745855693574
1993,10,0.0734877218133395
1993,11,0.0870103393019731
1993,12,0.0892910149293145
1994,1,0.0873922625449293
1994,2,0.0762255841764935
1994,3,0.0937344314296013
1994,4,0.0921703416228195
1994,5,0.0906231829935017
1994,6,0.064184995490946
1994,7,0.0804427712604513
1994,8,0.0772209651076383
1994,9,0.0737309316153843
1994,10,0.0852724078948232
1994,11,0.0906702567720638
1994,12,0.075458531011558
1995,1,0.0865888358584703
1995,2,0.0741251720828497
1995,3,0.0902805054137309
1995,4,0.0924958911729818
1995,5,0.0761577692597066
1995,6,0.0583277729069679
1995,7,0.0588349776436398
1995,8,0.0586870021444142
1995,9,0.0693635284937341
1995,10,0.0488151869039027
1995,11,0.0424813831708793
1995,12,0.0517322617866057
1996,1,0.0539733554803279
1996,2,0.056252308918526
1996,3,0.0432301735987906
1996,4,0.0409322023546686
1996,5,0.0262954346136294
1996,6,0.0563310873130107
1996,7,0.0634067648853701
1996,8,0.0629927044234097
1996,9,0.0381274686970083
1996,10,0.0620516842346608
1996,11,0.0430072136640166
1996,12,0.0511601498014307
1997,1,0.0410440607979287
1997,2,0.0564227135975979
1997,3,0.0512670008809427
1997,4,0.065986045587272
1997,5,0.0436698946513055
1997,6,0.085136105857215
1997,7,0.0507726736729795
1997,8,0.075330567142913
1997,9,0.0347788083956452
1997,10,0.0549002786961239
1997,11,0.0457609505630426
1997,12,0.0295957026730105
1998,1,0.0358084087389605
1998,2,0.0434672416346718
1998,3,0.0422082334422466
1998,4,0.0345119592500908
1998,5,0.036442505761579
1998,6,0.0281031424145716
1998,7,-0.00159551844886003
1998,8,0.0169191977798618
1998,9,0.0220366190388939
1998,10,0.0181826925489468
1998,11,0.0433201078996044
1998,12,0.042126845104526
1999,1,0.0620608263937654
1999,2,0.0564213412294579
1999,3,0.0687152917079853
1999,4,0.0619449253519209
1999,5,0.0757469421779303
1999,6,0.0841194347003585
1999,7,0.0742098830162667
1999,8,0.0788215394619309
1999,9,0.0928041234022267
1999,10,0.0856806434966128
1999,11,0.0807776925986554
1999,12,0.101995452424426
2000,1,0.115106216239739
2000,2,0.103200648767763
2000,3,0.10964950835989
2000,4,0.0968657495620899
2000,5,0.0850992287061622
2000,6,0.0664287235260528
2000,7,0.0869070077640632
2000,8,0.0789887658569277
2000,9,0.0692678683234806
2000,10,0.0774679117676681
2000,11,0.0695115314564961
2000,12,0.0708751801184766
2001,1,0.0751978524984703
2001,2,0.0603967337283115
2001,3,0.0777489108410936
2001,4,0.106139116596503
2001,5,0.100481951628173
2001,6,0.103063816586752
2001,7,0.100193949276754
2001,8,0.124276629116818
2001,9,0.0868428150326711
2001,10,0.0797932630382656
2001,11,0.0889417045255658
2001,12,0.0713612417481075
2002,1,0.0585687714151459
2002,2,0.0835950570503188
2002,3,0.0611302629051275
2002,4,0.0651638993483769
2002,5,0.0659646156869283
2002,6,0.0719417431975854
2002,7,0.0904142756391226
2002,8,0.0980803007072172
2002,9,0.0792228514948756
2002,10,0.0631403566013545
2002,11,0.0644186165445946
2002,12,0.0595868177880881
2003,1,0.0872631374415041
2003,2,0.125437569984507
2003,3,0.184564970945031
2003,4,0.15176705358617
2003,5,0.153696316489501
2003,6,0.098049360084067
2003,7,0.137130945433197
2003,8,0.119135344960677
2003,9,0.114275442199642
2003,10,0.125681734774798
2003,11,0.118466264761149
2003,12,0.110493500243503
2004,1,0.0927613487511693
2004,2,0.141195899985488
2004,3,0.133690788909852
2004,4,0.135005051447442
2004,5,0.140455431736962
2004,6,0.151160853556204
2004,7,0.167228181564294
2004,8,0.167845747788185
2004,9,0.184921845100374
2004,10,0.151108617874655
2004,11,0.139094379434052
2004,12,0.145413677442147
2005,1,0.12845281305988
2005,2,0.148185299760526
2005,3,0.13925430656787
2005,4,0.151254899225054
2005,5,0.124158573693502
2005,6,0.136718264892473
2005,7,0.138868098112998
2005,8,0.142959747525017
2005,9,0.119799391741252
2005,10,0.132458353619867
2005,11,0.142375024147373
2005,12,0.122111629757358
2006,1,0.0961604099141981
2006,2,0.0915335885509096
2006,3,0.0671239772354737
2006,4,0.103048030460534
2006,5,0.1149533482449
2006,6,0.14640390668762
2006,7,0.143955347760004
2006,8,0.119835394129183
2006,9,0.123057046279697
2006,10,0.122239088034343
2006,11,0.155399482366671
2006,12,0.133036135969972
2007,1,0.131337399021372
2007,2,0.151021834303846
2007,3,0.144908345555654
2007,4,0.138330442191711
2007,5,0.147449727952201
2007,6,0.160198201145399
2007,7,0.157842806568926
2007,8,0.165910219476226
2007,9,0.161697204454663
2007,10,0.1535195061458
2007,11,0.168161994578351
2007,12,0.150022523921968
2008,1,0.131296929014891
2008,2,0.124296859932352
2008,3,0.112026920967802
2008,4,0.113202954328865
2008,5,0.102953058355642
2008,6,0.133947282935211
2008,7,0.12111000638408
2008,8,0.1157295349517
2008,9,0.117493263545233
2008,10,0.0926078783429742
2008,11,0.0739050630568916
2008,12,0.0908690888450828
2009,1,0.0991330106073548
2009,2,0.11541611941464
2009,3,0.118299464181434
2009,4,0.120067732288589
2009,5,0.124671358280185
2009,6,0.1365210428575
2009,7,0.152508611549912
2009,8,0.129578041069795
2009,9,0.132529472451622
2009,10,0.142401536763993
2009,11,0.161134356922003
2009,12,0.156118597129508
2010,1,0.151016083441424
2010,2,0.120561340594318
2010,3,0.13589363613522
2010,4,0.127334585992156
2010,5,0.117522654363913
2010,6,0.123491077282162
2010,7,0.0969590358365249
2010,8,0.0847284129928344
2010,9,0.104035547890454
2010,10,0.116149058248158
2010,11,0.139926948410427
2010,12,0.127861091548027
2011,1,0.129982749214637
2011,2,0.131859187717045
2011,3,0.172843169472482
2011,4,0.195805391761963
2011,5,0.141783286378485
2011,6,0.141116978263213
2011,7,0.149527366052939
