"Year","Month","DiversityCoeff"
1985,1,0.0356921530636433
1985,2,0.060366610862601
1985,3,0.0498853848032604
1985,4,0.0576984704504122
1985,5,0.0391889606539076
1985,6,0.0158771007803488
1985,7,0.0331160509510283
1985,8,0.0421366848168645
1985,9,0.0185301602711051
1985,10,0.030314346333311
1985,11,0.0220730263847922
1985,12,0.0106864862874544
1986,1,0.0281988296012575
1986,2,0.0392738130860754
1986,3,0.0396514934019333
1986,4,0.0221532223427138
1986,5,0.0219095968801111
1986,6,0.0104860221460807
1986,7,0.0371245636514788
1986,8,0.00759249426878969
1986,9,0.00427959630796801
1986,10,-0.00796846084856924
1986,11,0.00700052839672712
1986,12,0.0257414014252803
1987,1,0.0219099597898744
1987,2,0.0305818063604617
1987,3,0.0233902226605313
1987,4,0.0382223751580358
1987,5,0.0132496275398397
1987,6,0.00285916289112716
1987,7,-0.0016262290652481
1987,8,0.00553398909889855
1987,9,-0.00745371183633388
1987,10,0.0157868292806426
1987,11,0.00504928073415317
1987,12,0.0205960588104955
1988,1,0.00406199154543932
1988,2,-0.00432229871343641
1988,3,-0.00577672986802227
1988,4,-0.0152558559437418
1988,5,-0.00927037326312822
1988,6,0.00706756353483661
1988,7,0.0349325846720463
1988,8,0.0176724050899254
1988,9,0.0380252586476413
1988,10,0.0183943052330255
1988,11,0.0156107978469746
1988,12,0.0291673963597314
1989,1,0.0307780484369073
1989,2,0.0346704703307619
1989,3,0.0157529962628063
1989,4,0.0218218571497504
1989,5,-0.00155666074452881
1989,6,-0.000126943382554042
1989,7,-0.0102470886625141
1989,8,-0.00699513678316616
1989,9,0.000297823227959012
1989,10,0.00578684731505113
1989,11,-0.000922469619503382
1989,12,0.00957132284110806
1990,1,0.0258538507910808
1990,2,0.0173197936959524
1990,3,-0.0117835233663141
1990,4,0.00154688916362264
1990,5,0.00231348379241781
1990,6,0.00286381703929538
1990,7,0.0373141669111866
1990,8,0.0629964570607252
1990,9,0.0527825117860416
1990,10,0.0793139013456903
1990,11,0.077244523468598
1990,12,0.0706647067156148
1991,1,0.0656493818521385
1991,2,0.0388729399099978
1991,3,0.0480268175333227
1991,4,0.044506223859963
1991,5,0.0606148089704553
1991,6,0.0421013859227224
1991,7,0.0310117893553529
1991,8,0.0542974994123805
1991,9,0.0611988749469438
1991,10,0.0458931369599549
1991,11,0.0396382633054977
1991,12,0.0644684421949147
1992,1,0.0500055524367996
1992,2,0.0524339382017617
1992,3,0.0357208372926309
1992,4,0.0243135104605718
1992,5,0.0331406225760812
1992,6,0.0459862797470501
1992,7,0.0170729353413492
1992,8,0.0163994353557067
1992,9,-0.00374694584609748
1992,10,0.00685467654192829
1992,11,0.0146585047551804
1992,12,0.019092159446892
1993,1,0.0130374693455853
1993,2,0.0142950638505811
1993,3,-0.00129442346544515
1993,4,0.0112764646650514
1993,5,6.11763439721418e-05
1993,6,-0.0034769147751818
1993,7,0.00254756038224551
1993,8,-0.00756614875867185
1993,9,-0.0116526915513068
