"Year","Month","DiversityCoeff"
1985,1,-0.125242530750726
1985,2,-0.0968933358524418
1985,3,-0.105582790490807
1985,4,-0.146895187763824
1985,5,-0.144196761487619
1985,6,-0.158552634812206
1985,7,-0.121214686951346
1985,8,-0.175753161075166
1985,9,-0.180331365027627
1985,10,-0.20821328840177
1985,11,-0.201315935248451
1985,12,-0.187081871117174
1986,1,-0.187260893191912
1986,2,-0.153235542922685
1986,3,-0.200285405339522
1986,4,-0.131502259136443
1986,5,-0.125496876804914
1986,6,-0.128031906544239
1986,7,-0.122863429213629
1986,8,-0.167063042264857
1986,9,-0.189553649309282
1986,10,-0.192528447661787
1986,11,-0.190786239877118
1986,12,-0.19458368423032
1987,1,-0.215268039565213
1987,2,-0.148717402753788
1987,3,-0.0736695231781653
1987,4,-0.172691127781455
1987,5,-0.177616085751939
1987,6,-0.188027863604406
1987,7,-0.181865646372147
1987,8,-0.125484945633758
1987,9,-0.141885039854142
1987,10,-0.144969361976901
1987,11,-0.151921267088291
1987,12,-0.148629621830847
1988,1,-0.123531849323402
1988,2,-0.134863888829887
1988,3,-0.125646608759427
1988,4,-0.139583334532121
1988,5,-0.132327382724479
1988,6,-0.135470792869744
1988,7,-0.118202133790414
1988,8,-0.107998376328253
1988,9,-0.0960815881822971
1988,10,-0.0688947164671516
1988,11,-0.0815250691684582
1988,12,-0.0599663380921372
1989,1,-0.0729642691647637
1989,2,-0.0459914693899449
1989,3,-0.0393939672186535
1989,4,-0.026736822284447
1989,5,-0.0145423467369138
1989,6,-0.0146533142031653
1989,7,-0.0174592358168811
1989,8,-0.0170571012734729
1989,9,0.039511779557771
1989,10,0.00234569454182002
1989,11,0.0315466904920824
1989,12,0.00746702469695574
1990,1,0.0383771456301604
1990,2,0.055921214933885
1990,3,0.0319318219415157
1990,4,0.0545807807922408
1990,5,0.0695967042612799
1990,6,0.0321002768952839
1990,7,0.106014443387687
1990,8,0.0788119631003925
1990,9,0.0416487899867705
1990,10,0.0718898066301456
1990,11,0.0560786269287251
1990,12,0.049956823088727
1991,1,0.047404033730578
1991,2,0.092323959272488
1991,3,0.0560896487992581
1991,4,0.102267649808356
1991,5,0.136953994394123
1991,6,0.1460395902365
1991,7,0.156373816270533
1991,8,0.139354969497223
1991,9,0.118870592537738
1991,10,0.0965893498414213
1991,11,0.0784887249938798
1991,12,0.0199380488320599
1992,1,-0.00613307901601646
1992,2,-0.00962701924539856
1992,3,-0.0513432795163877
1992,4,-0.0260820720994386
1992,5,-0.0117676219377272
1992,6,-0.00472346243550742
1992,7,0.012903354582546
1992,8,0.0147978176439237
1992,9,-0.0227027804991228
1992,10,-0.0341945811790246
1992,11,-0.0354351351364155
1992,12,-0.0352140140154188
1993,1,-0.00684246432534173
1993,2,-0.0365914602107685
1993,3,-0.0888538016779462
1993,4,-0.103599010112821
1993,5,-0.127050958534663
1993,6,-0.131738362480842
1993,7,-0.093840967093189
1993,8,-0.115408374110247
1993,9,-0.047466416921216
1993,10,-0.049863123161198
1993,11,-0.0779672708103188
1993,12,-0.0717027051164282
1994,1,-0.095694988456271
1994,2,-0.112154105136147
1994,3,-0.124897451481442
1994,4,-0.104915872391292
1994,5,-0.121792093212286
1994,6,-0.0958411507858084
1994,7,-0.114617963102396
1994,8,-0.129039820802222
1994,9,-0.129291600886955
1994,10,-0.103785597262958
1994,11,-0.115249431741343
1994,12,-0.0864733572736684
1995,1,-0.0538257075802357
1995,2,-0.0623382546935721
1995,3,-0.0464429583189124
1995,4,-0.0547555401049063
1995,5,-0.0770896384245709
1995,6,-0.0842043855257677
1995,7,-0.111169640954522
1995,8,-0.107710537216381
1995,9,-0.141315320521921
1995,10,-0.124385327516957
1995,11,-0.0647362591110522
1995,12,-0.0858915553373523
1996,1,-0.140632324658168
1996,2,-0.10195755862506
1996,3,-0.0949034074097513
1996,4,-0.104308250544203
1996,5,-0.0990226286855607
1996,6,-0.0871146691242247
1996,7,-0.104197954530757
1996,8,-0.0603704191932503
1996,9,-0.0798578642012406
1996,10,-0.114882590510192
1996,11,-0.134721408883752
1996,12,-0.126354929015898
1997,1,-0.11701961909838
1997,2,-0.0828395505561164
1997,3,-0.0278635769495427
