"Year","Month","DiversityCoeff"
1985,1,-0.03002848558855
1985,2,-0.0136999332043429
1985,3,0.00299421419401848
1985,4,-0.0131408398810088
1985,5,0.018516088093668
1985,6,-0.00127205203735066
1985,7,0.00975627655200106
1985,8,-0.0256563109205534
1985,9,-0.0246849958853376
1985,10,-0.0390253918866302
1985,11,-0.0196149845321601
1985,12,-0.0111876870311929
1986,1,-0.00318698370820783
1986,2,-0.0200500736576266
1986,3,-0.0356990602352286
1986,4,0.0176989222500216
1986,5,0.0340681236834975
1986,6,0.0324568806847403
1986,7,0.0517511057586094
1986,8,0.0178973065659843
1986,9,0.012262896098211
1986,10,0.0461134853801545
1986,11,0.0722407578180926
1986,12,0.0817656738198214
1987,1,0.0495733086595375
1987,2,0.112599487424897
1987,3,0.145772480344505
1987,4,0.104995326689911
1987,5,0.0886426056652528
1987,6,0.094855966342913
1987,7,0.0729362989098547
1987,8,0.081257722626318
1987,9,0.102485836728357
1987,10,0.10760548525304
1987,11,0.109643360380724
1987,12,0.107925592625097
1988,1,0.111250382253672
1988,2,0.0809668476935228
1988,3,0.0549535685265077
1988,4,0.0501595968125106
1988,5,0.0890113292396626
1988,6,0.0560556466726851
1988,7,0.0660634626359344
1988,8,0.0807301185892285
1988,9,0.041990890585585
1988,10,0.0693137990736785
1988,11,0.0631302516631421
1988,12,0.0576379220623196
1989,1,0.0402014487374412
1989,2,0.0517788507961829
1989,3,0.0715637425545604
1989,4,0.0379544065270981
1989,5,0.0468343378086621
1989,6,0.0611604211597614
1989,7,0.0422882946078632
1989,8,0.0815680866425161
1989,9,0.0917563317088243
1989,10,0.0645441165464971
1989,11,0.043193908687257
1989,12,0.0538380297025822
1990,1,0.0761793285422956
1990,2,0.105194999998624
1990,3,0.14197276941193
1990,4,0.169990720006347
1990,5,0.181018389181887
1990,6,0.158082397507782
1990,7,0.201770324779949
1990,8,0.195565103900866
1990,9,0.181825013729658
1990,10,0.200057456238665
1990,11,0.201717232910358
1990,12,0.189004112131029
1991,1,0.216041832237039
1991,2,0.210944607329851
1991,3,0.164711560404608
1991,4,0.215674293714419
1991,5,0.207945887669728
1991,6,0.227308679486695
1991,7,0.214823046410656
1991,8,0.202565124204998
1991,9,0.19274957311945
1991,10,0.19822315265899
1991,11,0.196522592158298
1991,12,0.188602176245433
1992,1,0.177224152447066
1992,2,0.154128817203968
1992,3,0.14299050006593
1992,4,0.161274952052263
1992,5,0.150969599974789
1992,6,0.150229416966469
1992,7,0.151315758299112
1992,8,0.178252789482413
1992,9,0.133955974590281
1992,10,0.132711535192174
1992,11,0.160267923282209
1992,12,0.143042689027279
1993,1,0.192054684969863
1993,2,0.186922173746823
1993,3,0.0952748981207234
1993,4,0.102106771212499
1993,5,0.082303339041693
1993,6,0.0867192380544168
1993,7,0.104602565624909
1993,8,0.130619446514682
1993,9,0.159016507899227
1993,10,0.169815467687093
1993,11,0.156134346034566
1993,12,0.165775119166639
1994,1,0.13602655693134
1994,2,0.144907698538724
1994,3,0.160092365871707
1994,4,0.155384759935582
1994,5,0.147381355837356
1994,6,0.135566696846619
1994,7,0.123171480205937
1994,8,0.0999199071142184
1994,9,0.104636850436821
1994,10,0.0610403029023852
1994,11,0.0440878407897794
1994,12,0.0626747574343309
1995,1,0.0956889844082938
1995,2,0.0572635873774994
1995,3,0.100499920203424
1995,4,0.0609971979971092
1995,5,0.0651104526022846
1995,6,0.065053908538514
1995,7,0.0464580169215484
1995,8,0.0707010287551314
1995,9,0.0111618316502693
1995,10,0.0329007205380568
1995,11,0.167503287358597
1995,12,0.124318175075873
1996,1,0.11272812158892
1996,2,0.121459701591865
1996,3,0.157846290473813
1996,4,0.131482345904097
1996,5,0.140483325832462
1996,6,0.148510962224226
1996,7,0.167221628686565
1996,8,0.123032876387986
1996,9,0.109756927680065
1996,10,0.0647029560725434
1996,11,0.0235239090079083
1996,12,-0.0133490148034793
1997,1,0.0347234079543819
1997,2,0.102383302188043
1997,3,0.164310361654907
1997,4,0.152700240253367
1997,5,0.163142644352954
1997,6,0.158602222500443
1997,7,0.135639426188713
1997,8,0.143002943345355
1997,9,0.140729377799921
1997,10,-0.0431303616117575
1997,11,-0.0507930907337305
1997,12,-0.0528794769869352
1998,1,-0.0501335873255585
1998,2,-0.0255148836729582
1998,3,0.0111176491026836
1998,4,0.0448324518209776
1998,5,0.0598140262576362
1998,6,0.0174402664332017
1998,7,0.00905962539046677
1998,8,0.0185380961134695
1998,9,0.00808060500896123
1998,10,0.0215491050397639
1998,11,0.0111067371166777
1998,12,0.0196331735662704
1999,1,0.0262821666134214
1999,2,0.0215777808050539
1999,3,0.0179783218817021
1999,4,-0.00834388414473079
1999,5,0.0152777827678103
1999,6,-0.00961316736106698
1999,7,-0.0197761041721818
1999,8,-0.0132082050764754
1999,9,-0.0226614570194289
1999,10,-0.0137798285191227
1999,11,-0.0179499579653816
1999,12,-0.0191636442652451
2000,1,-0.0222549331010031
2000,2,0.0215702274490568
2000,3,-0.0394181845921139
2000,4,-0.043313030190196
2000,5,-0.0778199325842684
2000,6,-0.0780331255761943
2000,7,-0.117870582007094
2000,8,-0.0997581031199265
2000,9,-0.0960455993018606
2000,10,-0.072620691108961
2000,11,-0.059117806651881
2000,12,-0.0351226442906329
2001,1,-0.0326698131926522
2001,2,-0.0250910588568435
2001,3,-0.00233115623922605
2001,4,-0.0297741182569764
2001,5,-0.0419533777262994
2001,6,-0.0284932343948289
2001,7,-0.0383221933894983
2001,8,-0.0326330727217326
2001,9,-0.03512790338598
2001,10,-0.0256349703559203
2001,11,-0.0458644237485459
2001,12,-0.0514336398670064
2002,1,-0.00151363559693083
2002,2,-0.00266772635713897
2002,3,-0.00385627413512216
2002,4,0.0137696023869092
2002,5,0.0492705791246291
2002,6,0.0478880289902379
2002,7,0.0439219584896877
2002,8,0.0668345571295589
2002,9,0.0597060608148741
2002,10,0.0731094929856089
2002,11,0.0478430313606237
2002,12,0.0521853685304959
2003,1,0.0754884049093508
2003,2,0.076333573645499
2003,3,0.0576300558759203
2003,4,0.0805817512941351
2003,5,0.104135151793334
2003,6,0.141710440480734
2003,7,0.138012761923152
2003,8,0.128883500545373
2003,9,0.151581476827666
2003,10,0.142095314916757
2003,11,0.144705342106619
2003,12,0.155043899611647
2004,1,0.144494727880263
2004,2,0.17224298050856
2004,3,0.127912405716492
2004,4,0.131819785396018
2004,5,0.153048794417683
2004,6,0.139525974984952
2004,7,0.103027996311207
2004,8,0.110828446891333
2004,9,0.161054152079472
2004,10,0.165391189328742
2004,11,0.194158967046158
2004,12,0.197303231523237
2005,1,0.160650804633053
2005,2,0.153256466046763
2005,3,0.160670036814924
2005,4,0.247531703185935
2005,5,0.243019444877966
2005,6,0.26486819394793
2005,7,0.23259563687811
2005,8,0.254309270076333
2005,9,0.183244552051835
2005,10,0.224175951016053
2005,11,0.182699402852304
2005,12,0.196672583455104
2006,1,0.175779131955151
2006,2,0.0892018795511509
2006,3,0.110842391574794
2006,4,0.125472594931636
2006,5,0.159284175470696
2006,6,0.18778591120419
2006,7,0.167754912252306
2006,8,0.131748961542855
2006,9,0.0896456822686856
2006,10,0.112572476017824
2006,11,0.120099938895571
2006,12,0.122827089461658
2007,1,0.116034136602989
2007,2,0.0604728966065027
2007,3,0.0976400822587083
2007,4,0.0670758506452522
2007,5,0.0976900225311047
2007,6,0.0782166984869583
2007,7,0.0898537186458577
2007,8,0.0910684926866909
2007,9,0.0422704451162387
2007,10,0.058683075354837
2007,11,0.054264285056982
2007,12,0.056796670481927
2008,1,0.0632583753771649
2008,2,0.0515139672011374
2008,3,0.0561695419038167
2008,4,0.0110686275711986
2008,5,-0.0131820082492184
2008,6,-0.0217611622838604
2008,7,-0.0156432446175929
2008,8,-0.0299236138577598
2008,9,0.0207516414395491
