"Year","Month","DiversityCoeff"
1985,1,-0.0695303175284404
1985,2,-0.06048062779757
1985,3,-0.0419217419803761
1985,4,-0.0641934757223809
1985,5,-0.0587735588670578
1985,6,-0.052575685214994
1985,7,-0.0683812232744054
1985,8,-0.07441062171495
1985,9,-0.0731823177924725
1985,10,-0.0666440722502399
1985,11,-0.0643981300401105
1985,12,-0.0646363781064624
1986,1,-0.0627460952433165
1986,2,-0.0699646100600193
1986,3,-0.0532299521250594
1986,4,-0.0673581296835578
1986,5,-0.0590088971207198
1986,6,-0.0349529259868984
1986,7,-0.0154311650388403
1986,8,-0.0318954251419739
1986,9,-0.0283202749945465
1986,10,-0.0473410118845178
1986,11,-0.0513018067387378
1986,12,-0.0589040967782405
1987,1,-0.0776427520357124
1987,2,-0.0752384317836953
1987,3,-0.0623430837108914
1987,4,-0.0663274599905395
1987,5,-0.0584359694723212
1987,6,-0.0772449207227617
1987,7,-0.0593756777158634
1987,8,-0.0642894130124058
1987,9,-0.0513250505500312
1987,10,-0.0382335784001224
1987,11,-0.051187215690133
1987,12,-0.0299003222454839
1988,1,-0.0500796172140289
1988,2,-0.0736465638131927
1988,3,-0.0765996103631935
1988,4,-0.0886725430562238
1988,5,-0.0923014731940569
1988,6,-0.101378397965739
1988,7,-0.082476084314606
1988,8,-0.0869992278793088
1988,9,-0.079233830538388
1988,10,-0.0597277106167308
1988,11,-0.0534362973858789
1988,12,-0.0561511868037395
1989,1,-0.0523030392428214
1989,2,-0.0510782204027956
1989,3,-0.0832456551728147
1989,4,-0.117256023918859
1989,5,-0.0972880605320809
1989,6,-0.11788148784017
1989,7,-0.0923973372618593
1989,8,-0.0893790306334985
1989,9,-0.0733708580902125
1989,10,-0.0840131705995592
1989,11,-0.106062811036007
1989,12,-0.093009068737029
1990,1,-0.0641198207105509
1990,2,-0.0775355875035649
1990,3,-0.0751031198804623
1990,4,-0.0595424570625589
1990,5,-0.051455929352764
1990,6,-0.0375227329495536
1990,7,-0.0430935289926101
1990,8,-0.0394945615356937
1990,9,-0.0436345803332296
1990,10,-0.0330113965590441
1990,11,-0.043742921957039
1990,12,-0.0348061005607289
1991,1,-0.0282930970921286
1991,2,0.00765889821365817
1991,3,0.0291222327872761
1991,4,0.0173889339762269
1991,5,0.0283820538000083
1991,6,0.0138379167657911
1991,7,0.0308215279765826
1991,8,0.0163130324651795
1991,9,0.0201883909377692
1991,10,0.0339911448539595
1991,11,0.0225605682924881
1991,12,0.0155316882056722
