"Year","Month","DiversityCoeff"
1985,1,0.0124056808074976
1985,2,0.00791384307975175
1985,3,0.0342709976401847
1985,4,0.0392418301653001
1985,5,0.0481134047208674
1985,6,0.0643794373760431
1985,7,0.0531032985453065
1985,8,0.0658340211404874
1985,9,0.0580091830067397
1985,10,0.0587289158680594
1985,11,0.056805774376236
1985,12,0.0515255927151492
1986,1,0.0487314886056794
1986,2,0.0637889231962238
1986,3,0.0746822738261681
1986,4,0.0760513211346999
1986,5,0.0628913495152395
1986,6,0.0826923466017181
1986,7,0.0965972296540577
1986,8,0.0361422818040242
1986,9,0.0638728910703092
1986,10,0.088381917272462
1986,11,0.0856065673040739
1986,12,0.101074515344428
1987,1,0.0669837990679369
1987,2,0.0725333463038145
1987,3,0.0532510022033911
1987,4,0.0447458206029683
1987,5,0.0403933926117218
1987,6,0.0707205627418928
1987,7,0.0587777502776122
1987,8,0.0823234852516595
1987,9,0.0544234357993337
1987,10,0.0400335856008873
1987,11,0.0570567625935493
1987,12,0.0698158147262744
1988,1,0.0272247323328289
1988,2,0.10615841489264
1988,3,0.0595011935035425
1988,4,0.0572073904647305
1988,5,0.0566227993098407
1988,6,0.0158994276346044
1988,7,0.0130940548804658
1988,8,-0.00447235377039753
1988,9,0.0231556706213074
1988,10,0.0102447017312328
1988,11,0.0204752602372221
1988,12,-0.0156894192475518
1989,1,-0.0308021622333084
1989,2,0.0201652381249476
1989,3,0.0318070323702695
1989,4,0.0188548116505675
1989,5,0.0308023709287718
1989,6,0.0173725611138479
1989,7,0.000672125332940689
1989,8,0.01421635284685
1989,9,0.0312971146216992
1989,10,0.00948085461662765
1989,11,-0.00138382732778434
1989,12,0.026301459206304
1990,1,0.0415245093721469
1990,2,0.0481917385802501
1990,3,0.0305288965426184
1990,4,0.0497222847726578
1990,5,0.0850998307090467
1990,6,0.103170130574163
1990,7,0.0844091772424047
1990,8,0.0927730220641657
1990,9,0.0735590886017553
1990,10,0.0846723342763147
1990,11,0.0570551667005311
1990,12,0.0739982871230141
1991,1,0.0990172830339678
1991,2,0.0984006980504915
1991,3,0.098072279807482
1991,4,0.0700129037159306
1991,5,0.0918642263091107
