"Year","Month","DiversityCoeff"
1984,1,-0.268323975685405
1984,2,-0.268718391940079
1984,3,-0.250967308298677
1984,4,-0.255895593907866
1984,5,-0.243318782952034
1984,6,-0.240719451045275
1984,7,-0.223158056536291
1984,8,-0.242822703346843
1984,9,-0.247118536617554
1984,10,-0.247379076937931
1984,11,-0.220254390090646
1984,12,-0.10841193978298
1985,1,-0.210946098191577
1985,2,-0.234751047545135
1985,3,-0.235209182334306
1985,4,-0.231794902360635
1985,5,-0.21160073406532
1985,6,-0.220178471928054
1985,7,-0.225344253270497
1985,8,-0.214567856199314
1985,9,-0.198743826804524
1985,10,-0.198457202488156
1985,11,-0.194056210240949
1985,12,-0.207106280979231
1986,1,-0.195985968217589
1986,2,-0.181741442706542
1986,3,-0.161813603451946
1986,4,-0.146696899105812
1986,5,-0.140309750070704
1986,6,-0.117191352700445
1986,7,-0.119833228547989
1986,8,-0.108342479561037
1986,9,-0.130054691364195
1986,10,-0.13191222470788
1986,11,-0.132328628127895
1986,12,-0.127917906345985
1987,1,-0.114604692287841
1987,2,-0.126047879823973
1987,3,-0.115525853859
1987,4,-0.102680497120673
1987,5,-0.105324397132102
1987,6,-0.111339989742033
1987,7,-0.11468871213271
1987,8,-0.0950931022553013
1987,9,-0.111204887218997
1987,10,-0.104355399583918
1987,11,-0.100132727066075
1987,12,-0.0877382890154572
1988,1,-0.103317342405781
1988,2,-0.0976461082570856
1988,3,-0.114447489588275
1988,4,-0.100119828769028
1988,5,-0.127728307590631
1988,6,-0.137831335667499
1988,7,-0.148491144416676
1988,8,-0.144934404381439
1988,9,-0.156975558665045
1988,10,-0.178404037800578
1988,11,-0.195612690670537
1988,12,-0.228559701692811
1989,1,-0.257527026290633
1989,2,-0.257212555013197
1989,3,-0.253053169203802
1989,4,-0.266851749754495
1989,5,-0.259092513009911
1989,6,-0.252960848649761
1989,7,-0.253754953944333
1989,8,-0.236268891883566
1989,9,-0.258017767468227
1989,10,-0.254673541951117
1989,11,-0.252225506113041
1989,12,-0.254912589511653
1990,1,-0.246198823356249
1990,2,-0.254831614915802
1990,3,-0.250278414410863
1990,4,-0.243108148519521
1990,5,-0.237516724759453
1990,6,-0.235548825871596
1990,7,-0.219573148383284
1990,8,-0.232133560010886
1990,9,-0.231364193322015
1990,10,-0.225113689185266
1990,11,-0.252289274045356
1990,12,-0.259628760582718
1991,1,-0.251126672904817
1991,2,-0.252822343041263
1991,3,-0.239555264676035
1991,4,-0.232871745100557
1991,5,-0.229315056999578
1991,6,-0.238722524830928
1991,7,-0.229303952128858
1991,8,-0.231283236314925
1991,9,-0.215689586859314
1991,10,-0.214541067755403
1991,11,-0.21755203847432
1991,12,-0.207254715086215
1992,1,-0.147139306457325
1992,2,-0.166108799575199
1992,3,-0.160735865160914
1992,4,-0.184593277824416
1992,5,-0.174690086966809
1992,6,-0.180477031389882
1992,7,-0.172978350280292
1992,8,-0.149297644313377
1992,9,-0.149325038675503
1992,10,-0.155656878886346
1992,11,-0.152308530546897
1992,12,-0.141772082788961
1993,1,-0.143666591790319
1993,2,-0.150979826350842
1993,3,-0.161132000568113
1993,4,-0.172070205352741
1993,5,-0.178761944445128
1993,6,-0.171458988880125
1993,7,-0.163622001947466
1993,8,-0.157783506957211
1993,9,-0.168453736619647
1993,10,-0.158488065374262
1993,11,-0.160792196740325
1993,12,-0.153864620419067
1994,1,-0.157414972429107
1994,2,-0.173387014122465
1994,3,-0.189437907798642
1994,4,-0.192580614163935
1994,5,-0.174368409174253
1994,6,-0.182455689028067
