"Year","Month","DiversityCoeff"
1984,1,-0.264066294933802
1984,2,-0.265874691813636
1984,3,-0.2557048159283
1984,4,-0.256901691268083
1984,5,-0.243736074235985
1984,6,-0.237364386776607
1984,7,-0.211526583362553
1984,8,-0.201059935027687
1984,9,-0.208239896269513
1984,10,-0.188028338109246
1984,11,-0.153312735917306
1984,12,-0.0190097816139582
1985,1,-0.119823369253155
1985,2,-0.142066882581149
1985,3,-0.149355262212332
1985,4,-0.148837199179235
1985,5,-0.140470830971143
1985,6,-0.141350703618517
1985,7,-0.131593066585317
1985,8,-0.132799461899469
1985,9,-0.128352891049458
1985,10,-0.113743528596026
1985,11,-0.107298677826834
1985,12,-0.131460926398976
1986,1,-0.116622324820675
1986,2,-0.0970919619375483
1986,3,-0.0652345553669807
1986,4,-0.0587923369809071
1986,5,-0.0486672659202573
1986,6,-0.0261862616497232
1986,7,-0.0289564306469542
1986,8,-0.0271968980071694
1986,9,-0.0424773523132735
1986,10,-0.0312290804897247
1986,11,-0.0377495700938823
1986,12,-0.0290146971865682
1987,1,-0.00713637830271438
1987,2,-0.00521533961185872
1987,3,-0.00445223871409587
1987,4,0.00502523688700445
1987,5,0.00981545173377541
1987,6,-0.0105284033655824
1987,7,-0.0194448615033179
1987,8,-0.00426373776340009
1987,9,-0.0109982819723552
1987,10,-0.0176833613170527
1987,11,-0.0377669496947508
1987,12,-0.0359963410960182
1988,1,-0.0342481678575752
1988,2,-0.0308041881467019
1988,3,-0.0404593849204489
1988,4,-0.0326148339677938
1988,5,-0.0520976309446144
1988,6,-0.0754388758518182
1988,7,-0.0850705699001072
1988,8,-0.0858119674781383
1988,9,-0.0943109587917219
1988,10,-0.111661190076323
1988,11,-0.116558098899023
1988,12,-0.145942336451353
1989,1,-0.169628697060053
1989,2,-0.166828334032816
1989,3,-0.171250601744865
1989,4,-0.177818238600148
1989,5,-0.159870920432785
1989,6,-0.165064958473929
1989,7,-0.155468373394294
1989,8,-0.146616502559249
1989,9,-0.155461884504356
1989,10,-0.15492229043393
1989,11,-0.154485806452915
1989,12,-0.152086514307303
1990,1,-0.137514826322312
1990,2,-0.14639599320206
1990,3,-0.134571723722087
1990,4,-0.141077115133313
1990,5,-0.142549085031472
1990,6,-0.136291431683974
1990,7,-0.136035526125799
1990,8,-0.14046512195428
1990,9,-0.134173382072472
1990,10,-0.126226473512426
1990,11,-0.152334934272602
1990,12,-0.157457708020324
1991,1,-0.153806585394148
1991,2,-0.15269574377106
1991,3,-0.145720833811905
1991,4,-0.153187740746381
1991,5,-0.149643101453304
1991,6,-0.14879601238983
1991,7,-0.151828486877553
1991,8,-0.146848305678382
1991,9,-0.133977424000095
1991,10,-0.137576118453698
1991,11,-0.140164262056423
1991,12,-0.131973030571892
1992,1,-0.0829050879727345
1992,2,-0.087802928895884
1992,3,-0.0639203600922673
1992,4,-0.0716242672013024
1992,5,-0.0685838591357121
1992,6,-0.0704176513816267
1992,7,-0.0722721025363681
1992,8,-0.0471059932677435
1992,9,-0.0499257216819887
1992,10,-0.0382353721959839
1992,11,-0.0549646735659211
1992,12,-0.0501865562632696
1993,1,-0.041514851484469
1993,2,-0.0407749377133549
1993,3,-0.0394087373684561
1993,4,-0.0451320015947667
1993,5,-0.0578768230064956
1993,6,-0.03946222599088
1993,7,-0.0251575947289031
1993,8,-0.0266798242054991
1993,9,-0.0388414772988986
1993,10,-0.0301666880700123
1993,11,-0.0295142955843362
1993,12,-0.0296647380859033
1994,1,-0.035652356682739
1994,2,-0.0489827945289387
1994,3,-0.0617219292893588
1994,4,-0.0735742246637052
1994,5,-0.0749195804345566
1994,6,-0.0693052514547924
1994,7,-0.0813149174970453
1994,8,-0.0867556396309896
1994,9,-0.0895076030057405
1994,10,-0.0928808533013798
1994,11,-0.0881917239609179
1994,12,-0.0756030173206563
1995,1,-0.0884038966517011
1995,2,-0.102218982733589
1995,3,-0.0872827242623508
1995,4,-0.07035355836181
1995,5,-0.0687008320649949
1995,6,-0.0695363635465925
1995,7,-0.0710620295202736
1995,8,-0.0575810103300392
1995,9,-0.063512502763701
1995,10,-0.0721068213482485
1995,11,-0.0804947621900895
1995,12,-0.0558982677981298
1996,1,-0.0962827648768055
1996,2,-0.108826590918923
1996,3,-0.111797060610884
1996,4,-0.130598817680775
1996,5,-0.12107820405303
1996,6,-0.118167765226808
1996,7,-0.104947331128714
1996,8,-0.108704797779846
1996,9,-0.100871423217373
1996,10,-0.105505513250352
1996,11,-0.110387276859839
1996,12,-0.111441138208083
1997,1,-0.111957885307915
1997,2,-0.0930623185488278
1997,3,-0.0891610998190054
1997,4,-0.0748284880434194
1997,5,-0.0793419110783155
1997,6,-0.0778098988306958
1997,7,-0.0742042821507907
1997,8,-0.0529327520876148
1997,9,-0.0366695156582958
1997,10,-0.0410372588723792
1997,11,-0.0369738786746282
1997,12,-0.0308075053791054
1998,1,-0.0364655421324882
1998,2,-0.00278174851485571
1998,3,0.00170083550527152
1998,4,0.00342005995505806
1998,5,-0.0126300555944008
1998,6,-0.0275888508085473
1998,7,-0.0232165831091992
1998,8,-0.0220598393775938
1998,9,-0.0335041539644986
1998,10,-0.0243132733380724
1998,11,-0.0128352013394765
1998,12,-0.012732950997837
1999,1,-0.00101469065934013
1999,2,-0.00471917934101728
1999,3,-0.000607817666703978
1999,4,0.0119474741286509
1999,5,0.00645437309361691
1999,6,0.00520544812374803
1999,7,0.00345566494672701
1999,8,0.00542937536530858
1999,9,-0.00370748548885124
1999,10,-0.000620681558151082
1999,11,-0.00660627248276653
1999,12,0.0207124004365578
2000,1,0.00576350593465032
2000,2,-0.00862909544179252
2000,3,-0.0122654159769345
2000,4,-0.00951562281225677
2000,5,0.00205629687927389
2000,6,0.00307043737662095
2000,7,-0.0103499764962021
2000,8,-0.0139621821108842
2000,9,-0.0312878780268031
2000,10,-0.0302549434422812
2000,11,-0.0201623921013442
2000,12,-0.0317826609151225
2001,1,-0.0371058369982203
2001,2,-0.050647212357108
2001,3,-0.0595726482519514
2001,4,-0.0536891390025234
2001,5,-0.061284074329133
2001,6,-0.0574942957712768
2001,7,-0.0567542184418586
2001,8,-0.0557936594478837
2001,9,-0.0672574277203918
2001,10,-0.0795331410487696
2001,11,-0.0871319477486448
2001,12,-0.0939735986130571
2002,1,-0.0919787145823844
2002,2,-0.105748831289414
2002,3,-0.119160032952252
2002,4,-0.137557188148762
2002,5,-0.13256585193878
2002,6,-0.125682814113056
2002,7,-0.110957653148622
2002,8,-0.117341468948921
2002,9,-0.117327113972255
2002,10,-0.133982728019073
2002,11,-0.129304429690481
2002,12,-0.132898798363904
2003,1,-0.108970487492554
2003,2,-0.100810843901511
2003,3,-0.10040867502443
2003,4,-0.102085360395208
2003,5,-0.116632288931061
2003,6,-0.117910941297316
2003,7,-0.0934090249695043
2003,8,-0.0912447888257507
2003,9,-0.0750245829625877
2003,10,-0.0692741536316226
2003,11,-0.0840800208615075
2003,12,-0.0663269049718864
2004,1,-0.0950049571279428
2004,2,-0.0789704043224319
2004,3,-0.0854199194371426
2004,4,-0.0810941539841768
2004,5,-0.0796766391876156
2004,6,-0.0750110640279773
2004,7,-0.0762864253815187
2004,8,-0.0753359664143147
2004,9,-0.0833285721731738
2004,10,-0.0833341801032655
2004,11,-0.085924124077018
2004,12,-0.0697289330713733
2005,1,-0.0600979813320929
2005,2,-0.0245091956877536
2005,3,-0.011886000194462
2005,4,-0.0071336718931147
2005,5,-0.00363924323513693
2005,6,0.00332051245333598
2005,7,-0.014155356436244
2005,8,-0.0108783977303999
2005,9,-0.0192421714929793
2005,10,-0.016107005393702
2005,11,-0.00647202342205217
2005,12,0.0019497876054189
2006,1,-0.0107615910707496
2006,2,-0.0256565833293687
2006,3,-0.0405252536936987
2006,4,-0.0420240256231397
2006,5,-0.0199278195351972
2006,6,-0.0209775871614128
2006,7,-0.019703236012477
2006,8,-0.0081150485805878
2006,9,-0.0254475021399012
2006,10,-0.0405009458086088
2006,11,-0.0364782199323215
2006,12,-0.0384057510523428
2007,1,-0.0398326263720449
2007,2,-0.0582613032244434
2007,3,-0.0931013679045151
2007,4,-0.0874256537750418
2007,5,-0.0907181555513399
2007,6,-0.0921298363161625
2007,7,-0.0944422995740509
2007,8,-0.0963552916918825
2007,9,-0.0913531147334869
2007,10,-0.100660957189696
2007,11,-0.102818680853871
2007,12,-0.0953406663909193
2008,1,-0.11275519145725
2008,2,-0.129833180749875
2008,3,-0.135635020584907
2008,4,-0.128608666052084
2008,5,-0.123381435344767
2008,6,-0.120808769634606
2008,7,-0.108055890865346
2008,8,-0.115676684502357
2008,9,-0.124352073299173
2008,10,-0.118857570048613
2008,11,-0.122698666232057
2008,12,-0.115539983239505
2009,1,-0.107690638154083
2009,2,-0.101366866717781
2009,3,-0.0938727316397758
2009,4,-0.0795874351440029
2009,5,-0.0890553661753506
2009,6,-0.0818975999113924
2009,7,-0.101764437227416
2009,8,-0.0931884735941719
2009,9,-0.0954917301961339
2009,10,-0.0960578262755972
2009,11,-0.0899630090503155
2009,12,-0.103101561083451
2010,1,-0.120070039968966
2010,2,-0.0882742142139123
2010,3,-0.0401510523727779
2010,4,-0.0443167673426209
2010,5,-0.0296324343608678
2010,6,-0.0182825206016604
2010,7,-0.0288641753375109
2010,8,-0.0367439439712364
2010,9,-0.0249279383886799
2010,10,-0.00513423847952777
2010,11,-0.00165254566269995
2010,12,-0.00443141474833135
2011,1,0.00240576350340045
2011,2,-0.00870651126557194
2011,3,-0.00199778110627813
2011,4,-0.00295001741302253
2011,5,-0.000645738538070768
2011,6,-0.00295987344857711
2011,7,-0.00272057216475219
2011,8,0.00386067708620197
2011,9,0.0105193734200409
2011,10,0.0097560120207515
2011,11,0.009598284016204
2011,12,0.00248931963023975
2012,1,0.00267348882219775
2012,2,-0.0120307049677176
2012,3,-0.0103331453341221
2012,4,-0.0260219424261386
2012,5,-0.022665870355772
2012,6,-0.0206928368999076
2012,7,-0.0208743834123513
2012,8,-0.0215007402615258
2012,9,-0.0225991922945444
2012,10,-0.0198788620796669
2012,11,-0.032322554028363
2012,12,-0.0427270445688025
2013,1,-0.0425021551006392
2013,2,-0.0373759249283246
2013,3,-0.0500454337744246
2013,4,-0.0308817469113534
2013,5,-0.0581140578939483
2013,6,-0.0502812081456268
2013,7,-0.0429105771178027
2013,8,-0.0404049627148589
2013,9,-0.0637021721799069
2013,10,-0.0721810828697776
2013,11,-0.0616529685080272
2013,12,-0.0688773141338999
2014,1,-0.0442194396059911
2014,2,-0.0317763441070197
2014,3,-0.0452634872064711
2014,4,-0.0496827281318084
2014,5,-0.0628438005521279
2014,6,-0.0750405846200796
2014,7,-0.0818751356623478
2014,8,-0.0662974645252991
2014,9,-0.0491416358282718
2014,10,-0.0585139339997593
2014,11,-0.0525574455237717
2014,12,-0.0514230813631721
2015,1,-0.0510363445281828
2015,2,-0.044636303815728
2015,3,-0.0515358039070244
2015,4,-0.0621056134264933
2015,5,-0.0627905185351409
2015,6,-0.044063592295617
2015,7,-0.0488628888117011
2015,8,-0.0483902470957953
2015,9,-0.0602143714502478
2015,10,-0.0574397212481527
2015,11,-0.0570567580397652
2015,12,-0.0536928886554853
2016,1,-0.0733896245252096
2016,2,-0.078761331104226
2016,3,-0.073167982092332
2016,4,-0.0691293809883626
2016,5,-0.0621765000566276
2016,6,-0.0804420806906511
2016,7,-0.0726931497484376
2016,8,-0.0719159466312731
2016,9,-0.0662924843108757
2016,10,-0.0696940951006986
