"Year","Month","DiversityCoeff"
1984,1,-0.20803556381953
1984,2,-0.208628234778537
1984,3,-0.198513594180799
1984,4,-0.190790969467376
1984,5,-0.184425857124352
1984,6,-0.168959539616332
1984,7,-0.159177556620003
1984,8,-0.150853734909847
1984,9,-0.131369687063196
1984,10,-0.097880887898607
1984,11,-0.0338079874898326
1984,12,0.116147289937295
1985,1,0.00993649996448772
1985,2,0.0110111792682549
1985,3,0.01698252785136
1985,4,0.0268324126866862
1985,5,0.0351422941587734
1985,6,0.042852570962663
1985,7,0.0143710843785265
1985,8,0.0308459425127598
1985,9,0.0254007031848177
1985,10,0.0302528597064063
1985,11,0.0235217987085386
1985,12,0.0167374409375488
1986,1,0.024533072575083
1986,2,0.0308336312973672
1986,3,0.0556761769461404
1986,4,0.0653831442452824
1986,5,0.0690707221925735
1986,6,0.0871718942358451
1986,7,0.0721790026173147
1986,8,0.0429223164893804
1986,9,0.0568403468174857
1986,10,0.054913407941752
1986,11,0.0579088646794209
1986,12,0.067421476755936
1987,1,0.0706319201468595
1987,2,0.0578249848065232
1987,3,0.0649439875492008
1987,4,0.070389903426751
1987,5,0.0828730812680644
1987,6,0.0738950826216067
1987,7,0.0766186522591959
1987,8,0.0821678011751713
1987,9,0.0798632343208365
1987,10,0.0745344860400047
1987,11,0.0673937236821288
1987,12,0.077050812111062
1988,1,0.0817658304463323
1988,2,0.0750544483006869
1988,3,0.0626401953489863
1988,4,0.055731855871874
1988,5,0.0381045809741845
1988,6,0.0300218915330971
1988,7,0.0434344852963907
1988,8,0.0427483941430199
1988,9,0.0308754984191802
1988,10,0.0312632900108025
1988,11,0.0116374444516633
1988,12,0.00829907904727355
1989,1,-0.000165866429982596
1989,2,0.0046448811304075
1989,3,0.00935193484952837
1989,4,0.00513269594657644
1989,5,-0.0170098613035848
1989,6,-0.0228577271964265
1989,7,-0.00986721351365669
1989,8,0.00687346834976395
1989,9,0.0035343676341635
1989,10,0.0117516185456633
1989,11,0.00841448446302078
1989,12,0.0127224423366782
1990,1,-0.0082181395596812
1990,2,0.00730678187218588
1990,3,0.0131398216996183
1990,4,0.0288266367641814
1990,5,0.034285302466131
1990,6,0.0317548008630038
1990,7,0.0263064036625309
1990,8,0.0274789853874957
1990,9,0.0221981736264796
1990,10,0.0150591818458875
1990,11,0.0171562703553075
1990,12,0.0246483674873958
1991,1,0.0151770419507107
1991,2,0.0205117036612206
1991,3,0.0233210339279797
1991,4,0.00950862872941575
1991,5,0.0115085754346355
1991,6,-0.010017745031199
1991,7,-0.0141910467357191
1991,8,-0.00477893732146019
1991,9,-0.00141907890046947
1991,10,0.00342387088350882
1991,11,0.0148091814558036
1991,12,0.0106911868386875
1992,1,0.0435613613533533
1992,2,0.0578498040662086
1992,3,0.0668202191002413
1992,4,0.0623708966029744
