"Year","Month","DiversityCoeff"
1984,1,-0.117257256795107
1984,2,-0.116570676961431
1984,3,-0.112442586831661
1984,4,-0.11454310147303
1984,5,-0.115352198070289
1984,6,-0.122857868552788
1984,7,-0.109427443395768
1984,8,-0.100059662736948
1984,9,-0.0952776715261019
1984,10,-0.100659443936515
1984,11,-0.0871158574958842
1984,12,-0.0933492699063655
1985,1,-0.112271053953129
1985,2,-0.133272567916422
1985,3,-0.13021963601061
1985,4,-0.132498554685903
1985,5,-0.138333658701554
1985,6,-0.154562752437437
1985,7,-0.141626125256949
1985,8,-0.138110697473535
1985,9,-0.127599599913847
1985,10,-0.110665470906627
1985,11,-0.109806218040197
1985,12,-0.12477739536443
1986,1,-0.115227953922662
1986,2,-0.107307418590281
1986,3,-0.100345783952637
1986,4,-0.084153820325529
1986,5,-0.0801472471464998
1986,6,-0.077740173147019
1986,7,-0.0853117877844678
1986,8,-0.0752462445823159
1986,9,-0.0852450108540728
1986,10,-0.089417691626001
1986,11,-0.0809406113166377
1986,12,-0.093436080594959
1987,1,-0.0790192843551582
1987,2,-0.0647855133071324
1987,3,-0.0733710935808661
1987,4,-0.0488658911481458
1987,5,-0.0574578500642579
1987,6,-0.0447742511798476
1987,7,-0.0307436316702664
1987,8,-0.0463494831817989
1987,9,-0.0459326806965689
1987,10,-0.0688361367284317
1987,11,-0.0684283646201761
1987,12,-0.0663506330962707
1988,1,-0.0573241269863268
1988,2,-0.0650589539084435
1988,3,-0.0683759084469745
1988,4,-0.0921595207756712
1988,5,-0.0825395598666697
1988,6,-0.0698705787372356
1988,7,-0.0830744102417392
1988,8,-0.0829803763903016
1988,9,-0.13241991817311
1988,10,-0.13382218923339
1988,11,-0.138828856401475
1988,12,-0.142521414390366
1989,1,-0.145233595828872
1989,2,-0.149262964517835
1989,3,-0.12810224508718
1989,4,-0.142237294452002
1989,5,-0.139609553827189
1989,6,-0.153634732148828
1989,7,-0.139213708913934
1989,8,-0.167922271082156
1989,9,-0.18886361731813
1989,10,-0.186288636277162
1989,11,-0.186779109069115
1989,12,-0.188647476136097
1990,1,-0.181984557163131
1990,2,-0.198182718966844
1990,3,-0.184834296800917
1990,4,-0.201122824430914
1990,5,-0.190366970854162
1990,6,-0.197453886587855
1990,7,-0.157895418502796
1990,8,-0.174589378089173
1990,9,-0.173344254214361
1990,10,-0.169229949140747
1990,11,-0.175252502934594
1990,12,-0.178986243859512
