"Year","Month","DiversityCoeff"
1984,1,-0.0102834862996029
1984,2,-0.00123921625964939
1984,3,0.00820401059780329
1984,4,-0.00458337465585987
1984,5,-0.00071927636490894
1984,6,-0.00155577810997159
1984,7,0.0190726826195464
1984,8,0.0179138140135086
1984,9,0.00534470007936701
1984,10,-0.0024368066854086
1984,11,-0.00959576573838005
1984,12,0.00299380433786362
1985,1,0.0218090166448919
1985,2,-0.0358826608491661
1985,3,-0.0294189549183301
1985,4,-0.0243507886745492
1985,5,0.0075795424750081
1985,6,-0.0134258162195667
1985,7,-0.00800324231888741
1985,8,0.0033142767752073
1985,9,0.0155725225994227
1985,10,0.0376708150593832
1985,11,0.025918365876162
1985,12,0.053397266660973
1986,1,0.113560362438289
1986,2,0.128900315834774
1986,3,0.161003802370404
1986,4,0.180765312566597
1986,5,0.179225085762409
1986,6,0.181927886789931
1986,7,0.179932180523792
1986,8,0.169236152954474
1986,9,0.157984622204726
1986,10,0.122760884195773
1986,11,0.106520318789646
1986,12,0.0881506313360917
1987,1,0.0710768854977635
1987,2,0.0401348391174984
1987,3,0.0372361239366188
1987,4,0.0415292665397242
1987,5,0.0388044844978183
1987,6,0.033098324987222
1987,7,0.0558998478667126
1987,8,0.0668272981710921
1987,9,0.0800105389681565
1987,10,0.0735026352801779
1987,11,0.0638771822885521
1987,12,0.0480567824867199
1988,1,0.0291472208308795
1988,2,0.0313400771162928
1988,3,0.0309895204836371
1988,4,0.0418741149735668
1988,5,0.0518963956011748
1988,6,0.0464672622727842
1988,7,0.0276187076479067
1988,8,0.0120855854867223
1988,9,0.0579801340524609
1988,10,0.0757407062573146
1988,11,0.0618702993440388
1988,12,0.0738493788865919
1989,1,0.0650459374808473
1989,2,0.0695532897454966
1989,3,0.0454676299318683
1989,4,0.0543875881627357
1989,5,0.052291477873111
1989,6,0.0394853915316794
1989,7,0.051387452661591
1989,8,0.0598879664225984
1989,9,0.0533471259256874
1989,10,0.072478834172735
1989,11,0.069841344080175
1989,12,0.0710927937864484
1990,1,0.194284025876364
1990,2,0.10984564780568
1990,3,0.0436583477487341
1990,4,0.0484649277759787
1990,5,0.05338368450025
1990,6,0.0740602413264928
1990,7,0.065041273338548
1990,8,0.080907191964956
1990,9,0.0636645951387999
1990,10,0.0657839564908533
1990,11,0.0727196850072836
1990,12,0.0820688319959867
1991,1,0.0844615327828855
1991,2,0.095968353066995
1991,3,0.0918506697443944
1991,4,0.0972142667987686
1991,5,0.100099206717673
1991,6,0.0978534002208595
1991,7,0.0824918527088326
1991,8,0.0663531807668819
1991,9,0.0775064264356114
1991,10,0.0773180164297633
1991,11,0.0975821829519592
1991,12,0.0776069568740249
1992,1,0.0835121968240871
1992,2,0.0600543898913488
1992,3,0.0876433081261639
1992,4,0.0728208641961486
1992,5,0.0984720561482701
1992,6,0.102678694953374
1992,7,0.09273418491288
1992,8,0.0874513638938012
1992,9,0.0998173988582377
1992,10,0.0962267217592912
1992,11,0.107364443399442
1992,12,0.0922290807177543
1993,1,0.121818577685546
1993,2,0.212226177148108
1993,3,0.119917765312945
1993,4,0.0687863644933337
1993,5,0.0923249669231374
1993,6,0.117502279863895
1993,7,0.128205892140749
1993,8,0.122367404179439
1993,9,0.121528423454376
1993,10,0.131011237603822
1993,11,0.0906435719813913
1993,12,0.0801993401442808
1994,1,0.0850295451824679
1994,2,0.086543181900753
1994,3,0.113815485711563
1994,4,0.108662680002231
1994,5,0.102693858735266
1994,6,0.10206542932519
1994,7,0.113072416955538
1994,8,0.0992842292377735
1994,9,0.115198441611985
1994,10,0.123781691851532
1994,11,0.145775886557481
1994,12,0.187517389360114
1995,1,0.133862169020347
1995,2,0.109509163766323
1995,3,0.113732370143525
1995,4,0.111449831192338
1995,5,0.0952777816180835
1995,6,0.106369745185528
1995,7,0.114433179143565
1995,8,0.0846468635547065
1995,9,0.0589309667767325
1995,10,0.0421192992721211
1995,11,0.0393733361505533
1995,12,0.0265384391837734
1996,1,0.0186085065028384
1996,2,0.00778168591024515
1996,3,0.00999503073796325
1996,4,0.064739335814461
1996,5,0.0448959704588722
1996,6,0.0442482135679412
1996,7,0.00970749392139913
1996,8,0.0612213622454782
1996,9,0.0510838400555932
1996,10,0.05016734134658
1996,11,0.0569938842217721
1996,12,0.0844655530262432
1997,1,0.114690731986374
1997,2,0.183274159592644
1997,3,0.146757399398584
1997,4,0.162771368410502
1997,5,0.173994833060949
1997,6,0.193506767544044
1997,7,0.182383838230689
1997,8,0.163018848693519
1997,9,0.165866587657421
1997,10,0.147477198437126
1997,11,0.160897527615358
1997,12,0.16108764490871
1998,1,0.203538039086333
1998,2,0.180787821997371
1998,3,0.214671068082449
1998,4,0.223560295179081
1998,5,0.219016890654032
1998,6,0.214634651748274
1998,7,0.192657988821885
1998,8,0.189597315061969
1998,9,0.190097403683107
1998,10,0.188856114196672
1998,11,0.165735265409083
1998,12,0.176150098421972
1999,1,0.146847404585407
1999,2,0.163506477029961
1999,3,0.157179925323277
1999,4,0.102763612491073
1999,5,0.0932593897209285
1999,6,0.08717969763294
1999,7,0.0898166932352929
1999,8,0.100176053517349
1999,9,0.125898376358665
1999,10,0.138491664966995
1999,11,0.140579178917042
1999,12,0.14910759285768
2000,1,0.260465306834916
2000,2,0.148732660888882
2000,3,0.146427862360956
2000,4,0.151145839854942
2000,5,0.14333016659383
2000,6,0.106134006730975
2000,7,0.09840733576702
2000,8,0.0918643988138697
2000,9,0.0786300279565471
2000,10,0.0826923171665427
2000,11,0.0848122515907399
2000,12,0.0670892584510385
2001,1,0.0795628619297599
2001,2,0.071997442674534
2001,3,0.0622922259566931
2001,4,0.0632496424581742
2001,5,0.0464427492016977
2001,6,0.0379813150020499
2001,7,0.0379445677275113
2001,8,0.0473003193899144
2001,9,0.0792181052746809
2001,10,0.0565713437326027
2001,11,0.0426325986651301
2001,12,0.0447050073783379
2002,1,0.0595401026580552
2002,2,0.0661440894565616
2002,3,0.0456850030147129
2002,4,0.0310952959300169
2002,5,0.0198963238158675
2002,6,0.00516686221663448
2002,7,0.00418007305790367
2002,8,0.00553866245828037
2002,9,0.015076084721547
2002,10,0.00942809963002868
2002,11,-0.0138068747013348
2002,12,0.00166688717164657
2003,1,0.0371302380662023
2003,2,0.177296323359547
2003,3,0.206844203284972
2003,4,0.19793784177909
2003,5,0.2021206655187
2003,6,0.217962445522972
2003,7,0.228472143047834
2003,8,0.22760195938956
2003,9,0.224234744551318
2003,10,0.216998012212693
2003,11,0.221531161891968
2003,12,0.216485964089604
2004,1,0.213573860482483
2004,2,0.211857196255211
2004,3,0.213519079983133
2004,4,0.217005754951126
2004,5,0.229130999752583
2004,6,0.223058490537995
2004,7,0.223112434144064
2004,8,0.220210718262963
2004,9,0.211761831224334
2004,10,0.217436384227115
2004,11,0.199816144093665
2004,12,0.177404744138991
2005,1,0.14709878351225
2005,2,0.157680199286606
2005,3,0.178809513056094
2005,4,0.193079015768185
2005,5,0.206705198946563
2005,6,0.226468765316371
2005,7,0.217180147388347
2005,8,0.207497223165239
2005,9,0.205376053724757
2005,10,0.205079186287401
2005,11,0.224773959118183
2005,12,0.220312451705226
2006,1,0.181750620508585
2006,2,0.178913718841681
2006,3,0.157097370480401
2006,4,0.152914998767853
2006,5,0.177860333857888
2006,6,0.174933369657201
2006,7,0.161460314642243
2006,8,0.150972346170914
2006,9,0.153681357013777
2006,10,0.154620704177798
2006,11,0.162223616145523
2006,12,0.180622295666922
2007,1,0.197582738694541
2007,2,0.2030616019987
2007,3,0.208966173706761
2007,4,0.204723777320977
2007,5,0.195656422918934
2007,6,0.199107233786614
2007,7,0.197662955784475
2007,8,0.195322415263119
2007,9,0.184473242697797
2007,10,0.1819073545439
2007,11,0.185872888628174
2007,12,0.184851646581158
2008,1,0.17832929069021
2008,2,0.182707017921185
2008,3,0.169429442673111
2008,4,0.1489929034417
2008,5,0.141149267879026
2008,6,0.150593271329601
2008,7,0.159853642029246
2008,8,0.156286101130091
2008,9,0.156733705682188
2008,10,0.149313735666859
2008,11,0.143537195667543
2008,12,0.159785939331654
2009,1,0.16400898378811
2009,2,0.177806583123672
2009,3,0.17297725852688
2009,4,0.173479816071972
