"Year","Month","DiversityCoeff"
1985,1,0.132949563225677
1985,2,0.129246633972516
1985,3,0.136472108712773
1985,4,0.135123634452795
1985,5,0.133758084768311
1985,6,0.143081258648456
1985,7,0.145954212214574
1985,8,0.144958250154389
1985,9,0.158520930565659
1985,10,0.161505822803932
1985,11,0.159526826072093
1985,12,0.152900362910177
1986,1,0.151335376217986
1986,2,0.156539349314159
1986,3,0.144472505242656
1986,4,0.145572870820005
1986,5,0.122512912171557
1986,6,0.117646379745632
1986,7,0.131936785429862
1986,8,0.129470057557313
1986,9,0.142483163737019
1986,10,0.141173065458507
1986,11,0.148435589497268
1986,12,0.155728374642152
1987,1,0.160013875714103
1987,2,0.146780026265889
1987,3,0.142819773919943
1987,4,0.134248165190149
1987,5,0.135518998841937
1987,6,0.113391325837536
1987,7,0.135365908406888
1987,8,0.130092883845143
1987,9,0.136102495689749
1987,10,0.12982273080757
1987,11,0.128487281155911
1987,12,0.127839499537815
1988,1,0.138633710437922
1988,2,0.126555322984715
1988,3,0.132196431828424
1988,4,0.127311649419679
1988,5,0.140279821916607
1988,6,0.143125450153726
1988,7,0.120327235954769
1988,8,0.136723810190189
1988,9,0.145606279900852
1988,10,0.142538872174402
1988,11,0.148635529096303
1988,12,0.141857679380031
1989,1,0.149619679058908
1989,2,0.156282547690522
1989,3,0.15626549213701
1989,4,0.162586121269269
1989,5,0.157658036092156
1989,6,0.155499365060651
1989,7,0.146240295761394
1989,8,0.159223852565942
1989,9,0.150793483195764
1989,10,0.157947724675206
1989,11,0.159245097308895
1989,12,0.149033999909451
1990,1,0.14046928883566
1990,2,0.137139617878639
1990,3,0.158127815472258
1990,4,0.141372115750717
1990,5,0.153258353646213
1990,6,0.155098524485107
1990,7,0.162350563036477
1990,8,0.159839878693844
1990,9,0.16123116538265
1990,10,0.155089550199235
1990,11,0.156181796876894
1990,12,0.1607153844323
1991,1,0.16011493765838
1991,2,0.179465937151286
1991,3,0.174235171881578
1991,4,0.162216800478912
1991,5,0.142344065719495
1991,6,0.164177172862483
1991,7,0.17554727623274
1991,8,0.163870042682256
1991,9,0.168785454080434
1991,10,0.167845515115782
1991,11,0.163087077593206
1991,12,0.168473174012845
1992,1,0.163708959030913
1992,2,0.160170924501898
1992,3,0.16399411619582
1992,4,0.165924025046705
1992,5,0.163433185087575
1992,6,0.163170190179382
1992,7,0.166273178046987
1992,8,0.174709691495679
1992,9,0.165971787007457
1992,10,0.181591995665466
1992,11,0.173080621119765
1992,12,0.172574665013076
1993,1,0.170343403890404
1993,2,0.181561638472954
1993,3,0.162179733467294
1993,4,0.16977516646775
1993,5,0.17414419274472
1993,6,0.163423658600787
1993,7,0.179008661941004
1993,8,0.164541007340171
1993,9,0.182420366095564
1993,10,0.189904600785388
1993,11,0.190468349165682
1993,12,0.192807252349605
1994,1,0.183320859398366
1994,2,0.178247779475148
1994,3,0.194151513786813
1994,4,0.184675610018291
1994,5,0.177874570445644
1994,6,0.195295441837874
1994,7,0.175813129526397
1994,8,0.177901447577702
1994,9,0.160862153501596
1994,10,0.180151698483858
1994,11,0.171332656278835
1994,12,0.177003084573198
1995,1,0.185044286473473
1995,2,0.183878860471604
1995,3,0.186993773159723
1995,4,0.165523018313111
1995,5,0.170363098060689
1995,6,0.1764460256561
1995,7,0.186375252879602
1995,8,0.182031852251508
1995,9,0.171984689623619
1995,10,0.179676152466566
1995,11,0.158362186601516
1995,12,0.174181840636901
1996,1,0.163831650350121
1996,2,0.168387680741939
1996,3,0.166085358573608
1996,4,0.159001978088147
1996,5,0.156062136337825
1996,6,0.160748384015507
1996,7,0.15617917552643
1996,8,0.182751402375624
1996,9,0.171700001364271
1996,10,0.179618531261366
1996,11,0.178683404559912
1996,12,0.17905714864631
1997,1,0.168045712592269
1997,2,0.165365333232812
1997,3,0.177677318060223
1997,4,0.184000896805592
1997,5,0.17832006796506
1997,6,0.179368730999608
1997,7,0.188763398002418
1997,8,0.190153032182046
1997,9,0.178522229980782
1997,10,0.186674189903333
1997,11,0.194741720952051
1997,12,0.199911216810589
1998,1,0.198019860453528
1998,2,0.210498370025596
1998,3,0.217193484418093
1998,4,0.210596418895898
1998,5,0.219232255986585
1998,6,0.224070969947867
1998,7,0.221447498366793
1998,8,0.219515462697173
1998,9,0.229087236602421
1998,10,0.228769326921793
1998,11,0.226999548635135
1998,12,0.228205958929573
1999,1,0.238228862279616
1999,2,0.233867406346071
1999,3,0.225050047256656
1999,4,0.237875002086165
1999,5,0.238074539367807
1999,6,0.236215316920432
1999,7,0.231845888960444
1999,8,0.201489216936575
1999,9,0.218896142718657
1999,10,0.210934758067309
1999,11,0.208648496376842
1999,12,0.213281096873671
2000,1,0.230831867713983
2000,2,0.217386079718582
2000,3,0.213837316537437
2000,4,0.219144246393866
2000,5,0.222720903279675
2000,6,0.201128140546238
2000,7,0.190896102489192
2000,8,0.191498232800729
2000,9,0.194446480934083
2000,10,0.207665589591579
2000,11,0.195562607927421
2000,12,0.184709067286846
2001,1,0.172161665994189
2001,2,0.177972166284867
2001,3,0.181689201794971
2001,4,0.182111625724479
2001,5,0.183311150497038
2001,6,0.187425625598507
2001,7,0.195538129919703
2001,8,0.196432323825528
2001,9,0.204538495416359
2001,10,0.198042443154038
2001,11,0.197227052654702
2001,12,0.194795639153673
2002,1,0.19306440781085
2002,2,0.187700181787394
2002,3,0.187927118113729
2002,4,0.184159087081592
2002,5,0.178720964937841
2002,6,0.189207018817395
2002,7,0.191068265706297
2002,8,0.196156070581493
2002,9,0.195945409656333
2002,10,0.201231550413226
2002,11,0.195569003221872
2002,12,0.194944546757848
2003,1,0.185257083459583
2003,2,0.188262603929338
2003,3,0.168211445580062
2003,4,0.163594633185258
2003,5,0.15492258515702
2003,6,0.168289743581171
2003,7,0.17403839340216
2003,8,0.163547808797176
2003,9,0.17760197476733
2003,10,0.16793971227603
2003,11,0.181257227217698
2003,12,0.186210972796387
2004,1,0.193339566963
2004,2,0.182329070801071
2004,3,0.174393292401093
2004,4,0.161140966120187
2004,5,0.156172144284742
2004,6,0.162817736450098
2004,7,0.156447329558171
2004,8,0.153281588681396
2004,9,0.166058816708837
2004,10,0.156820710315067
2004,11,0.159492775902399
2004,12,0.162631128464839
2005,1,0.168438294777529
2005,2,0.17142969040908
2005,3,0.179330856814606
2005,4,0.183788627565822
2005,5,0.180484826351371
2005,6,0.16520353124605
2005,7,0.169120169732657
2005,8,0.174210285581509
2005,9,0.188504472382196
2005,10,0.194636391297347
2005,11,0.201899043831998
2005,12,0.205725692672867
2006,1,0.188247052876852
2006,2,0.177378971330953
2006,3,0.182152074455203
2006,4,0.172360500511974
2006,5,0.191653305008165
2006,6,0.189462439212608
2006,7,0.180828505293261
2006,8,0.169292097946116
2006,9,0.172940678719883
2006,10,0.181516239750789
2006,11,0.172817795937734
2006,12,0.172729781335294
2007,1,0.190069792645541
2007,2,0.178066551210156
2007,3,0.187805824002931
2007,4,0.186994924753939
2007,5,0.186398224094135
2007,6,0.161365445521278
2007,7,0.183426503592062
2007,8,0.176201987338046
2007,9,0.173766999820045
2007,10,0.19103583406056
2007,11,0.206797363656774
2007,12,0.19897812171772
2008,1,0.189629550420693
2008,2,0.189886353975698
2008,3,0.19382856418823
2008,4,0.18129668046
2008,5,0.170638701992041
2008,6,0.151807363908307
2008,7,0.150949763633082
2008,8,0.140646583636975
2008,9,0.13974736593268
2008,10,0.137795745491027
2008,11,0.133864772358341
2008,12,0.130983287410249
2009,1,0.132933014134338
2009,2,0.132305393415493
2009,3,0.128733479384933
2009,4,0.132747335077676
2009,5,0.141562048174241
2009,6,0.130204862172585
2009,7,0.128354315822453
2009,8,0.136294919517236
2009,9,0.134735662957717
2009,10,0.120688816619638
2009,11,0.137431566776226
2009,12,0.127621410513309
2010,1,0.105348352096124
2010,2,0.107131437345976
2010,3,0.106816193316548
2010,4,0.117114848938148
2010,5,0.112848791286828
2010,6,0.116154263350995
2010,7,0.126266308816949
2010,8,0.113029454484881
2010,9,0.1121993077028
2010,10,0.102305723988167
2010,11,0.114354752717206
2010,12,0.118267060987714
2011,1,0.119915113515071
2011,2,0.136566764634455
2011,3,0.129058815335977
2011,4,0.143435691367266
2011,5,0.153495196723612
2011,6,0.16562665719851
2011,7,0.161857873786932
2011,8,0.166685383482622
2011,9,0.178219868451002
2011,10,0.169851196274611
2011,11,0.173632453102199
2011,12,0.170798582496912
2012,1,0.1749281381213
2012,2,0.18440679877713
2012,3,0.194816705697889
2012,4,0.184448853287343
2012,5,0.180311493385568
2012,6,0.177797121351894
2012,7,0.183661402083044
2012,8,0.177175125172556
2012,9,0.193370225875852
2012,10,0.194705740503801
2012,11,0.200149466845867
2012,12,0.21583915931914
2013,1,0.199841254051374
2013,2,0.212748078749013
2013,3,0.207670313090154
2013,4,0.200470576834149
2013,5,0.203219023434066
2013,6,0.215436712617781
2013,7,0.193039490536847
2013,8,0.199041004337584
2013,9,0.189526324209961
2013,10,0.199628177771192
2013,11,0.187928598831307
2013,12,0.187588153088828
2014,1,0.181526022816184
2014,2,0.161959672286015
2014,3,0.161907059442928
2014,4,0.165041203768396
2014,5,0.158521146369209
2014,6,0.16236235371973
2014,7,0.157565841448262
2014,8,0.148201359597297
2014,9,0.148836571050595
2014,10,0.149521872494558
2014,11,0.141992733124142
2014,12,0.136711569000544
2015,1,0.13589210575673
2015,2,0.146517119406584
2015,3,0.134622550130976
2015,4,0.139644674189246
2015,5,0.1396828034426
2015,6,0.130331248532521
2015,7,0.13963520901287
2015,8,0.127624867905772
2015,9,0.130413714447525
2015,10,0.117053374890597
2015,11,0.111853985030384
2015,12,0.112687632362018
2016,1,0.0983597992363077
2016,2,0.0935772692792031
2016,3,0.0903538200996188
2016,4,0.0994023974281127
2016,5,0.0830780626158997
2016,6,0.089968948060838
2016,7,0.0766348404167689
2016,8,0.0811827676121912
2016,9,0.0976735598489642
2016,10,0.0918660327294323
2016,11,0.102996679543938
2016,12,0.116289755447656
2017,1,0.104757309857857
2017,2,0.117280205420344
2017,3,0.120757424243148
2017,4,0.113857916691758
2017,5,0.120827917404153
2017,6,0.131056657320595
2017,7,0.140739481975279
2017,8,0.154184088879135
2017,9,0.147932604871155
2017,10,0.141682541123922
2017,11,0.155605334500526
2017,12,0.148648073993946
2018,1,0.139837793053464
2018,2,0.130682950424924
2018,3,0.140969509628784
2018,4,0.14312521837518
2018,5,0.138749506753604
2018,6,0.138217981947686
2018,7,0.131549302071705
2018,8,0.135205721453436
2018,9,0.13315535394647
2018,10,0.132586652477218
2018,11,0.135199226770646
