"Year","Month","DiversityCoeff"
1985,1,0.0136425055506108
1985,2,0.0225588197810354
1985,3,0.023651461278312
1985,4,0.0281682365504957
1985,5,0.0300161281410403
1985,6,0.0427391080496283
1985,7,0.050011937377363
1985,8,0.0516787253176372
1985,9,0.0384599749803746
1985,10,0.0484525622941278
1985,11,0.0406450690245684
1985,12,0.0397974079557318
1986,1,0.0308690984245024
1986,2,0.0347024159903908
1986,3,0.0245279955529563
1986,4,0.0366569586748325
1986,5,0.03382847614527
1986,6,0.037989125043917
1986,7,0.0676906591245101
1986,8,0.0706237349305204
1986,9,0.0631446926405625
1986,10,0.0606754262503368
1986,11,0.0620427244840763
1986,12,0.0668060210927126
1987,1,0.0650808284537029
1987,2,0.0675618511662261
1987,3,0.0720390238030046
1987,4,0.0673395965559564
1987,5,0.0639224575380148
1987,6,0.0736486494833686
1987,7,0.0756168029356124
1987,8,0.0750584909823561
1987,9,0.0708744589045872
1987,10,0.0687404182052228
1987,11,0.0732590790991857
1987,12,0.0706086203804375
1988,1,0.0698179070257985
1988,2,0.0782981246359924
1988,3,0.0841655740022973
1988,4,0.0828553906078416
1988,5,0.0868846945897991
1988,6,0.0943894205462642
1988,7,0.0876604212430493
1988,8,0.0966478565706003
1988,9,0.0852183650416808
1988,10,0.0925124992818157
1988,11,0.0856679709761812
1988,12,0.0832738384435708
1989,1,0.0907090262645663
1989,2,0.0846210619420628
1989,3,0.0812879349119172
1989,4,0.0745737067951227
1989,5,0.0785521767220796
1989,6,0.0784866752750416
1989,7,0.0848898649832055
1989,8,0.0819312230329284
1989,9,0.0718024507545247
1989,10,0.0768589915041468
1989,11,0.0745315228747878
1989,12,0.0857894948517188
1990,1,0.0699095715108554
1990,2,0.0721198800642564
1990,3,0.0775095431420652
1990,4,0.0721928937950911
1990,5,0.0903242320059332
1990,6,0.0853318583480666
1990,7,0.0908949466558874
1990,8,0.0887049350799169
1990,9,0.0886547796524643
1990,10,0.0856316564756616
1990,11,0.0695904867726358
1990,12,0.0688388889195342
1991,1,0.0643491215095794
1991,2,0.0767655946722851
1991,3,0.0791745572597477
1991,4,0.0766610957340786
1991,5,0.0684595989994696
1991,6,0.08794411432917
1991,7,0.0851227274842623
1991,8,0.0783351203907297
1991,9,0.0770499636592938
1991,10,0.0748800209591386
1991,11,0.0826908155429459
1991,12,0.0793383778276019
1992,1,0.0699859159018952
1992,2,0.0916750235737771
1992,3,0.0845573768036934
1992,4,0.0868530641469596
1992,5,0.0871709961464434
1992,6,0.100419332893138
1992,7,0.103259760656098
1992,8,0.108684836523216
1992,9,0.110088079665981
1992,10,0.0967283669527059
1992,11,0.0888604844622322
1992,12,0.086105103647877
1993,1,0.0838433631022161
1993,2,0.0876501904956353
1993,3,0.0833456827390005
1993,4,0.0900866681839005
1993,5,0.0674723649518718
1993,6,0.0777142789998529
1993,7,0.0916691967705184
1993,8,0.0804086229087218
1993,9,0.0842528138404089
1993,10,0.0804471519126289
1993,11,0.0864478011702633
1993,12,0.0868263908340706
1994,1,0.0888241024235627
1994,2,0.0979112399168969
1994,3,0.102781559017015
1994,4,0.107869743369471
1994,5,0.0944659261489611
1994,6,0.11110491460718
1994,7,0.108254077180955
1994,8,0.109748764167041
1994,9,0.108037581124967
1994,10,0.106796196447858
1994,11,0.111512892301824
1994,12,0.116678477221137
1995,1,0.105523401234188
1995,2,0.0804424565530755
1995,3,0.103123444460318
1995,4,0.0884744622855846
1995,5,0.0897636182785834
1995,6,0.0961801015779032
1995,7,0.0826511337763596
1995,8,0.0715270343789274
1995,9,0.0761375283254014
1995,10,0.0726097434065745
1995,11,0.0668434387866713
1995,12,0.0637324393002428
1996,1,0.0635870857098147
1996,2,0.0755169529409866
1996,3,0.0692489099538036
1996,4,0.0674547178232048
1996,5,0.0722754581778802
1996,6,0.0827547753825762
1996,7,0.0895662122315397
1996,8,0.0860310706508936
1996,9,0.0725485377740877
1996,10,0.0837807097989397
1996,11,0.0745249225585256
1996,12,0.087702059261352
1997,1,0.082524980270585
1997,2,0.0859818307686758
1997,3,0.0787937024267002
1997,4,0.0672852296081215
1997,5,0.0659677987431895
1997,6,0.0685647390130082
1997,7,0.0817202124316426
1997,8,0.09351910135636
1997,9,0.102540174762033
1997,10,0.0778275229403463
1997,11,0.0797912694368645
1997,12,0.0786722356044929
1998,1,0.0701853369108658
1998,2,0.0781132447846223
1998,3,0.0721894109998772
1998,4,0.0789038306576252
1998,5,0.0684961485363998
1998,6,0.0697289996217209
1998,7,0.0692517199806612
1998,8,0.0656575541122402
1998,9,0.0727100328425822
1998,10,0.0762494006820816
1998,11,0.0703542696557631
1998,12,0.0747290546297427
1999,1,0.0837857324838991
1999,2,0.0904762061326074
1999,3,0.0710187077799913
1999,4,0.0838022481162045
1999,5,0.0666813858070381
1999,6,0.0646857850641079
1999,7,0.0568953613599461
1999,8,0.0410458739512359
1999,9,0.0495472019676695
1999,10,0.0494703182018279
1999,11,0.0502569755152661
1999,12,0.0502960099780532
2000,1,0.0555044004358363
2000,2,0.051889075452815
2000,3,0.0454403707747807
2000,4,0.0692767333810894
2000,5,0.0824391104018628
2000,6,0.0570457511176575
2000,7,0.0419132239378218
2000,8,0.0373725882490887
2000,9,0.0438825614666989
2000,10,0.0694578322569173
2000,11,0.0621140043728411
2000,12,0.0512783188196328
2001,1,0.044500732061939
2001,2,0.0342253414107764
2001,3,0.0391754856293472
2001,4,0.0422980225401563
2001,5,0.0386268830397384
2001,6,0.0406612417792199
2001,7,0.0438145078662769
2001,8,0.0481823144681086
2001,9,0.0519058422368211
2001,10,0.0501275855756862
2001,11,0.0391288424923135
2001,12,0.0498111704642337
2002,1,0.0440814417304356
2002,2,0.0432592861795621
2002,3,0.0540228522068502
2002,4,0.0501717886322711
2002,5,0.0452431844090748
2002,6,0.045177993406611
2002,7,0.0556791124484293
2002,8,0.0538911780808969
2002,9,0.0508481143486718
2002,10,0.0676197616671222
2002,11,0.0726089477136253
2002,12,0.0775039615545355
2003,1,0.045765810816441
2003,2,0.0509267061135064
2003,3,0.0561382052414068
2003,4,0.0292408040096707
2003,5,0.0289105007668344
2003,6,0.0618200972178738
2003,7,0.0763261689431623
2003,8,0.0723677009536692
2003,9,0.0722853608222461
2003,10,0.051682695780621
2003,11,0.0683689859923291
2003,12,0.0908825101830852
2004,1,0.088758362436942
2004,2,0.0779888770186012
2004,3,0.0716707182171917
2004,4,0.0723443025359996
2004,5,0.0747355073935182
2004,6,0.0665019775309836
2004,7,0.0601556507359575
2004,8,0.0428603257380645
2004,9,0.0425977852673212
2004,10,0.0522826813248951
2004,11,0.0379484700658147
2004,12,0.0446144608220028
2005,1,0.0439029188220703
2005,2,0.0342010198060894
2005,3,0.0284308626437624
2005,4,0.0302613288399193
2005,5,0.0200423253123352
2005,6,0.0243685220640509
2005,7,0.0167648533677917
2005,8,-0.00362443048476057
2005,9,-0.00431548938457317
2005,10,0.00697095829203701
2005,11,0.00902986857980057
2005,12,0.00184416486807172
2006,1,0.00633113110354372
2006,2,0.0061540086066386
2006,3,0.0172280905368734
2006,4,0.0155310166414025
2006,5,0.015033335289687
2006,6,0.0143692102156432
2006,7,0.00140423089461683
2006,8,-0.00537663136137854
2006,9,-0.00275048190251127
2006,10,0.0195221264173854
2006,11,0.00800931721445804
2006,12,0.0272757013328483
2007,1,0.0377217429085816
2007,2,0.0527506221830925
2007,3,0.0260783893844093
2007,4,0.0305127865344568
2007,5,0.015042621093227
2007,6,0.00567686394173108
2007,7,-0.00542895345374353
2007,8,-0.0149335103084215
2007,9,-0.00769019925836851
2007,10,0.00247034802752592
2007,11,0.0137256919677484
2007,12,0.0194994798243096
2008,1,0.0170121735399623
