"Year","Month","DiversityCoeff"
1985,1,0.165200921125738
1985,2,0.167594005527345
1985,3,0.212341922780545
1985,4,0.191787630510571
1985,5,0.187979942031436
1985,6,0.191773189001869
1985,7,0.192954726299763
1985,8,0.193246119878915
1985,9,0.191953225830607
1985,10,0.190539960375851
1985,11,0.189819152079937
1985,12,0.201722005718896
1986,1,0.17861866306327
1986,2,0.184487863073405
1986,3,0.197989420458468
1986,4,0.184046843315769
1986,5,0.208295919199261
1986,6,0.197647465305293
1986,7,0.209872325903647
1986,8,0.206167940719774
1986,9,0.210068764313894
1986,10,0.186038035294631
1986,11,0.189069965175236
1986,12,0.190802533136127
1987,1,0.17636003402766
1987,2,0.192615347246821
1987,3,0.184950823131145
1987,4,0.184364404202712
1987,5,0.174030158889287
1987,6,0.16800987764659
1987,7,0.165106137559876
1987,8,0.160081829247667
1987,9,0.153283030518232
1987,10,0.141540796266835
1987,11,0.14530160782409
1987,12,0.175275982623012
1988,1,0.150370898779115
1988,2,0.165056563988458
1988,3,0.145820457623958
1988,4,0.134114906793088
1988,5,0.126715750146376
1988,6,0.148755104361372
1988,7,0.145287435959548
1988,8,0.159512288270373
1988,9,0.112709590025494
1988,10,0.125209540633395
1988,11,0.130405970465637
1988,12,0.130297784929584
1989,1,0.125937976062939
1989,2,0.13272278787149
1989,3,0.121581117626287
1989,4,0.116851241926849
1989,5,0.112657876635105
1989,6,0.1072307544599
1989,7,0.127848079472828
1989,8,0.131066732257248
1989,9,0.128846277790815
1989,10,0.0951588345707929
1989,11,0.110092387174227
1989,12,0.087435854663959
1990,1,0.103682472523637
1990,2,0.111817871857688
1990,3,0.110887290850052
1990,4,0.137130912177416
1990,5,0.134472063664331
1990,6,0.121086750195879
1990,7,0.123223417634912
1990,8,0.132124125125901
1990,9,0.113838663573363
1990,10,0.111669390510918
1990,11,0.117036882445247
1990,12,0.121075613299576
1991,1,0.116623031444334
1991,2,0.131395461627012
1991,3,0.121968484165716
1991,4,0.130328852925299
1991,5,0.13610117710728
1991,6,0.145107828911446
1991,7,0.146187843495179
1991,8,0.128315514539256
1991,9,0.0911693199247636
1991,10,0.0495447210673731
1991,11,0.0572664753865475
1991,12,0.0361353100491876
1992,1,0.0382721013306731
1992,2,0.0501591716516467
1992,3,0.0370581320625797
1992,4,0.0458608151572504
1992,5,0.0285724303204497
1992,6,0.0404431141248406
1992,7,0.0467050627135706
1992,8,0.0526146100009607
1992,9,0.0661555799023821
1992,10,0.0535230716666937
1992,11,0.0739556852808037
1992,12,0.0615439436086316
1993,1,0.0603455468208492
1993,2,0.065774620711225
1993,3,0.0676291262422108
1993,4,0.0722464390078946
1993,5,0.0947723042443889
1993,6,0.0802300137484299
1993,7,0.0970167113883588
1993,8,0.0876927351215863
1993,9,0.0993351416366094
1993,10,0.0766850607122427
1993,11,0.0655373979921861
1993,12,0.0671979597046619
1994,1,0.0776005284328933
1994,2,0.0716408679630371
1994,3,0.0627401707215793
1994,4,0.0868029245544248
1994,5,0.0803478531765435
1994,6,0.0566242939664975
1994,7,0.0479594438846232
1994,8,0.0477722359689262
1994,9,0.0713806403379581
1994,10,0.0758082024913623
1994,11,0.0658002335350203
1994,12,0.0913302806005926
1995,1,0.0850193921771699
1995,2,0.0996963479435578
1995,3,0.10114554862399
1995,4,0.0999532350140825
1995,5,0.0923288100139118
1995,6,0.0997202218087661
1995,7,0.0910637464926972
1995,8,0.0742508644374881
1995,9,0.0564555322699842
1995,10,0.0666489825006052
1995,11,0.0793375538751048
1995,12,0.0793510241196401
1996,1,0.075197031635904
1996,2,0.0803741403362329
1996,3,0.0657828320157433
1996,4,0.0848726133869469
1996,5,0.0701044638290692
1996,6,0.0707299151993386
1996,7,0.0835590299159534
1996,8,0.0679772512565945
1996,9,0.0551771697682636
1996,10,0.0475490868926609
1996,11,0.0619009626896644
1996,12,0.0758794632877465
1997,1,0.0631516236888049
1997,2,0.0788603867022191
1997,3,0.0851411403530532
1997,4,0.098390670550559
1997,5,0.0673546895268466
1997,6,0.104844642380647
1997,7,0.129757929230777
1997,8,0.120181440321645
1997,9,0.107540527936228
1997,10,0.0986629146932615
1997,11,0.0896907159281169
1997,12,0.0863754775201398
1998,1,0.0881475467033456
1998,2,0.0831688677009214
1998,3,0.077245028355651
1998,4,0.0734452061649968
1998,5,0.0903619158214403
1998,6,0.104872136236008
1998,7,0.0910280910148907
1998,8,0.0930800303385458
1998,9,0.0986397698446452
1998,10,0.0958297053502034
1998,11,0.100983612456789
1998,12,0.109995081488603
1999,1,0.116909999224002
1999,2,0.108538843323632
1999,3,0.130817495170144
1999,4,0.125698617875961
1999,5,0.125934126672448
1999,6,0.117891291203875
1999,7,0.112855330920783
