"Year","Month","DiversityCoeff"
1991,1,-0.161326470781014
1991,2,-0.144823928824995
1991,3,-0.129261760966593
1991,4,-0.147355332633889
1991,5,-0.133998798709185
1991,6,-0.12335088174834
1991,7,-0.148929476878883
1991,8,-0.172699069530117
1991,9,-0.178000860199966
1991,10,-0.207607984244391
1991,11,-0.200923728696872
1991,12,-0.172289801396025
1992,1,-0.170363330220892
1992,2,-0.157537756664775
1992,3,-0.155690733791493
1992,4,-0.119200707205785
1992,5,-0.110736588583506
1992,6,-0.0952798652507473
1992,7,-0.0930119763283297
1992,8,-0.102355563087994
1992,9,-0.0797791478352787
1992,10,-0.0931264606346925
1992,11,-0.109499169851477
1992,12,-0.0763756388890499
1993,1,-0.07960552472717
1993,2,-0.0516950563137044
1993,3,-0.0560504816998677
1993,4,-0.0449646436368714
1993,5,-0.0575300870478435
1993,6,-0.0744122422405741
1993,7,-0.0600572469314899
1993,8,-0.0287305824118704
1993,9,-0.0206509005004843
1993,10,-0.0133873613672334
1993,11,0.00203248304095344
1993,12,-0.0233047840512207
1994,1,-0.0127613013899777
1994,2,-0.00584203842531211
1994,3,-0.0382639258831501
1994,4,-0.0188327571958187
1994,5,-0.024635858724908
1994,6,-0.0309353305749309
1994,7,-0.0254961592461279
1994,8,-0.032348214927411
1994,9,-0.0224626096142619
1994,10,-0.00405905771478873
1994,11,0.0508403012767534
1994,12,0.0473344934751755
1995,1,0.0341812495202793
1995,2,0.054349295263597
1995,3,0.0513079667208068
1995,4,0.041145148456996
1995,5,0.0559472605242477
1995,6,0.0613711092101847
1995,7,0.0487655182094949
1995,8,0.0113701861503757
1995,9,0.00162516301720243
1995,10,-0.00757373200150661
1995,11,-0.0187979746267986
1995,12,-0.0275925392617104
1996,1,-0.00333749459636783
1996,2,-0.0179582102829791
1996,3,-0.0585985172838974
1996,4,-0.0684211802231217
1996,5,-0.082077355486894
1996,6,-0.0825149112616996
1996,7,-0.121025000221808
1996,8,-0.098164632048581
1996,9,-0.0951591132762714
1996,10,-0.0843436604986525
1996,11,-0.102971149700343
1996,12,-0.0760982403817231
1997,1,-0.0805101846556187
1997,2,-0.104474232671503
1997,3,-0.0794659450175622
1997,4,-0.0729335006517959
1997,5,-0.0876231718249019
1997,6,-0.0585535307237639
1997,7,-0.0565612895323302
1997,8,-0.0658541825793865
1997,9,-0.0572755186787703
1997,10,-0.0690964470025317
1997,11,-0.0512321830048015
1997,12,-0.056742218209106
1998,1,-0.0781977461787982
1998,2,-0.116884433318589
1998,3,-0.169325857098961
1998,4,-0.220001810763923
1998,5,-0.206559827374741
