"Year","Month","DiversityCoeff"
1991,1,-0.134200013493398
1991,2,-0.1164406347281
1991,3,-0.101498489917053
1991,4,-0.112487747823645
1991,5,-0.0839168906996557
1991,6,-0.0894322744885145
1991,7,-0.125430241931188
1991,8,-0.144644240342089
1991,9,-0.114906689446811
1991,10,-0.14951401992966
1991,11,-0.156131940887817
1991,12,-0.104893538147878
1992,1,-0.123830293595056
1992,2,-0.126576277908893
1992,3,-0.119242414724606
1992,4,-0.105677097185196
1992,5,-0.119083887165941
1992,6,-0.10773687876768
1992,7,-0.103238977765421
1992,8,-0.124018428803493
1992,9,-0.108423178523439
1992,10,-0.125654172879146
1992,11,-0.150954136233454
1992,12,-0.121824816655847
1993,1,-0.125144326126508
1993,2,-0.0812823147857044
1993,3,-0.112379735026029
1993,4,-0.10464905283036
1993,5,-0.113511330408795
1993,6,-0.115068012317092
1993,7,-0.10947965743366
1993,8,-0.0848967731836685
1993,9,-0.0788185060463491
1993,10,-0.0519464300468726
1993,11,-0.0275546864422753
1993,12,-0.0647791938550674
1994,1,-0.0522411073287882
1994,2,-0.0601255854632084
1994,3,-0.0421946205256747
1994,4,-0.0195055825954672
1994,5,-0.0423662727413206
1994,6,-0.0557141208328447
1994,7,-0.080712494369108
1994,8,-0.0887396970543845
1994,9,-0.0476077731583132
1994,10,-0.0290337055241267
1994,11,0.00922401713610728
1994,12,0.0383502377299674
1995,1,0.0112666540196522
1995,2,0.0250746024274163
1995,3,0.0309394224080876
1995,4,0.0100350043613152
1995,5,0.0215246141320456
1995,6,0.0242843565984185
1995,7,0.0417713009079542
1995,8,0.00101693565195739
1995,9,-0.00660174896014548
1995,10,-0.0306053732378784
1995,11,-0.0404824257660361
1995,12,-0.0298479410705232
1996,1,-0.0293673544340359
1996,2,-0.0109485066027994
1996,3,-0.0517277409188473
1996,4,-0.0383581434122532
1996,5,-0.0445873635236182
1996,6,-0.0680899191009742
1996,7,-0.112743672685325
1996,8,-0.090086742341002
1996,9,-0.0945629540986345
1996,10,-0.0473987071890881
1996,11,-0.0573777012307753
1996,12,-0.0684125450529466
1997,1,-0.043968092499924
1997,2,-0.0544987468838473
1997,3,-0.0427531649006596
1997,4,-0.0623884015177098
