"Year","Month","DiversityCoeff"
1985,1,-0.0253882622362109
1985,2,-0.0198011732212643
1985,3,-0.0143676736900579
1985,4,-0.0229249298884798
1985,5,-0.0205073505092684
1985,6,-0.0288649248548558
1985,7,-0.000501894288096182
1985,8,-0.00832216810190828
1985,9,-0.0204620861129491
1985,10,0.00222286571717244
1985,11,-0.0131029750453495
1985,12,0.0100731170509382
1986,1,0.0273900969701292
1986,2,0.0276510716522998
1986,3,0.0342257056565031
1986,4,0.0372773351516265
1986,5,0.0280241714553916
1986,6,0.0325421106968432
1986,7,0.0351659929594202
1986,8,0.0327750265184814
1986,9,0.0498954200619771
1986,10,0.0382528775974689
1986,11,0.0330374573090222
1986,12,0.0136717999562665
1987,1,0.0179177153158393
1987,2,0.0508849614210246
1987,3,0.0693358463047049
1987,4,0.0911282552134264
1987,5,0.0808882463687623
1987,6,0.0463264503701402
1987,7,0.0670985920705645
1987,8,0.0461599478152603
1987,9,0.0309385297229453
1987,10,0.0313014954114417
1987,11,0.0227229925024516
1987,12,0.0549828805118481
1988,1,0.0194399988774105
1988,2,0.0513051943872595
1988,3,0.0451710715502161
1988,4,0.0322145967506796
1988,5,0.0183459434870944
1988,6,0.0297829271442291
1988,7,0.0300631275022537
1988,8,0.030564884414014
1988,9,0.0460268862871737
1988,10,0.0504410547232172
1988,11,0.0534672428568858
1988,12,0.0620258643298919
1989,1,0.0570881295257821
1989,2,0.0507581014309614
1989,3,0.0586796977021866
1989,4,0.0585090444733832
1989,5,0.0179773145110692
1989,6,0.0184728300160963
1989,7,0.0288614778309859
1989,8,0.0216035101129897
1989,9,0.0379843048403566
1989,10,0.0319145036950108
1989,11,0.0244629624866174
1989,12,0.0124749772508456
1990,1,0.00774483276583817
1990,2,0.0295603616521252
1990,3,0.0272964213931697
1990,4,0.0342782943547483
1990,5,0.0338155644542251
1990,6,0.0294849873371146
1990,7,0.00918686674765549
1990,8,0.0356766624791049
1990,9,0.0631758937950433
1990,10,0.0206034683216165
1990,11,0.0190934021072257
1990,12,-0.00953847063191818
1991,1,0.0100810526472945
1991,2,0.0154401989696028
1991,3,0.00931512230522258
1991,4,0.0134797472525121
1991,5,0.0215192748394071
1991,6,0.0181581763421632
1991,7,0.0229946118780462
1991,8,0.0388662878832988
1991,9,0.0286482933110487
1991,10,0.0264676513855662
1991,11,0.0254433663838185
1991,12,0.0398736877006803
1992,1,0.0143355358325119
1992,2,0.0150299991305396
1992,3,0.0156189347668913
1992,4,0.00417397840663003
1992,5,-0.0180034479532959
1992,6,-0.00725694735240439
1992,7,0.00728274978324507
1992,8,0.0170144013408083
1992,9,0.0186345814856407
1992,10,0.0250757615757174
1992,11,0.0502865415611675
1992,12,0.0552666363114174
1993,1,0.0521862250773137
1993,2,0.075970890656905
1993,3,0.0619364823802233
1993,4,0.0640488810605623
1993,5,0.0497477100768697
1993,6,0.0462097477356595
1993,7,0.0673521439720109
1993,8,0.0591997219750992
1993,9,0.0451858463794478
1993,10,0.0377262132647642
1993,11,0.0307443077836563
1993,12,0.0270877780732584
1994,1,0.0197760378509068
1994,2,0.0273478592210951
1994,3,0.0379281957751504
1994,4,0.0541160468144523
1994,5,0.0378535498731732
1994,6,0.059511922128879
1994,7,0.0648217475790407
1994,8,0.0471684177875191
1994,9,0.0547526176647064
1994,10,0.0680655350960367
1994,11,0.0846330971613436
1994,12,0.100879253749323
1995,1,0.102334140908433
1995,2,0.0988587867230408
1995,3,0.103110949040117
1995,4,0.0833793451358354
1995,5,0.0947440379167787
1995,6,0.0933814637379162
1995,7,0.0844949582438065
1995,8,0.0747409841662475
1995,9,0.0925099961407573
1995,10,0.0622546617988531
1995,11,0.0788456477620108
1995,12,0.0340825747338999
1996,1,0.0427037849939108
1996,2,0.0271552577276774
1996,3,0.0548744024269149
1996,4,0.0593864485604621
1996,5,0.0772367017043921
1996,6,0.0634573389636143
1996,7,0.0609359219018837
1996,8,0.0761484654399639
1996,9,0.0910502820824393
1996,10,0.0919176552502557
1996,11,0.0818164134422068
1996,12,0.054058345285145
1997,1,0.0768966672606273
1997,2,0.0771691102953736
1997,3,0.0974224882383495
1997,4,0.0570112286010912
1997,5,0.0454208425380543
1997,6,0.0632631128829017
1997,7,0.0721947527299794
