"Year","Month","DiversityCoeff"
1985,1,0.0672682377261955
1985,2,0.0969178100049742
1985,3,0.0938876860204277
1985,4,0.0892583594502135
1985,5,0.0701746059708407
1985,6,0.0865985103072687
1985,7,0.116039430346814
1985,8,0.121668482089496
1985,9,0.085868815881084
1985,10,0.115369845144229
1985,11,0.0966320837847349
1985,12,0.0831429292886387
1986,1,0.105596007874348
1986,2,0.0939123874414868
1986,3,0.0841690204904833
1986,4,0.0919336735928844
1986,5,0.054854951079505
1986,6,0.0567424112922747
1986,7,0.0538398430256066
1986,8,0.0569169408239457
1986,9,0.0586419952876575
1986,10,0.0515876290984837
1986,11,0.0851320983664956
1986,12,0.0448811385039301
1987,1,0.0734283543667957
1987,2,0.074168748541564
1987,3,0.0846289411152401
1987,4,0.0883257611587606
1987,5,0.122897049003155
1987,6,0.119996971973514
1987,7,0.0988781459959213
1987,8,0.0963135554450277
1987,9,0.0711425185555138
1987,10,0.0593948039058008
1987,11,0.0501303187779234
1987,12,0.0713201110034453
1988,1,0.0113673275211562
1988,2,0.0581623475186544
1988,3,0.0556925068728913
1988,4,0.0385543342820049
1988,5,0.0409928590998984
1988,6,0.0585058551424046
1988,7,0.0645280020075278
1988,8,0.0605264419200994
1988,9,0.0673157482117444
1988,10,0.0567832055194309
1988,11,0.0445773057668184
1988,12,0.0589873383353505
1989,1,0.0582646384732707
1989,2,0.082314944387501
1989,3,0.0833424978945922
1989,4,0.0748582578090271
1989,5,0.0444886430655416
1989,6,0.05201024041666
1989,7,0.0660235208508566
1989,8,0.0676819690946097
1989,9,0.0756919933236059
1989,10,0.0686201041953113
1989,11,0.0595751716090521
1989,12,0.0509426610362113
1990,1,0.0679332589126191
1990,2,0.0744067715416255
1990,3,0.0658630100092001
1990,4,0.0889075277989991
1990,5,0.069953514220423
1990,6,0.0817070576301155
1990,7,0.0525767479338314
1990,8,0.0633688556864824
1990,9,0.0883832599651547
1990,10,0.0772577059158172
1990,11,0.0645764835354783
1990,12,0.0498005091049101
1991,1,0.0770009602996096
1991,2,0.0903048916583263
1991,3,0.0727331281118771
1991,4,0.0832736113672473
1991,5,0.0933473967855805
1991,6,0.0867570129362451
1991,7,0.0725732325341627
1991,8,0.0747471987016856
1991,9,0.0644770538976819
1991,10,0.074846928774546
1991,11,0.0839276308974919
1991,12,0.0811293728129208
1992,1,0.0657232933469469
1992,2,0.074941784406222
1992,3,0.07283144070642
1992,4,0.0870105968405357
1992,5,0.0727650025979791
1992,6,0.0742947691619089
1992,7,0.108571742757793
1992,8,0.0961454306957754
1992,9,0.106855150802315
1992,10,0.0916041654752574
1992,11,0.123536104839972
1992,12,0.117549822072197
1993,1,0.140650811259716
1993,2,0.14698397158608
1993,3,0.11041557233266
1993,4,0.109616091480505
1993,5,0.103113488098456
1993,6,0.110716633998219
1993,7,0.107311825865485
1993,8,0.096010128028908
1993,9,0.0935823315889586
1993,10,0.0735017983432944
1993,11,0.0817674538748443
1993,12,0.0955139086828862
1994,1,0.0846525761574747
1994,2,0.0834844666388225
1994,3,0.0880886129871113
1994,4,0.101512532485705
1994,5,0.0699205096085023
1994,6,0.081426863028082
1994,7,0.0785951753250687
1994,8,0.0796337151688644
1994,9,0.0976720459004903
1994,10,0.0967202859107235
1994,11,0.119802126599439
1994,12,0.123451472618815
1995,1,0.128748775801364
1995,2,0.140434069750932
1995,3,0.140217531521177
1995,4,0.124501078058551
1995,5,0.101655506597019
1995,6,0.103445703662117
1995,7,0.116808389915973
1995,8,0.0942733436427149
1995,9,0.102297138790996
1995,10,0.0776246492931213
1995,11,0.0855282479991491
1995,12,0.0780871818909464
1996,1,0.0879988438057803
1996,2,0.0938518964231584
1996,3,0.105357784765679
