"Year","Month","DiversityCoeff"
1985,1,0.144279001173237
1985,2,0.162311526628629
1985,3,0.148924876920353
1985,4,0.14596808190978
1985,5,0.12514268589702
1985,6,0.154139859245738
1985,7,0.167875571466259
1985,8,0.160726179156326
1985,9,0.147274902035117
1985,10,0.156406671365913
1985,11,0.145696161719286
1985,12,0.123648873044303
1986,1,0.148055437412371
1986,2,0.158399661541803
1986,3,0.150973141690672
1986,4,0.121238700634341
1986,5,0.102207465324805
1986,6,0.107382806358679
1986,7,0.105003044526909
1986,8,0.088313935792353
1986,9,0.123317588236487
1986,10,0.088944681580784
1986,11,0.103089456387593
1986,12,0.092476281785522
1987,1,0.0793408151428229
1987,2,0.0790673702291206
1987,3,0.0711662232169362
1987,4,0.0801052594421168
1987,5,0.0841440083619449
1987,6,0.0706649225903019
1987,7,0.108518162375093
1987,8,0.0948635866819017
1987,9,0.0780043375739337
1987,10,0.0713712860280857
1987,11,0.0680951785417515
1987,12,0.0705636068705164
1988,1,0.0158061693130002
1988,2,0.0689682590822548
1988,3,0.0608737813734872
1988,4,0.0468442626889909
1988,5,0.02896422214124
1988,6,0.061441623927136
1988,7,0.0691324260074175
1988,8,0.0742358760376759
1988,9,0.0644284570383203
1988,10,0.0667967714756023
1988,11,0.051148097084835
1988,12,0.0613695342622162
1989,1,0.0680852286861645
1989,2,0.0756852699289665
1989,3,0.0894050638445235
1989,4,0.0443707681873989
1989,5,0.0512288969455121
1989,6,0.0386399294393767
1989,7,0.0541657764786329
1989,8,0.0684875994706673
1989,9,0.0585949048739607
1989,10,0.0709884125618576
1989,11,0.0722032010554362
1989,12,0.0750965744771736
1990,1,0.110044339904289
1990,2,0.0844722245705389
1990,3,0.0768018589324397
1990,4,0.0825127344335385
1990,5,0.0914855664085355
1990,6,0.0957203827001125
1990,7,0.136298283155648
1990,8,0.150829745286802
1990,9,0.121960248244009
1990,10,0.131201840766081
1990,11,0.127309051449659
1990,12,0.116785703930921
1991,1,0.122817301113595
1991,2,0.109291943823751
1991,3,0.130593054968826
1991,4,0.124348177682468
1991,5,0.119615579026219
1991,6,0.117207475378925
1991,7,0.0925569231624855
1991,8,0.126116699446549
1991,9,0.123794597332717
1991,10,0.101975216840106
1991,11,0.103991918452015
1991,12,0.116276885331638
1992,1,0.100969146895027
1992,2,0.0796151316591586
1992,3,0.133091429187727
1992,4,0.129829043910038
1992,5,0.164029197060171
1992,6,0.148852854037847
1992,7,0.152841741620597
1992,8,0.148318013755439
1992,9,0.136810209035205
1992,10,0.122527239188839
1992,11,0.11956765315115
1992,12,0.130796897277042
1993,1,0.178243834266514
1993,2,0.130187705131849
1993,3,0.0941234334383923
1993,4,0.0869452084396096
1993,5,0.0842299987946898
1993,6,0.074718257506718
1993,7,0.0826673089000514
1993,8,0.0768366739941833
1993,9,0.0830962557718569
1993,10,0.0779954853561785
1993,11,0.08491015541306
1993,12,0.0991364157985542
1994,1,0.093454488395348
1994,2,0.0811904638259849
1994,3,0.104909846026827
1994,4,0.098514632219479
1994,5,0.0891515414167302
1994,6,0.110023707088621
1994,7,0.101448469343405
1994,8,0.109512710254969
1994,9,0.0965808959852028
1994,10,0.097641808127866
1994,11,0.108054982461838
1994,12,0.0997081362268509
1995,1,0.117842891672572
