"Year","Month","DiversityCoeff"
1985,1,-0.0999934273535532
1985,2,-0.0757706376320963
1985,3,-0.0806289075030602
1985,4,-0.0726745924471935
1985,5,-0.0935613061479142
1985,6,-0.0735590028877401
1985,7,-0.059387674287202
1985,8,-0.0660887285360963
1985,9,-0.0520442035819365
1985,10,-0.0524339736422115
1985,11,-0.0605277790961454
1985,12,-0.0439487875204034
1986,1,-0.0320150361551534
1986,2,-0.0346064919824158
1986,3,-0.00899291799212673
1986,4,-0.0044994921057447
1986,5,-0.0205692462940086
1986,6,-0.0169120139933671
1986,7,0.0115827709146262
1986,8,0.0202249700409502
1986,9,-0.00131025678884294
1986,10,-0.00387607689511307
1986,11,0.0136784980337992
1986,12,-0.00152415071264144
1987,1,0.00346102275079103
1987,2,0.0223261436641664
1987,3,0.0443907863827168
1987,4,0.0423550799344325
1987,5,0.0428853786339701
1987,6,0.0348319826387038
1987,7,0.0393279420086293
1987,8,0.03283974421152
1987,9,0.029553316420291
1987,10,0.0190437760269235
1987,11,0.0164622516361629
1987,12,0.00221962705258603
1988,1,-0.00319836954804144
1988,2,-0.007269730556529
1988,3,0.00494449183617972
1988,4,0.0223270676254203
1988,5,0.00651083906498947
1988,6,0.0277877643941553
1988,7,0.0126275160446769
1988,8,0.0137161978365052
1988,9,0.0469184848934841
1988,10,0.0438293272668747
1988,11,0.0245304760274233
1988,12,0.0283262194229064
1989,1,0.0187730733248746
1989,2,0.0354609041547373
1989,3,0.0235176004511514
1989,4,0.0433585967252574
1989,5,0.00211069407084536
1989,6,0.0210491629989099
1989,7,0.0108543643227949
1989,8,0.00654323225310498
1989,9,0.0285500078998216
1989,10,0.0375910590651495
1989,11,0.0307812365560982
1989,12,0.0163314362853628
1990,1,0.00919582664206325
1990,2,0.0044926788729162
1990,3,0.00355592167207929
1990,4,-0.0120126713037732
1990,5,0.00771437021346398
1990,6,0.0176200451878888
1990,7,0.0171660991899908
1990,8,-0.00290563389224014
1990,9,-0.00101632297488906
1990,10,-0.00432484544409177
1990,11,-0.00929513133628467
1990,12,-0.0166304299895969
1991,1,-0.0043821659973507
1991,2,0.00523445074334446
1991,3,-1.65347500429219e-05
1991,4,0.00125655669938931
1991,5,0.0329876885728888
1991,6,0.0399056123051922
1991,7,0.0509195305320661
1991,8,0.0556444167455051
1991,9,0.0545517362055336
1991,10,0.0713624780363733
1991,11,0.0615561229757937
1991,12,0.0561429552953065
1992,1,0.057423178908515
1992,2,0.0641541772922995
1992,3,0.0857219247590149
1992,4,0.0712467885322461
1992,5,0.0443257447012548
1992,6,0.0513410777541428
1992,7,0.0442312053016827
1992,8,0.0451023539337521
1992,9,0.0593996684488889
1992,10,0.0491602157942327
1992,11,0.0684129199805589
1992,12,0.0476935542609536
1993,1,0.0651517503646934
1993,2,0.0787962609706324
1993,3,0.0636296163533334
1993,4,0.0474778822059708
1993,5,0.0379137563226936
1993,6,0.0582055614506326
1993,7,0.0647961628401856
1993,8,0.0521825437413085
1993,9,0.0506641749748009
1993,10,0.0542643817424431
1993,11,0.0496870803848495
1993,12,0.0580382978093261
1994,1,0.0376359461554695
1994,2,0.0271154724298076
1994,3,0.0223174049202336
1994,4,0.0385905786072387
1994,5,0.0305549345669754
1994,6,0.0242796598787337
1994,7,0.0107452653530362
1994,8,0.0357444010282046
1994,9,0.0155563453674502
1994,10,0.0334490398210438
1994,11,0.0498067934178623
1994,12,0.0365051074159441
1995,1,0.0476209795527609
1995,2,0.0356734031075902
1995,3,0.0295819566119968
1995,4,0.0351166734347134
1995,5,0.0343372347161828
1995,6,0.0341780585062881
1995,7,0.025748530680769
1995,8,0.0263171629164376
1995,9,0.0265184438117738
1995,10,0.0353409783902414
1995,11,0.0183221088666559
1995,12,0.0133374506394297
1996,1,-0.00337932264637559
1996,2,0.0202280624209032
1996,3,0.0149751012083737
1996,4,0.0251900928042901
1996,5,0.0387792017828016
1996,6,0.0332726318440992
1996,7,0.0446521204953761
1996,8,0.0367258906509367
1996,9,0.0377631653307534
1996,10,0.0300779339055468
1996,11,0.0355416195312663
1996,12,0.0111800523312535
1997,1,0.0164850720706467
1997,2,0.0167116248747674
1997,3,0.0200218810843123
1997,4,0.0232166514846762
1997,5,-0.00637956742195919
1997,6,0.000293123795277873
1997,7,0.010471878795406
1997,8,0.0187640338715643
1997,9,0.0208737549510025
1997,10,0.0251176537272557
1997,11,0.0254082506140258
1997,12,0.0277180186747551
1998,1,0.0099754137159431
1998,2,0.0156100897613921
1998,3,0.0203145854838581
1998,4,0.0014877798582433
1998,5,0.0256396280549344
1998,6,-0.00503540381924525
1998,7,-0.0289288239848528
1998,8,-0.0303714059541123
1998,9,-0.022564488074575
1998,10,-0.0297869064363371
1998,11,-0.0216130163918573
1998,12,-0.0257496532458766
1999,1,-0.0100050556825672
1999,2,-0.0349240255405208
1999,3,-0.0274645525135936
1999,4,-0.000453535844100859
1999,5,-0.0184983021621036
1999,6,-0.0116611150410057
1999,7,0.00313448992856833
1999,8,-0.0126003148492265
1999,9,-0.0107962635314705
1999,10,-0.0118564255285893
1999,11,-0.0264921588125532
1999,12,-0.0176127354691234
2000,1,0.00366365957731989
2000,2,0.0187732721819003
2000,3,0.00324012864749842
2000,4,-0.00236680699736509
2000,5,0.0170916878541935
2000,6,0.0131884382511698
2000,7,0.0182165856981421
2000,8,0.0268340734131771
2000,9,0.00972032478792284
2000,10,0.00335633084929281
2000,11,0.0105273378154983
2000,12,0.0286697099217846
2001,1,0.0135204187478552
2001,2,-0.0178300772313555
2001,3,-0.0236289644910034
2001,4,-0.0306705028842555
2001,5,-0.0392433059860793
2001,6,-0.0258399733012043
2001,7,-0.00112542596602178
2001,8,0.0173914598498383
2001,9,0.0135083081986919
2001,10,0.0110650035162112
2001,11,0.00782686974925543
2001,12,0.00950549458293938
2002,1,0.0209990934599018
2002,2,0.0513900906573514
2002,3,0.034993400366724
2002,4,0.0394771416153955
2002,5,0.0389728051605233
2002,6,0.0503426613125966
2002,7,0.059657154053178
2002,8,0.0525532210684187
2002,9,0.0449464718131106
2002,10,0.0626116594960405
2002,11,0.0456866845652425
2002,12,0.0555044737869381
2003,1,0.0351960742464165
2003,2,0.0189970920592668
2003,3,0.0505137958799172
2003,4,0.0527840673331519
2003,5,0.0423223686257954
2003,6,0.0434724542094907
2003,7,0.0500278955263911
2003,8,0.0409103204218777
2003,9,0.060512450877943
2003,10,0.0596487248351191
2003,11,0.0516062962442609
2003,12,0.0344550189474769
2004,1,0.0209924596879931
2004,2,0.0250747374849234
2004,3,0.032257189223633
2004,4,0.00893412350744821
2004,5,0.0206755534569558
2004,6,0.00641994158680747
2004,7,0.00776832415838016
2004,8,0.0113982953720694
2004,9,0.0167283963598483
2004,10,-0.00295747576245036
2004,11,0.0240001065015609
2004,12,0.0360738316321088
2005,1,0.0283969285375571
2005,2,0.0332228882852497
2005,3,0.0179467770158042
2005,4,0.017577379915598
2005,5,0.000330300036731696
2005,6,-0.0122362116508306
2005,7,-0.00547118579848839
2005,8,0.00945650387075114
2005,9,0.0113988673248759
2005,10,0.00037721256267972
2005,11,-0.00551342337082211
2005,12,-0.0169544233432303
2006,1,-0.0336944245404914
2006,2,-0.0326318443357204
2006,3,-0.047419915891135
2006,4,-0.0438233582720496
2006,5,-0.0490271298636459
2006,6,-0.0388279323488735
2006,7,-0.0299526122212368
2006,8,-0.0395930248880566
2006,9,-0.0411162557216754
2006,10,-0.0417054043553605
2006,11,-0.0305624587577003
2006,12,-0.00972420897751986
2007,1,-0.034436373406798
2007,2,-0.00409011304955616
2007,3,-0.0177458624665544
2007,4,0.00425901153305621
2007,5,-0.00786695059731399
2007,6,-0.00212808331514817
2007,7,0.00631359306358574
2007,8,0.0152954561255846
2007,9,0.0059406655980426
2007,10,0.00164910787627353
2007,11,-2.00595278990622e-05
2007,12,-0.00449382686406359
2008,1,-0.00937473111413215
2008,2,-0.00300341180309468
2008,3,-0.00714576564585911
2008,4,-0.00279027909636173
2008,5,-0.00454288852444697
2008,6,-0.0130898661207118
2008,7,-0.000355849194247101
2008,8,-0.013457022344273
2008,9,-0.011007020474249
2008,10,-0.0102388833313571
2008,11,-0.0180183261005234
2008,12,-0.0230866904698041
2009,1,-0.00698494111943616
2009,2,0.0100626645120854
2009,3,-0.0231684448429408
2009,4,-0.0376625120498289
2009,5,-0.0404268831008492
2009,6,-0.0207247557729737
2009,7,-0.00438983088196913
2009,8,-0.0183457422936483
2009,9,-0.0280779824396483
2009,10,-0.0149961599274641
2009,11,-0.00355286075139905
2009,12,-0.019186945061438
2010,1,0.00505193011137093
2010,2,0.0129434893903641
2010,3,0.0235007249476044
2010,4,0.0501056700583367
2010,5,0.0427334195629134
2010,6,0.0424150058246977
2010,7,0.0495678145296954
2010,8,0.0573011447843168
2010,9,0.051600349251377
2010,10,0.0654642528198003
2010,11,0.0610590595060003
2010,12,0.0699232581560823
2011,1,0.0765317011815606
2011,2,0.0959170325618527
2011,3,0.0903976967973521
2011,4,0.104847039019298
2011,5,0.122703357269513
2011,6,0.106661815888794
2011,7,0.112563550316815
2011,8,0.107194779452636
2011,9,0.109229141177373
2011,10,0.118307272011984
2011,11,0.116956469048281
2011,12,0.0936711761512452
2012,1,0.0811123887284717
2012,2,0.072550738440414
2012,3,0.0866340266770742
2012,4,0.0783884642735397
2012,5,0.0691281093409199
2012,6,0.0584628185535576
2012,7,0.0476181963580429
2012,8,0.0298183167340252
2012,9,0.0217404365325372
2012,10,0.0318228341996181
2012,11,0.0457929252948162
2012,12,0.0471709469238627
2013,1,0.0384651017227566
2013,2,0.0575439174390401
2013,3,0.048409701840538
2013,4,0.0641775530224189
2013,5,0.0455137453400307
2013,6,0.0422988493002523
2013,7,0.0574691760778812
2013,8,0.0619821991611222
2013,9,0.0564162416658379
2013,10,0.0618226896919686
2013,11,0.0559536449837054
2013,12,0.0303798377618777
2014,1,0.0503737582877156
2014,2,0.0370119440544207
2014,3,0.0483181033393564
2014,4,0.0429552640748299
2014,5,0.0440723458852582
2014,6,0.0485382389760352
2014,7,0.0539397923422591
2014,8,0.0470338344103629
2014,9,0.0401577499521903
2014,10,0.0477101806728895
2014,11,0.0682583651559431
2014,12,0.0747622823971357
2015,1,0.10744601553165
2015,2,0.101379222935365
2015,3,0.101589906391577
2015,4,0.0959034116324405
2015,5,0.0921130112609109
2015,6,0.0847070555496044
2015,7,0.0951353505629497
2015,8,0.0888093151926082
2015,9,0.10217983223537
2015,10,0.0978583204026493
2015,11,0.104689846654886
2015,12,0.107874424329594
2016,1,0.100775418210203
2016,2,0.104600795417542
2016,3,0.112650027888993
2016,4,0.113967694834004
2016,5,0.10038303971062
2016,6,0.109645350508892
2016,7,0.0941082938104839
2016,8,0.119436050993767
2016,9,0.115881832431494
2016,10,0.108946193821867
2016,11,0.0902961416490688
2016,12,0.0949451670541643
2017,1,0.074149397767008
2017,2,0.0893363741742942
2017,3,0.0807752120644758
2017,4,0.0883028408136161
2017,5,0.075106754944128
2017,6,0.0627939633247301
2017,7,0.081860941270692
2017,8,0.0713316943551234
2017,9,0.0723727971123691
2017,10,0.0619109185567822
2017,11,0.0456197892413788
2017,12,0.0622123204322245
2018,1,0.0509118646113051
2018,2,0.0709694918266389
2018,3,0.0661053242582826
2018,4,0.0516676280706475
2018,5,0.0401384865849869
2018,6,0.0141752215361674
2018,7,0.0220475987171387
