"Year","Month","DiversityCoeff"
1985,1,-0.0907725423554322
1985,2,-0.0847416717380987
1985,3,-0.0893444469829618
1985,4,-0.0826651653791464
1985,5,-0.0693209248604728
1985,6,-0.0956398673351655
1985,7,-0.109308926401634
1985,8,-0.085324081101006
1985,9,-0.108719722810503
1985,10,-0.120473218613346
1985,11,-0.119954557112539
1985,12,-0.0972150465496665
1986,1,-0.0847133856963667
1986,2,-0.08406545343688
1986,3,-0.058945722546541
1986,4,-0.0151005463700324
1986,5,0.00789047093498355
1986,6,0.00343385546514189
1986,7,0.00437679109373397
1986,8,0.0181281602831506
1986,9,0.0567470827743925
1986,10,0.0597343054362269
1986,11,0.0475377606980867
1986,12,0.0438794760361397
1987,1,0.0355624623073319
1987,2,-0.0086748802576576
1987,3,0.000148497697646845
1987,4,-0.00291350149919358
1987,5,0.00454497718659156
1987,6,-0.0158986093258176
1987,7,0.00316663610891533
1987,8,-0.0129327237552073
1987,9,-0.0412271084827406
1987,10,-0.0531513510139603
1987,11,-0.0362402657072588
1987,12,-0.0322644073577664
1988,1,-0.0531689776382962
1988,2,-0.0557326251002677
1988,3,-0.0387855238508042
1988,4,-0.0362296535339224
1988,5,-0.0326789018940826
1988,6,-0.0511420784045907
1988,7,-0.0508752659704037
1988,8,-0.0676706220874475
1988,9,-0.0437873930890266
1988,10,-0.0432074530954388
1988,11,-0.0381785185650042
1988,12,-0.0378920521153694
1989,1,-0.0665666698076584
1989,2,-0.0524347019240106
1989,3,-0.084064305904023
1989,4,-0.093261754084198
1989,5,-0.108750244840681
1989,6,-0.105965263268462
1989,7,-0.113006539403357
1989,8,-0.116118119094032
1989,9,-0.134098424818492
1989,10,-0.127880568636947
1989,11,-0.13442656797708
1989,12,-0.11921200353078
1990,1,-0.11431096955762
1990,2,-0.07120643399001
1990,3,-0.074173063608074
1990,4,-0.0625980898553366
1990,5,-0.0385989346504721
1990,6,-0.0140732224702186
1990,7,0.000574325689422945
1990,8,0.0107411119388654
1990,9,0.0110344584569753
1990,10,0.0335513675564001
1990,11,0.0295450781683941
1990,12,0.0577347397004207
1991,1,0.0607061458095797
1991,2,0.066076820491125
1991,3,0.0109510807774166
1991,4,0.0560471335430291
1991,5,0.0846691191777442
1991,6,0.0793390488433071
1991,7,0.0624853671766267
1991,8,0.0902323268256916
1991,9,0.117987834876939
1991,10,0.139469589037409
1991,11,0.112216446674632
1991,12,0.0959821551286489
1992,1,0.0816139231976397
1992,2,0.0842944066558187
1992,3,0.0988967890284284
1992,4,0.0958411957288868
1992,5,0.0836091991044732
1992,6,0.0584322007606402
1992,7,0.0507307721162228
1992,8,0.0354059294665806
1992,9,0.0566284409981427
1992,10,0.0513135971321289
1992,11,0.0554484147849153
1992,12,0.0403375749868236
1993,1,0.0202231576887581
1993,2,0.0292548458381551
1993,3,-0.000320106925707555
1993,4,-0.022734514237791
1993,5,-0.0265281019720076
1993,6,-0.00743625407234948
1993,7,0.00513973533606766
1993,8,-5.39627503184416e-05
1993,9,-0.0110980014665245
1993,10,-0.00244941330406043
1993,11,-0.0173437671197432
1993,12,-0.0235064778618188
1994,1,-0.0125624428838423
1994,2,-0.0169116546320855
1994,3,-0.0208243338338335
1994,4,-0.0496000129481168
1994,5,-0.0406068490646946
1994,6,-0.0346432780483591
1994,7,-0.0294464147749184
1994,8,-0.0283091616614929
1994,9,-0.0339141208624607
1994,10,-0.0337361912787483
1994,11,-0.045809598094434
1994,12,-0.0182734898023893
1995,1,-0.0201028076799967
1995,2,-0.0159316015503092
1995,3,-0.0123382051170108
1995,4,-0.0234589067905119
1995,5,-0.0411854449716176
1995,6,-0.00534353297943954
1995,7,-0.00118780117000785
1995,8,-0.0188292097949641
1995,9,-0.0173725036311004
1995,10,-0.000954034264819272
1995,11,0.010431204345405
1995,12,-0.0161966555379546
1996,1,-0.0306393929109599
1996,2,-0.031754687835784
1996,3,-0.0132833604202758
1996,4,-0.029150455011576
1996,5,-0.0473104649717126
1996,6,-0.0344343134318837
1996,7,-0.0296008746370468
1996,8,-0.04267616667907
1996,9,0.00453789279555519
1996,10,0.0180541662180804
1996,11,0.0126862565288692
1996,12,-0.0155049515701825
1997,1,-0.0174984802925496
1997,2,-0.00518096854005663
1997,3,0.00601330353667817
1997,4,0.0454307304716083
1997,5,0.0383584120959534
1997,6,0.0542379060342914
1997,7,0.0610047391395721
1997,8,0.0412269862542819
1997,9,0.025627217909636
1997,10,0.0157005804028417
1997,11,0.0640369713514159
1997,12,0.0317666338234633
1998,1,-0.0141067743233429
1998,2,-0.0280265971074602
1998,3,-0.0526136403067667
