"Year","Month","DiversityCoeff"
1985,1,0.0359138086823525
1985,2,0.0294332391479195
1985,3,0.0318731982298521
1985,4,0.0246152697898685
1985,5,0.0171741639279833
1985,6,0.00780325656901928
1985,7,0.00650626597275653
1985,8,0.00784034976201773
1985,9,-0.0135350329992098
1985,10,-0.0244973626948118
1985,11,-0.0237049094554091
1985,12,-0.0162458357693852
1986,1,-0.0148380801513289
1986,2,-0.0123625897777226
1986,3,-0.00639023490475516
1986,4,-0.0107921284200133
1986,5,-0.00782644438859742
1986,6,-0.00297202420337851
1986,7,-0.0175908588273736
1986,8,-0.0245455458791239
1986,9,-0.0110584737461887
1986,10,-0.0252992867029682
1986,11,-0.0193575984237553
1986,12,-0.0135871140756274
1987,1,-0.032648680305666
1987,2,-0.0252100529722322
1987,3,-0.0209411455957173
1987,4,-0.0339738923586572
1987,5,-0.0146967966063597
1987,6,-0.023439745829917
1987,7,-0.0149933972112843
1987,8,-0.0166546840946529
1987,9,-0.00218531391882292
1987,10,0.00460161503797318
1987,11,-0.00527513476157346
1987,12,0.00713040473833402
1988,1,0.00177352882703143
1988,2,0.00442146818801032
1988,3,-0.00133509356603916
1988,4,-0.00642242947023835
1988,5,-0.0149360863917157
1988,6,-0.00428708119308671
1988,7,-0.0124777767823145
1988,8,-0.00439478174191142
1988,9,-0.007700909189276
1988,10,-0.00419919588323917
1988,11,0.0115099594566295
1988,12,0.0260629866601982
1989,1,0.011298623270016
1989,2,0.0203326540094326
1989,3,0.039297933912711
1989,4,0.0280960146043512
1989,5,0.0397857818808606
1989,6,0.0457677352635081
1989,7,0.053530561360834
1989,8,0.0492207032812466
1989,9,0.0153849282664876
1989,10,-0.00340857482958245
1989,11,-0.0118354150709862
1989,12,-0.00847558561504802
1990,1,-0.00974325975540167
1990,2,0.0102534181258389
1990,3,0.0231766315399757
1990,4,0.044021420513703
1990,5,0.0485352740667229
1990,6,0.0455875035955149
1990,7,0.0551319228842671
1990,8,0.0554470790040561
1990,9,0.0494941768583599
1990,10,0.0503008238099498
1990,11,0.0391061858798568
1990,12,0.0306165991164994
1991,1,0.0380641819818995
1991,2,0.0307018228058542
1991,3,0.0338734689810377
1991,4,0.041008501830268
1991,5,0.0403072698022843
1991,6,0.057465885652991
1991,7,0.0526888812436937
1991,8,0.0286522549640571
1991,9,-0.0203760863934182
1991,10,-0.0508624259786559
1991,11,-0.0685427710165617
1991,12,-0.0848998427508359
1992,1,-0.0847920528347423
1992,2,-0.0822594463185947
1992,3,-0.0990469349031199
1992,4,-0.0776959088328392
1992,5,-0.084878051981651
1992,6,-0.0911565237693953
1992,7,-0.0924422228908876
1992,8,-0.0829971463054339
1992,9,-0.0697826884031128
1992,10,-0.0685981896671468
1992,11,-0.0682105874500494
1992,12,-0.0634984283031676
1993,1,-0.0731735377565586
1993,2,-0.0716997867325617
1993,3,-0.0857361554580033
1993,4,-0.107180107869184
1993,5,-0.123330014146073
1993,6,-0.0993937054465382
1993,7,-0.101441988100146
1993,8,-0.106301955883353
1993,9,-0.103735560743279
1993,10,-0.100988729425704
1993,11,-0.0903363703400558
1993,12,-0.0969795061725569
1994,1,-0.0931248106005315
1994,2,-0.102759130928897
1994,3,-0.102200120212911
1994,4,-0.118617551057189
1994,5,-0.115089433788399
1994,6,-0.0926131996746697
1994,7,-0.0933095140595468
1994,8,-0.0851397540722373
1994,9,-0.0735102264938008
1994,10,-0.0579841926961675
1994,11,-0.0241647868753972
1994,12,0.00234653765226074
1995,1,0.0220246388913353
1995,2,0.0154602343121708
1995,3,0.0279015674366915
1995,4,0.0372737373542214
1995,5,0.0324197814474299
1995,6,0.0271602621361146
1995,7,0.033456816577377
1995,8,0.0288789289774367
1995,9,0.0197723622341738
1995,10,0.0271083834067477
1995,11,0.0199545532678444
1995,12,0.0221708301437823
1996,1,0.00654497799312487
1996,2,0.00623233208298336
1996,3,0.016912298938831
1996,4,0.0140624947376304
1996,5,0.013619826193845
1996,6,0.0145728461280385
1996,7,0.0181649230406361
1996,8,0.00686508742702033
1996,9,0.00915392796147478
1996,10,-0.000503860126807714
1996,11,-0.00280871859778039
1996,12,-0.00045553902719369
1997,1,0.00174506121958497
1997,2,0.00376574781398864
1997,3,0.0333001317595451
1997,4,0.0413430928698203
1997,5,0.0347121632602614
1997,6,0.0339123394974351
1997,7,0.0345697589466271
1997,8,0.0383900320609383
1997,9,0.0526247008426384
1997,10,0.0665877729356266
1997,11,0.066690637376291
1997,12,0.0705801450272285
1998,1,0.0437497667694367
1998,2,0.0509802344204876
1998,3,0.0414731566743355
1998,4,0.0416432856710122
1998,5,0.0272477173783929
1998,6,0.034184437469278
1998,7,0.0248182541521139
1998,8,0.0299103773498513
1998,9,0.0384654456529032
1998,10,0.0407355685256106
1998,11,0.038477317953579
1998,12,0.0472683600644313
1999,1,0.0371067991622611
1999,2,0.038421209149944
1999,3,0.0253934758136207
1999,4,0.030952181688921
1999,5,0.01938143759984
1999,6,0.00827892471909769
1999,7,0.00527136296108544
1999,8,0.00763378658521356
1999,9,0.0062283488124827
1999,10,-0.00520676849313501
1999,11,-0.00254925585227225
1999,12,-0.0055888604295657
2000,1,-0.00822210178441701
2000,2,-0.0117304084565286
2000,3,-0.0224645872743504
2000,4,-0.039691779542849
2000,5,-0.0313769157172917
2000,6,-0.0180290501746271
2000,7,-0.019030694933465
2000,8,-0.00906291151669322
2000,9,-0.0179994205364289
2000,10,0.00463268435797868
2000,11,-0.00311271490432965
2000,12,0.00332157360359599
2001,1,0.0337198386380661
2001,2,0.026577499230643
2001,3,0.0166294502615611
2001,4,0.017261750143029
2001,5,0.0289288077192308
2001,6,0.0144762985438263
2001,7,0.0275133234101911
2001,8,0.0333731951524073
2001,9,0.0229720013943906
2001,10,0.0352251370846766
2001,11,0.0408293885341178
2001,12,0.0346896026776734
2002,1,0.0472787728160719
2002,2,0.049005324898282
2002,3,0.064010922849227
2002,4,0.0484805610735832
2002,5,0.0495393477664476
2002,6,0.0418110784002531
2002,7,0.0558737235434932
2002,8,0.0517261383789287
2002,9,0.0606788518208559
2002,10,0.0648648993599832
2002,11,0.0701340507307884
2002,12,0.0781895906712401
2003,1,0.0599490139478115
2003,2,0.0615912899578896
2003,3,0.0622291277113978
2003,4,0.0772048359929877
2003,5,0.0734337456600978
2003,6,0.0789948105644769
2003,7,0.0741613465388827
2003,8,0.0681959136402485
2003,9,0.054052287859189
2003,10,0.0598231853781983
2003,11,0.059401692600224
2003,12,0.0514678735373559
2004,1,0.0481571523655699
2004,2,0.0662312680188072
2004,3,0.0497505957248394
2004,4,0.0332766252351993
2004,5,0.0447736549274962
2004,6,0.0389059185901537
2004,7,0.0368086409438609
2004,8,0.0307194523422397
2004,9,0.0484419699914346
2004,10,0.0470266227284581
2004,11,0.0546863185243167
2004,12,0.0731259984101025
2005,1,0.0750590478161493
2005,2,0.0734526267104077
2005,3,0.0737263128541727
2005,4,0.0782647495458541
2005,5,0.0755497702175324
2005,6,0.0775739638108687
2005,7,0.0735000767680803
2005,8,0.0704118809124776
2005,9,0.0732964180735224
2005,10,0.08054642702778
2005,11,0.0857621761535524
2005,12,0.0901774478387444
2006,1,0.0964458169980125
2006,2,0.112485523872712
2006,3,0.104655765599788
2006,4,0.118283169729627
2006,5,0.118758852525684
2006,6,0.12218394321286
2006,7,0.124646706961536
2006,8,0.121334373193428
2006,9,0.119641903943722
2006,10,0.119351161228032
2006,11,0.122747299274309
2006,12,0.132030658819701
2007,1,0.14173624695408
2007,2,0.135249726410696
2007,3,0.133604776694943
2007,4,0.150934209028413
2007,5,0.147434848979081
2007,6,0.156354591848093
2007,7,0.162970899461185
2007,8,0.156428772805711
2007,9,0.14829943462545
2007,10,0.145166266378973
2007,11,0.151523414500869
2007,12,0.146036806900942
2008,1,0.15045733269182
2008,2,0.158789331748396
2008,3,0.136747275667525
2008,4,0.126606452359728
2008,5,0.138557535575996
2008,6,0.12974677755791
2008,7,0.136337424628348
2008,8,0.145374697543771
2008,9,0.14816989189059
2008,10,0.144957420215144
2008,11,0.14544362963481
2008,12,0.14180607779236
2009,1,0.133053130321763
2009,2,0.128713940408968
2009,3,0.126646116293296
2009,4,0.10866497442457
2009,5,0.110327703230664
2009,6,0.104306629181755
2009,7,0.105590116987016
2009,8,0.0989348271962461
2009,9,0.0957200837200767
2009,10,0.10644793453663
2009,11,0.101682814866766
2009,12,0.0945951758959319
2010,1,0.0824425034558551
2010,2,0.101638865137495
2010,3,0.124781759979612
2010,4,0.112211117051808
2010,5,0.115424379083452
2010,6,0.115959831315025
2010,7,0.1285289835695
2010,8,0.128153892783673
2010,9,0.119215319674257
2010,10,0.128780916246919
2010,11,0.131045772771073
2010,12,0.138977801367213
2011,1,0.144323382522364
2011,2,0.138470676747594
2011,3,0.124260886318242
2011,4,0.108892254508636
2011,5,0.104554463370512
2011,6,0.112482764929033
2011,7,0.108045604031291
2011,8,0.117234777632741
2011,9,0.110047700238444
2011,10,0.112672103680821
2011,11,0.112831848854644
2011,12,0.110481873456385
2012,1,0.0925737828379014
2012,2,0.110894803302727
2012,3,0.112219581786757
2012,4,0.123326103619498
2012,5,0.131733583145102
2012,6,0.1219261586752
2012,7,0.118669093008479
2012,8,0.12534255456452
2012,9,0.126782696508503
2012,10,0.1248069867012
2012,11,0.126724272440717
2012,12,0.131087066798023
2013,1,0.138576659469324
2013,2,0.127717741079042
2013,3,0.123758310227569
2013,4,0.129054988164833
2013,5,0.141665668867779
2013,6,0.13788107189622
2013,7,0.130861013049253
2013,8,0.137601492246482
2013,9,0.137222233423079
2013,10,0.142243392385352
2013,11,0.158687689500381
2013,12,0.157191990816741
2014,1,0.148676369329155
2014,2,0.151525389940782
2014,3,0.144740903968729
2014,4,0.163684463645511
2014,5,0.145821069175222
2014,6,0.153555471717384
2014,7,0.151278954847786
2014,8,0.166941318217628
2014,9,0.162618409817732
2014,10,0.167097356656788
2014,11,0.163023176231176
2014,12,0.155300427589694
2015,1,0.168284890421395
2015,2,0.169827069455765
2015,3,0.179206835729743
2015,4,0.162392487901297
2015,5,0.175945512858599
2015,6,0.173503752362264
2015,7,0.174211426409092
2015,8,0.175777572254036
2015,9,0.177477699454415
2015,10,0.167979051446911
2015,11,0.175859850244748
2015,12,0.171958795433514
2016,1,0.174856557720162
2016,2,0.174858661018563
2016,3,0.169438037392758
2016,4,0.144714784432532
2016,5,0.140698129396872
2016,6,0.142992843073129
2016,7,0.13595383286644
2016,8,0.142981938008816
2016,9,0.158183803660934
2016,10,0.160271826634487
2016,11,0.159069539713461
2016,12,0.153634988602779
2017,1,0.169604985999801
2017,2,0.156568053373197
2017,3,0.167277595338777
2017,4,0.158633218276509
2017,5,0.150772167785784
2017,6,0.150104404348451
2017,7,0.147387857982983
2017,8,0.153863499726681
2017,9,0.128660610386048
2017,10,0.12935179389643
2017,11,0.12426800558406
2017,12,0.131626013126178
2018,1,0.14599198425494
2018,2,0.137543958514684
2018,3,0.146467531279807
2018,4,0.161338131278032
2018,5,0.123170306296455
2018,6,0.126222988839781
2018,7,0.126558760813954
2018,8,0.122246014959411
2018,9,0.125435191059883
2018,10,0.136484828978124
2018,11,0.142481623771644
2018,12,0.148074627967154
2019,1,0.141650950932255
2019,2,0.148580265004916
2019,3,0.145801095457125
2019,4,0.136686974330081
2019,5,0.133452430804486
2019,6,0.146275434156709
2019,7,0.13888648485972
2019,8,0.139697433194434
2019,9,0.127492772109841
2019,10,0.131241680510173
2019,11,0.128711593920584
2019,12,0.128645774448816
2020,1,0.121936103014208
2020,2,0.12754976032924
2020,3,0.132338763622263
2020,4,0.140309861842227
2020,5,0.144890196974419
2020,6,0.150904877576515
2020,7,0.15166521910545
2020,8,0.15886546538709
2020,9,0.155450833974294
2020,10,0.148944755977911
2020,11,0.152756467983537
2020,12,0.146103639233872
2021,1,0.135904492418934
2021,2,0.136042193165917
2021,3,0.120842680839076
2021,4,0.113768348997426
2021,5,0.12826575166341
2021,6,0.134247084453969
2021,7,0.12548170939062
2021,8,0.134646752466199
2021,9,0.135021574794922
2021,10,0.134214708576808
2021,11,0.145335385267081
2021,12,0.142455485632095
2022,1,0.133614710518181
2022,2,0.142051426720594
2022,3,0.127699427850177
2022,4,0.125635866805177
2022,5,0.138778760499893
2022,6,0.147993865550782
2022,7,0.137815350722691
2022,8,0.135970593973246
2022,9,0.140145270548534
2022,10,0.137423358441469
2022,11,0.138083720482207
2022,12,0.138060557176602
NA,NA,0.108221775821058
