"Year","Month","DiversityCoeff"
1985,1,0.0755345736217967
1985,2,0.0219094807921475
1985,3,0.0575232138595964
1985,4,0.0701029066534363
1985,5,0.0493077413608468
1985,6,0.0260170377949231
1985,7,0.063305086781603
1985,8,0.100423379115227
1985,9,0.0810600039106422
1985,10,0.0697350251480632
1985,11,0.118191858706798
1985,12,0.119963953831838
1986,1,0.12598052256369
1986,2,0.127571205050548
1986,3,0.11936614174248
1986,4,0.134912592075041
1986,5,0.144744765451958
1986,6,0.168350494319383
1986,7,0.158144965919545
1986,8,0.166851448218629
1986,9,0.180312368433419
1986,10,0.195443577250007
1986,11,0.205895631633946
1986,12,0.19198659252465
1987,1,0.184455050242927
1987,2,0.194007764028301
1987,3,0.207862789863101
1987,4,0.200601574495836
1987,5,0.176003048198032
1987,6,0.193786044870334
1987,7,0.174165523447953
1987,8,0.174001566156832
1987,9,0.141610156570992
1987,10,0.093074044244288
1987,11,0.0830190569868616
1987,12,0.0787816809401288
1988,1,0.106204092402233
1988,2,0.0889830863077437
1988,3,0.131953423181944
1988,4,0.119743520510556
1988,5,0.117692035495025
1988,6,0.133064864747917
1988,7,0.110508265302519
1988,8,0.136521313514975
1988,9,0.124553732598215
1988,10,0.133796822396319
1988,11,0.117897674274823
1988,12,0.144618547454689
1989,1,0.112800431803414
1989,2,0.115862625641183
1989,3,0.142736682495731
1989,4,0.132802515162696
1989,5,0.133593515016015
1989,6,0.110956825809562
1989,7,0.0928743914057059
1989,8,0.0929947117429034
1989,9,0.0852228799047332
1989,10,0.0618036424319161
1989,11,0.0967696027478897
1989,12,0.0821418213524431
1990,1,0.0887133793491228
1990,2,0.0887816132240325
1990,3,0.0802894676008045
1990,4,0.0927026267983941
1990,5,0.105206988421933
1990,6,0.117958784504646
1990,7,0.126917697547223
1990,8,0.151829489647562
1990,9,0.117640011366789
1990,10,0.0756177440907143
1990,11,0.129690727129413
1990,12,0.14146288955987
1991,1,0.113919382854459
1991,2,0.131703100619564
1991,3,0.122472485198598
1991,4,0.159319172347837
1991,5,0.140693060218481
1991,6,0.144744814203815
1991,7,0.132732531491765
1991,8,0.102354800536371
1991,9,0.124766186454208
1991,10,0.130133810075738
1991,11,0.0959761562334527
1991,12,0.0824959608681358
1992,1,0.0577997863613089
1992,2,0.0847432655262932
1992,3,0.0482567974460743
1992,4,0.0888546974187914
1992,5,0.0559330739769562
1992,6,0.0603240815014888
1992,7,0.0685901344661291
1992,8,0.0712011362895128
1992,9,0.0609158742868751
1992,10,0.0708300103036159
1992,11,0.0381054749248788
1992,12,0.0609634864057479
1993,1,0.0571922179493096
1993,2,0.0631838557872712
1993,3,0.10244881266253
1993,4,0.102470485834698
1993,5,0.0809333167252806
1993,6,0.0670413196554963
1993,7,0.0796862236678887
1993,8,0.0877615369074609
1993,9,0.0974257909457589
1993,10,0.105957027191868
1993,11,0.108379554948973
1993,12,0.101630687217743
1994,1,0.0794135055849041
1994,2,0.0310557463414673
1994,3,0.0253091662155722
1994,4,0.0666216906132347
1994,5,0.0598758987296584
1994,6,0.053006889733764
1994,7,0.0823549592658975
1994,8,0.0949791508923684
1994,9,0.0413067765445204
1994,10,0.0887114029742813
1994,11,0.0749840632295477
1994,12,0.115389386589242
1995,1,0.141820747693331
1995,2,0.134806045642593
1995,3,0.10973598916718
1995,4,0.106234888341165
1995,5,0.120930596746534
1995,6,0.162952597869017
1995,7,0.116036847713413
1995,8,0.10548857497709
1995,9,0.115238294640146
1995,10,0.0978808614750314
1995,11,0.113459921529968
1995,12,0.101779174259542
1996,1,0.0954118307949293
1996,2,0.117375569070142
1996,3,0.100607790583891
1996,4,0.0940444124255292
1996,5,0.0623507508391454
1996,6,0.0815266216224504
1996,7,0.081320562078359
1996,8,0.0892046246579557
1996,9,0.0827753115799713
1996,10,0.0600047813687132
1996,11,0.0816699066272518
1996,12,0.0564003539548564
1997,1,0.0637845565668183
1997,2,0.0786216085056061
1997,3,0.0980357610966437
1997,4,0.0568860857976205
1997,5,0.0696997875169305
1997,6,0.0841956967895692
1997,7,0.095304545022552
1997,8,0.0731031930152741
1997,9,0.090808501295563
1997,10,0.0844074938183278
1997,11,0.125822803991581
1997,12,0.0778189314440085
1998,1,0.0844111846818363
1998,2,0.101942893225067
1998,3,0.0898204217171019
1998,4,0.0878566659737667
1998,5,0.112323990070068
1998,6,0.0924254632230504
1998,7,0.0900702092628715
1998,8,0.111484941279215
1998,9,0.116804269010296
1998,10,0.106150771412605
1998,11,0.0939835125689501
1998,12,0.106544643396902
1999,1,0.112690188583711
1999,2,0.119238279743178
1999,3,0.121417067404053
1999,4,0.127607220517637
1999,5,0.127047608506778
1999,6,0.125773551793785
1999,7,0.150620564355126
1999,8,0.0922224284567777
1999,9,0.105323964162118
1999,10,0.11695959368973
1999,11,0.125098031677702
1999,12,0.106398387796614
2000,1,0.1144782309451
2000,2,0.128340976708384
2000,3,0.134064118384181
2000,4,0.119023858590353
2000,5,0.118984797624117
2000,6,0.131001983285595
2000,7,0.11883461939753
2000,8,0.126797288504861
2000,9,0.134198003208836
2000,10,0.130266786725323
2000,11,0.126753976583179
2000,12,0.0869617550598671
2001,1,0.118369768723529
2001,2,0.139181046144257
2001,3,0.106345672996323
2001,4,0.103498288428911
2001,5,0.113851496911447
2001,6,0.110346985113674
2001,7,0.129572428364622
2001,8,0.114618397952844
2001,9,0.1106314844806
2001,10,0.105105607036271
2001,11,0.0790127148275676
2001,12,0.0728139298236921
2002,1,0.0814238333784939
2002,2,0.12613101957003
2002,3,0.126846079624844
2002,4,0.10159502538085
2002,5,0.0692910186309698
2002,6,0.0743859490122566
2002,7,0.092557210693074
2002,8,0.112674143039351
2002,9,0.0865095972335705
2002,10,0.117051090310756
2002,11,0.095490316717039
2002,12,0.0826801853597447
2003,1,0.0562285462706699
2003,2,0.0591462418271672
2003,3,0.0185899834407687
2003,4,0.0146683116603032
2003,5,0.0364549771004165
2003,6,-0.000719080173994784
2003,7,0.00744206444636333
2003,8,-0.00715167444740485
2003,9,0.00280142947652894
2003,10,0.00159186357501847
2003,11,-0.0305293298417313
2003,12,-0.0431828910333735
2004,1,-0.0499800730077363
2004,2,-0.0431927955169397
2004,3,-0.0868295603007872
2004,4,-0.0688941936327927
2004,5,-0.100665664854896
2004,6,-0.083505991802106
2004,7,-0.0405265156550144
2004,8,-0.085682026254449
2004,9,-0.0879370176206847
2004,10,-0.0513655415745849
2004,11,-0.0445718813450221
2004,12,-0.0220550859623443
2005,1,-0.0493448896271472
2005,2,-0.0161278372080828
2005,3,-0.0207424013852709
2005,4,0.0222739385879268
2005,5,0.0517833851498648
2005,6,0.015888748954122
2005,7,0.00917524836643621
2005,8,0.0768296711296095
2005,9,0.0924510975843131
2005,10,0.0595912334725764
2005,11,0.0340028158254536
2005,12,0.028470885717482
2006,1,0.0458257239790391
2006,2,0.0265170721464838
2006,3,0.0254409037200747
2006,4,0.059780962111188
2006,5,0.0381979052531741
2006,6,0.0315840330563721
2006,7,0.0243362008243324
2006,8,0.0299757794487445
