"Year","Month","DiversityCoeff"
1985,1,-0.14668288048933
1985,2,-0.13316033690774
1985,3,-0.11508945446556
1985,4,-0.13935364769331
1985,5,-0.142207386500758
1985,6,-0.130204646297566
1985,7,-0.121809224037633
1985,8,-0.12489295888964
1985,9,-0.127265172628146
1985,10,-0.12384842515498
1985,11,-0.122891098320627
1985,12,-0.116276141608572
1986,1,-0.119584997146439
1986,2,-0.119832207696236
1986,3,-0.107681796143989
1986,4,-0.12049432578902
1986,5,-0.11219740724626
1986,6,-0.0704437484962672
1986,7,-0.0686422792547756
1986,8,-0.0857663688737722
1986,9,-0.0785510686535816
1986,10,-0.114260821129306
1986,11,-0.111720208909505
1986,12,-0.125215373024936
1987,1,-0.146885700188397
1987,2,-0.145242440876127
1987,3,-0.131574794126824
1987,4,-0.118411789188166
1987,5,-0.129641244955177
1987,6,-0.152579060414839
1987,7,-0.107221720794873
1987,8,-0.112709076042668
1987,9,-0.127141943877141
1987,10,-0.139388405341852
1987,11,-0.144836935421183
1987,12,-0.12949919687046
1988,1,-0.153503503323602
1988,2,-0.169060491879105
1988,3,-0.153495644176376
1988,4,-0.174835619300967
1988,5,-0.179020659592382
1988,6,-0.180381844042629
1988,7,-0.147368155776936
1988,8,-0.138931169239364
1988,9,-0.132004485848724
1988,10,-0.107604092771728
1988,11,-0.0993620927632012
1988,12,-0.102673370534584
1989,1,-0.10806248976331
1989,2,-0.103605524649893
1989,3,-0.125698925653317
1989,4,-0.141686604600613
1989,5,-0.133434059879988
1989,6,-0.153685180244197
1989,7,-0.122709305840475
1989,8,-0.125998097352206
1989,9,-0.109091273741472
1989,10,-0.113733324904451
1989,11,-0.12614181557677
1989,12,-0.11969581819863
1990,1,-0.101446375205977
1990,2,-0.103229704800131
1990,3,-0.0958763049066803
1990,4,-0.0961039062152879
1990,5,-0.0729623658147928
1990,6,-0.0595745339020282
1990,7,-0.0565988547478806
1990,8,-0.0560634959511744
1990,9,-0.0641537594321293
1990,10,-0.0604099617180273
1990,11,-0.0612633477717061
1990,12,-0.0492136987731707
1991,1,-0.0531534868438977
1991,2,-0.00344318979597334
1991,3,-0.00057577210833624
1991,4,-0.0119602031006705
1991,5,-0.00344278378476612
1991,6,-0.0126175627577199
1991,7,-0.0159840540010126
1991,8,-0.0279091213875246
1991,9,-0.0143022593728726
1991,10,-0.0226647472817019
1991,11,-0.0228156776033928
1991,12,-0.0335672277052399
1992,1,-0.025273670078206
1992,2,-0.0146348504402588
1992,3,0.000685336153677232
1992,4,-0.00764098138537984
1992,5,-0.0107845184120749
1992,6,-0.0152150685203323
1992,7,-0.00575673922580252
1992,8,-0.0190739701476109
1992,9,-0.0161178338843775
1992,10,-0.00898841338478545
1992,11,-0.0169453323286265
1992,12,-0.000593193651879919
1993,1,-0.0148483305752313
1993,2,-0.00235721919094146
1993,3,-0.0125006278965181
1993,4,-0.0118634143912096
1993,5,-0.0110598357570955
1993,6,-0.0330656484772104
1993,7,-0.0116107104744955
1993,8,-0.0299812081502659
1993,9,-0.0121730040629189
1993,10,-0.00865938012845551
1993,11,-0.00065892256930115
1993,12,-0.0127381937156742
1994,1,-0.0179004638118618
1994,2,-0.0228773549632781
1994,3,-0.0333997286453442
1994,4,-0.0309087201746843
1994,5,-0.00870547197844805
1994,6,-0.0208223678887484
1994,7,0.0032700995154079
1994,8,0.0104874618365164
1994,9,0.0187256484472191
1994,10,0.0316629896056821
1994,11,0.0278338081866294
1994,12,0.0334858545440513
1995,1,0.026129100128028
1995,2,0.0333114215658257
1995,3,0.029174292443899
1995,4,-0.00496267949742298
1995,5,-0.013053208085129
1995,6,-0.0297442096697334
1995,7,-0.0301106068889907
1995,8,-0.0283838860281602
1995,9,-0.0609863210095464
1995,10,-0.0742090019052104
1995,11,-0.0671975278086971
1995,12,-0.0620660308430896
1996,1,-0.0713043503963265
