"Year","Month","DiversityCoeff"
1985,1,0.0202212647899541
1985,2,0.0660398815180774
1985,3,0.0635335984517999
1985,4,0.0374232696457213
1985,5,0.0309563193144009
1985,6,0.00384541183504371
1985,7,0.0390805326210373
1985,8,0.00281051814605529
1985,9,0.0139600429164313
1985,10,-0.0470065432472705
1985,11,-0.0361022348524462
1985,12,-0.023071657327957
1986,1,-0.0135891571984501
1986,2,-0.0324675460409766
1986,3,-0.0563853370865013
1986,4,-0.00947409062252845
1986,5,-0.0168831778352527
1986,6,-0.0291691552552182
1986,7,-0.056082330137071
1986,8,-0.0878044497218655
1986,9,-0.118046755031144
1986,10,-0.143079196182708
1986,11,-0.127550026542107
1986,12,-0.146679356401068
1987,1,-0.199545127522827
1987,2,-0.11624034563567
1987,3,-0.036190836323411
1987,4,-0.129981356532322
1987,5,-0.139149506807852
1987,6,-0.170008008857711
1987,7,-0.140610456449579
1987,8,-0.0927099166932255
1987,9,-0.0630283950322239
1987,10,-0.085123272400763
1987,11,-0.0645210159722281
1987,12,-0.0600916539589916
1988,1,-0.0661323205287209
1988,2,-0.0496302511132323
1988,3,-0.0841800573223617
1988,4,-0.0772103686445608
1988,5,-0.0641969780264394
1988,6,-0.0848990207715265
1988,7,-0.0551460325597983
1988,8,-0.0734790113904234
1988,9,-0.058636097642862
1988,10,-0.0369025408590164
1988,11,-0.0318119686551102
1988,12,-0.038756358735189
1989,1,-0.0532395027879731
1989,2,-0.0248549435836577
1989,3,0.0160743778603272
1989,4,0.0348901132629015
1989,5,0.0379795346528679
1989,6,0.148793047843432
1989,7,0.118063318368984
1989,8,0.160019216822301
1989,9,0.206982079935084
1989,10,0.170244613984612
1989,11,0.161901143822163
1989,12,0.131771094058232
1990,1,0.101396766831856
1990,2,0.0925268603507454
1990,3,0.108911081257912
1990,4,0.112636147562991
1990,5,0.134729884388246
1990,6,0.140970126126772
1990,7,0.134080486130838
1990,8,0.11445320461993
1990,9,0.0972012807575043
1990,10,0.0897201987371044
1990,11,0.121295804898339
1990,12,0.0875192697430408
1991,1,0.118862062676007
1991,2,0.193979168907144
1991,3,0.144355418052926
1991,4,0.216899427478014
1991,5,0.227012580991193
1991,6,0.253211197656917
1991,7,0.224292452144087
1991,8,0.183624773032987
1991,9,0.186259327921485
1991,10,0.13472618091961
1991,11,0.10670404363008
1991,12,0.0480017535321889
1992,1,0.0465680156312395
1992,2,0.00974949584056189
1992,3,-0.0372197235026687
1992,4,-0.00877522891450721
1992,5,-0.00139171018592573
1992,6,-0.0297522324930794
1992,7,-0.0244332906926678
1992,8,-0.0118784315984437
1992,9,-0.0506612120273388
1992,10,-0.0376126654831885
1992,11,-0.0288963649681689
1992,12,-0.0437054740958817
1993,1,0.0111097410157404
1993,2,0.0089516437104075
1993,3,-0.0272952949178381
1993,4,-0.0618972085165771
1993,5,-0.0988435981636184
1993,6,-0.0584350737589336
1993,7,-0.0781987348070069
1993,8,-0.0599047351707796
1993,9,-0.00372261136717552
1993,10,-0.0166070454259404
1993,11,-0.0480731339179232
1993,12,-0.0552693098150331
1994,1,-0.04614002199848
1994,2,-0.0840264278247796
1994,3,-0.0761192207693988
1994,4,-0.0732987391554367
1994,5,-0.108319668001251
1994,6,-0.0809171473071295
1994,7,-0.0935146176469257
1994,8,-0.118263845511697
1994,9,-0.131979457386277
1994,10,-0.078430487824403
1994,11,-0.0939277781870639
1994,12,-0.0676380407078365
1995,1,-0.0365592236365838
1995,2,-0.0393967320389636
1995,3,-0.000101982451717206
1995,4,0.00642275773310899
1995,5,-0.0287292861834681
1995,6,-0.0358062213422968
1995,7,-0.0565180955592498
1995,8,-0.0721871680449313
1995,9,-0.104161829204173
1995,10,-0.080827937888228
1995,11,-0.0183959262144571
1995,12,-0.0539996838712477
1996,1,-0.0928239772819826
1996,2,-0.0604962115595945
1996,3,-0.0194344635390008
1996,4,-0.0394149829329051
1996,5,-0.0274422985228748
1996,6,-0.031316810662399
1996,7,-0.0358296899375969
1996,8,-0.0018763070688011
1996,9,-0.0174411612723376
1996,10,-0.064062129738635
1996,11,-0.0595307698583135
1996,12,-0.0571639467495938
1997,1,-0.060775927916652
1997,2,-0.0554811327384778
1997,3,-0.0285824509382849
1997,4,-0.0403387427534287
1997,5,-0.0627117440606792
1997,6,-0.0810995884122061
1997,7,-0.0641230685611357
1997,8,-0.093301943892631
1997,9,-0.10128981460473
1997,10,-0.137272074712611
1997,11,-0.164158285909504
1997,12,-0.16253111489208
1998,1,-0.147903221981621
1998,2,-0.160005185102583
1998,3,-0.146035558838494
1998,4,-0.123231057209908
1998,5,-0.126721684982223
1998,6,-0.116358911778743
1998,7,-0.176403197716815
1998,8,-0.168073049118926
1998,9,-0.151644457180815
1998,10,-0.129312872883036
1998,11,-0.123537315610035
1998,12,-0.151892199025984
1999,1,-0.096724850695724
1999,2,-0.101467882007534
1999,3,-0.0684129959744867
1999,4,-0.0571689061631261
1999,5,-0.043636787548044
1999,6,-0.0477092109922756
1999,7,-0.0483534046118985
1999,8,-0.0517474872810682
1999,9,-0.0481548920294404
1999,10,-0.055394168821397
1999,11,-0.0468962320627378
1999,12,-0.0243608942912025
2000,1,-0.0159349801511608
2000,2,-0.00500302134058429
2000,3,-0.0439155474765353
2000,4,-0.0277041639519464
2000,5,-0.0729223266782447
2000,6,-0.0734167549760039
2000,7,-0.0626388187406624
2000,8,-0.0713239580122844
2000,9,-0.0829404028685606
2000,10,-0.0881483923563552
2000,11,-0.109986168750797
2000,12,-0.10257802463346
2001,1,-0.104112503285019
2001,2,-0.108264102725554
2001,3,-0.0756597672918321
2001,4,-0.0956499891099452
2001,5,-0.112829991894311
2001,6,-0.137238209065657
2001,7,-0.0721346431887771
2001,8,-0.0498897068085235
2001,9,-0.124318589325247
2001,10,-0.188923070482771
2001,11,-0.21413673283897
2001,12,-0.179137957813931
2002,1,-0.134582530798884
2002,2,-0.15803182067833
2002,3,-0.148833811997955
2002,4,-0.19306262018597
2002,5,-0.141364487177914
2002,6,-0.0952039684256671
2002,7,-0.0670831423238573
2002,8,-0.0473934140246433
2002,9,-0.0461553162095951
2002,10,-0.00532362068766149
2002,11,-0.0215662728227782
2002,12,-0.0229198922342122
2003,1,0.00575250353782921
2003,2,-0.00936049796988729
2003,3,0.00371501863093968
2003,4,0.0273711575272322
2003,5,0.0708210240009645
2003,6,0.0542920532423193
2003,7,0.0621910983056766
2003,8,0.0408112236383409
2003,9,0.0543394574335352
2003,10,0.0331124312322441
2003,11,0.0353125433201486
2003,12,0.0683637330562686
2004,1,0.0647732839566502
2004,2,0.104164976054688
2004,3,0.0318313538718459
2004,4,0.0864373568671357
2004,5,0.0765675141930198
2004,6,0.104003065335905
2004,7,0.0858640844476054
2004,8,0.122054092283487
2004,9,0.115080371273425
2004,10,0.10521559337416
2004,11,0.115214600239647
2004,12,0.140093610549764
2005,1,0.125253448843915
2005,2,0.140428491779857
2005,3,0.17578182035195
2005,4,0.203967333051802
2005,5,0.200404145233582
2005,6,0.210505839548497
2005,7,0.190647324311846
2005,8,0.180924676932797
2005,9,0.188406721740879
2005,10,0.197888007087469
2005,11,0.146728573342301
2005,12,0.168108065682262
2006,1,0.151325703170099
2006,2,0.130066685364435
2006,3,0.0957489204381729
2006,4,0.111354794846319
2006,5,0.114525814963731
2006,6,0.128722494133808
2006,7,0.095670019689997
2006,8,0.121800514178505
2006,9,0.13102458392448
2006,10,0.160319961761223
2006,11,0.139136602612623
2006,12,0.164986016504442
2007,1,0.186175960571548
2007,2,0.108886028672592
2007,3,0.15002030097185
2007,4,0.148932514691212
2007,5,0.120229550063157
2007,6,0.12426161716793
2007,7,0.134255896503016
2007,8,0.176486747290257
2007,9,0.168385887669828
2007,10,0.176216322590452
2007,11,0.181414794906189
2007,12,0.173239070878767
2008,1,0.182682051322911
2008,2,0.168645501762813
2008,3,0.127430231349723
2008,4,0.0730293370479726
2008,5,0.0430476363366152
2008,6,0.0189839849184809
2008,7,0.016316436388589
2008,8,0.0333478837287399
2008,9,0.0590158426134654
2008,10,0.0558109006130331
2008,11,0.0146900117294238
2008,12,0.0105164985184976
2009,1,-0.0191766703015926
2009,2,0.00131121972947061
2009,3,0.00303758038669249
2009,4,-0.0113752115114736
2009,5,-0.023991370662446
2009,6,-0.0479421174583212
2009,7,-0.0583326752858056
2009,8,-0.0580034950685042
2009,9,-0.0343127268126974
2009,10,-0.0453878006084931
2009,11,-0.0369888269972129
2009,12,-0.0517509153390882
2010,1,-0.027696412295402
2010,2,-0.0317437542999492
2010,3,-0.110190349726694
2010,4,0.0337124906400835
2010,5,-0.0351424615880603
2010,6,-0.00878757665690236
2010,7,-0.0379090307623398
2010,8,-0.0546537513549865
2010,9,-0.0521729070243667
2010,10,-0.0137344971521134
2010,11,-0.0539599921745103
2010,12,-0.0102549816362386
2011,1,0.00487409892120396
2011,2,0.0173479934855402
2011,3,0.0413261745334613
2011,4,0.0045745056452155
2011,5,0.0231509854563234
2011,6,0.00519181265866716
2011,7,0.0275334025293869
2011,8,-0.0225501160828638
2011,9,-0.0380981440746417
2011,10,-0.032778466157564
2011,11,-0.0346907516556097
2011,12,-0.0202782488463363
2012,1,-0.0721595200994481
2012,2,-0.0687488212977079
2012,3,-0.145275003982909
2012,4,-0.137312522262609
2012,5,-0.145657726633893
2012,6,-0.128525380250485
2012,7,-0.148801323834745
2012,8,-0.134139510357267
2012,9,-0.130238243611178
2012,10,-0.13611069431154
2012,11,-0.126172884940464
2012,12,-0.136682487276609
2013,1,-0.145789254953837
2013,2,-0.112397681065402
2013,3,-0.0700674334393332
2013,4,-0.0809479566566527
2013,5,-0.0817479260931557
2013,6,-0.0891950164392419
2013,7,-0.12097296503799
2013,8,-0.0815968718915082
2013,9,-0.044017108826613
2013,10,-0.024762279326015
2013,11,-0.0457733952658566
2013,12,-0.037983601548689
2014,1,-0.0535869150266484
2014,2,-0.103609424393751
2014,3,-0.139706204676528
2014,4,-0.131784287094369
2014,5,-0.0994200113469679
2014,6,-0.0975956578035266
2014,7,-0.0990307904144128
2014,8,-0.0852329766996691
2014,9,-0.0633854931098137
2014,10,-0.0338391109888199
2014,11,-0.00955168520040667
2014,12,-0.0221756061408817
2015,1,-0.00985450211531042
2015,2,-0.0167318792104756
2015,3,-0.00755165630578182
2015,4,-0.0327344298667323
2015,5,-0.0544848352888825
2015,6,-0.06413326590466
2015,7,-0.0240961889976798
2015,8,-0.0400536412042156
2015,9,-0.0393442489162328
2015,10,-0.0238187866845463
2015,11,-0.0284965502001012
2015,12,-0.0290555561011373
2016,1,-0.0313981190628877
2016,2,-0.0781947124521123
2016,3,-0.0336596106311684
2016,4,0.00212909681716234
2016,5,0.0114427859562547
2016,6,0.00894035582203693
2016,7,0.0416609300809294
2016,8,0.0219007356867131
2016,9,0.0223544438320752
2016,10,0.0234998401383051
2016,11,0.0395166368619264
2016,12,0.000472530786032228
NA,NA,0.0276290366975556
