"Year","Month","DiversityCoeff"
1985,1,0.0559644736313359
1985,2,0.0698575165267075
1985,3,0.0863147951076784
1985,4,0.040220009353621
1985,5,0.0270143418865281
1985,6,0.0262226858406378
1985,7,0.038780008716251
1985,8,0.0394445542676882
1985,9,0.0583674319946201
1985,10,0.0514251915748386
1985,11,0.0597541336910489
1985,12,0.0609292131265626
1986,1,0.0575554929299463
1986,2,0.0521916071967209
1986,3,0.0640717039822449
1986,4,0.0356762949913773
1986,5,0.043084271124412
1986,6,0.055338544485319
1986,7,0.0592139068858155
1986,8,0.045241710717691
1986,9,0.0549724524541009
1986,10,0.0372460881901114
1986,11,0.0336486205017285
1986,12,0.0220618167618753
1987,1,0.00162440914288354
1987,2,-0.00236551339374338
1987,3,0.00801170374400847
1987,4,0.0180972085695417
1987,5,0.0198036585407524
1987,6,-0.0116603739937454
1987,7,-0.000256494933807616
1987,8,0.0239625130129054
1987,9,0.0420073534027098
1987,10,0.0451768619507232
1987,11,0.0396259606802875
1987,12,0.0583740341986775
1988,1,0.0313732081623624
1988,2,-0.00481267870681725
1988,3,0.00337687916575338
1988,4,-0.0177991057854586
1988,5,-0.0267870507282618
1988,6,-0.0519134361420451
1988,7,-0.0348739838972112
1988,8,-0.0275711579312886
1988,9,-0.0189636292710794
1988,10,-0.00512108496228685
1988,11,0.00527151723688926
1988,12,-0.0070229382453334
1989,1,-0.00567639178438511
1989,2,-0.00331919287935481
1989,3,-0.0261085091560746
1989,4,-0.0357875616807206
1989,5,-0.0297041496035534
1989,6,-0.0518830888786438
1989,7,-0.046911860382355
1989,8,-0.0533537646810851
1989,9,-0.0393045929012566
1989,10,-0.0513529563413588
1989,11,-0.0644450219287757
1989,12,-0.0615854712094128
1990,1,-0.0531242498494935
1990,2,-0.0485936570454381
1990,3,-0.0439649589968865
1990,4,-0.0441509473177948
1990,5,-0.0217106670599177
1990,6,-0.0116714343577317
1990,7,-0.0273551549509873
1990,8,-0.018216386505345
1990,9,-0.0347540053572483
1990,10,-0.0214492411036791
1990,11,-0.0331679850792243
1990,12,-0.004577866821007
1991,1,-0.0117459749651008
1991,2,0.0478825710103921
1991,3,0.0563907069642726
1991,4,0.0414052806182338
1991,5,0.0446999661404157
1991,6,0.0150498532418752
1991,7,0.0119092689000929
1991,8,-0.0122708693103134
1991,9,0.00365037796972182
1991,10,0.0084794173736398
1991,11,0.0163194555513635
1991,12,0.0123304156593803
1992,1,0.0183402632134219
1992,2,0.0312723730915105
1992,3,0.0447115514342664
1992,4,0.0407349985212696
1992,5,0.0289409127943199
1992,6,0.0445286002717239
1992,7,0.0344302133050292
1992,8,0.0243922251417273
1992,9,0.0298969512379044
1992,10,0.0290935092416356
1992,11,0.013375015771205
1992,12,0.0308079005216931
1993,1,0.0226156454576815
1993,2,0.0326276982346713
1993,3,0.0318706438228275
1993,4,0.0328916865590504
1993,5,0.0164376187159729
1993,6,0.00702568864520061
1993,7,0.0114856066460118
1993,8,0.00722056118447063
1993,9,0.0115161679823484
1993,10,-0.00183127352506067
1993,11,0.00501589918823741
1993,12,-0.00922195035423963
1994,1,-0.0186418232353476
1994,2,-0.0280684297432303
1994,3,-0.0446687080966502
1994,4,-0.0544244287214679
1994,5,-0.0206181623498057
1994,6,0.010804829830339
1994,7,0.0595209155250486
1994,8,0.0739076256216442
1994,9,0.0831776643865168
1994,10,0.100083372911676
1994,11,0.096292658710543
1994,12,0.10733661345249
1995,1,0.104322723161605
1995,2,0.113215465004
1995,3,0.105259348180988
1995,4,0.0755216759353417
1995,5,0.0603923758325402
1995,6,0.0422691020705721
1995,7,0.0425621741985127
1995,8,0.0478872289714954
1995,9,0.0214916914805429
1995,10,0.021070185890847
1995,11,0.0112860976767796
1995,12,0.0274828969156793
1996,1,0.017508413287458
1996,2,0.0260460625469747
1996,3,0.0309548117355915
1996,4,0.0302783202827416
1996,5,0.0206858391385259
1996,6,0.0278738901136596
1996,7,0.0312163906915503
1996,8,0.0428719991357645
1996,9,0.0397161378042211
1996,10,0.00878014311637398
1996,11,0.0100176488179455
1996,12,0.0200146072933926
