"Year","Month","DiversityCoeff"
1985,1,-0.198423938538311
1985,2,-0.168524067462779
1985,3,-0.161921394175022
1985,4,-0.146194207724351
1985,5,-0.146151544026097
1985,6,-0.133924140720883
1985,7,-0.110264348101454
1985,8,-0.112049286713065
1985,9,-0.0990406945561331
1985,10,-0.09094585022799
1985,11,-0.0622497410396485
1985,12,-0.0901363379960847
1986,1,-0.0663342854502066
1986,2,-0.0666860835187335
1986,3,-0.0443084467713987
1986,4,-0.0499191552077623
1986,5,-0.0502318449484747
1986,6,-0.0642609371614618
1986,7,0.00622542615960486
1986,8,-0.045637595630161
1986,9,-0.00725843439099548
1986,10,0.0190906608359593
1986,11,0.0716812439273231
1986,12,0.0450490414361645
1987,1,0.0638793202385002
1987,2,0.0844830858635801
1987,3,0.110215126113662
1987,4,0.101660006219092
1987,5,0.0906740148160274
1987,6,0.0676449530123836
1987,7,0.0584183645130047
1987,8,0.0964093757126579
1987,9,0.127562773165432
1987,10,0.110457922215529
1987,11,0.0754270379911424
1987,12,0.0137044111036215
1988,1,-0.00830279118089276
1988,2,0.0287710910729854
1988,3,-0.0100209433162923
1988,4,-0.00741997140356833
1988,5,0.0178151034510352
1988,6,-0.0240150458159437
1988,7,-0.0531676765245602
1988,8,-0.0449022254477079
1988,9,-0.0329730971240125
1988,10,-0.0494032232296903
1988,11,-0.0409541791928467
1988,12,-0.0492363925362077
1989,1,-0.0629867546699658
1989,2,-0.0705749227682252
1989,3,-0.0604107119925223
1989,4,-0.0581953087247626
1989,5,-0.0295865219742054
1989,6,-0.0551151412698453
1989,7,-0.0777236648122082
1989,8,-0.0545891813464031
1989,9,-0.0414141883917678
1989,10,-0.0282024061373369
1989,11,-0.0380157383437928
1989,12,-0.068385733007969
1990,1,-0.0371427022261964
1990,2,-0.0526465600419602
1990,3,-0.0204063380433822
1990,4,0.0159309687281793
1990,5,0.0418429428168513
1990,6,-0.0183316352802191
1990,7,0.0368682695133838
1990,8,0.0684961120172976
1990,9,0.0584194970002767
1990,10,0.0658684487057292
1990,11,0.00208347475508817
1990,12,0.024788966378953
1991,1,0.00309800655863134
1991,2,-0.00201788398676202
1991,3,0.00780726579353134
1991,4,-0.0184900575778918
1991,5,0.0152114514731787
1991,6,0.00791192600187651
1991,7,0.0290882034977891
1991,8,0.0262973700729406
1991,9,0.0256194325304015
1991,10,0.0467562696447187
1991,11,0.0390142167727614
1991,12,0.057405743917355
1992,1,0.0428253764409405
1992,2,0.0497788465787414
1992,3,0.0541440300712487
1992,4,0.0460620509923667
1992,5,0.0282516200396828
1992,6,0.0828640456486992
1992,7,0.13018910684108
1992,8,0.121620497828786
1992,9,0.0771022568172182
1992,10,0.0405650984836273
1992,11,0.0289691848343384
1992,12,0.0229769022979883
1993,1,0.0253979369675692
1993,2,0.00745448140493376
1993,3,0.0332233450477916
1993,4,0.0213227042364621
1993,5,0.0307420780264278
1993,6,0.00845582864414548
1993,7,0.0667424647938842
1993,8,0.0692539298327243
1993,9,0.0749090887933229
1993,10,0.0927185014414497
1993,11,0.0585515582299767
1993,12,0.0517358095904412
1994,1,0.0595051951333986
1994,2,0.0467450465241511
1994,3,0.0328286853319436
1994,4,0.0438825241460395
1994,5,0.0378183573763355
1994,6,0.0248632014005035
1994,7,0.0193693526570979
1994,8,0.0114852636135867
1994,9,-0.0138961573058207
1994,10,-0.0320459719275122
1994,11,-0.0856061781080621
1994,12,-0.0979613994347755
1995,1,-0.0836828598251624
1995,2,-0.0741674798004066
1995,3,-0.108339778701452
