"Year","Month","DiversityCoeff"
1984,1,-0.200139930470323
1984,2,-0.199918005685735
1984,3,-0.176277549970932
1984,4,-0.180472811016799
1984,5,-0.177423889885953
1984,6,-0.181727631357977
1984,7,-0.172640812402168
1984,8,-0.179324866969327
1984,9,-0.176070301156579
1984,10,-0.182379594088977
1984,11,-0.174845053917515
1984,12,-0.117487236731915
1985,1,-0.200963336249487
1985,2,-0.212640084938281
1985,3,-0.211531897622653
1985,4,-0.210363239503619
1985,5,-0.20279365535522
1985,6,-0.213656942762234
1985,7,-0.197987842382896
1985,8,-0.203396359342811
1985,9,-0.185650062082075
1985,10,-0.177009916709118
1985,11,-0.197131056178083
1985,12,-0.218240579249086
1986,1,-0.206225446480037
1986,2,-0.18933534590851
1986,3,-0.158190906776493
1986,4,-0.134366406029962
1986,5,-0.109016236787721
1986,6,-0.101995496148309
1986,7,-0.103258799803574
1986,8,-0.0996961479761522
1986,9,-0.117649309754081
1986,10,-0.112689174773078
1986,11,-0.110120583056796
1986,12,-0.108441897001477
1987,1,-0.0872266489276889
1987,2,-0.103337719289013
1987,3,-0.10313330172306
1987,4,-0.0912572224944938
1987,5,-0.0947163940934952
1987,6,-0.112983650594326
1987,7,-0.113883527889677
1987,8,-0.0966883702292225
1987,9,-0.104769834219727
1987,10,-0.101452326342252
1987,11,-0.106183351293009
1987,12,-0.0937903254118565
1988,1,-0.0966856666052589
1988,2,-0.054111719249719
1988,3,-0.0866126637243411
1988,4,-0.0595527358401277
1988,5,-0.100163864506702
1988,6,-0.119583309479281
1988,7,-0.135771699522087
1988,8,-0.119311034610905
1988,9,-0.138372627842049
1988,10,-0.155627635743407
1988,11,-0.164082411204705
1988,12,-0.177485846295295
1989,1,-0.202873040748412
1989,2,-0.187846640782121
1989,3,-0.200146358720607
1989,4,-0.200917782196307
1989,5,-0.19754353415842
1989,6,-0.193707915122599
1989,7,-0.196859226069856
1989,8,-0.184657128573046
1989,9,-0.192000130984462
1989,10,-0.188310853009158
1989,11,-0.193054042845743
1989,12,-0.194810200893683
1990,1,-0.181063161935758
1990,2,-0.204122658197095
1990,3,-0.192186583069269
1990,4,-0.194175299826127
1990,5,-0.175482968380254
1990,6,-0.185531288319367
1990,7,-0.162134301767444
1990,8,-0.20014562690261
1990,9,-0.191712696764619
1990,10,-0.198463537759231
1990,11,-0.221332367802909
1990,12,-0.229001835455596
1991,1,-0.231111848090473
1991,2,-0.227595014414757
1991,3,-0.218976391532591
1991,4,-0.215834815897055
1991,5,-0.216559381644017
1991,6,-0.20660671568406
1991,7,-0.199067188683697
1991,8,-0.206296071412978
1991,9,-0.192701410711713
1991,10,-0.191371463991887
1991,11,-0.182264974766844
1991,12,-0.177626858569619
1992,1,-0.123022178015177
