"Year","Month","DiversityCoeff"
1984,1,-0.0165724401552719
1984,2,-0.0186598060921229
1984,3,-0.00784029422429412
1984,4,-0.0152406903055649
1984,5,-0.023913900852465
1984,6,-0.00210648126524724
1984,7,0.0250755949224803
1984,8,0.0247826559200839
1984,9,0.0238318828888522
1984,10,0.02242599251356
1984,11,0.0293278192588546
1984,12,0.0228293781043402
1985,1,0.0207996919547786
1985,2,0.0267920933378388
1985,3,0.0223850406548069
1985,4,0.037609814509477
1985,5,0.0442913675268059
1985,6,0.0523896945409874
1985,7,0.0414672382279755
1985,8,0.053342809611017
1985,9,0.0483474337136862
1985,10,0.0580392859423534
1985,11,0.0576085174589782
1985,12,0.0701158335510053
1986,1,0.0550838900657341
1986,2,0.0843132209003021
1986,3,0.0958986995500433
1986,4,0.10158501481692
1986,5,0.0961563182771327
1986,6,0.104788485481312
1986,7,0.0890820939579937
1986,8,0.0852378474996241
1986,9,0.0824002915787963
1986,10,0.0963514369869116
1986,11,0.0833379694273576
1986,12,0.0989007522345629
1987,1,0.0898578964857504
1987,2,0.0988124110285815
1987,3,0.0930217079160602
1987,4,0.104862951584936
1987,5,0.119654369699012
1987,6,0.107212085754676
1987,7,0.123476788220714
1987,8,0.113768601217544
1987,9,0.10178410957444
1987,10,0.0659754592358707
1987,11,0.0619822246021858
1987,12,0.0645975933391365
1988,1,0.0504862325633856
1988,2,0.0410878061865642
1988,3,0.0289046574586198
1988,4,0.0270036416883927
1988,5,0.028936545796402
1988,6,0.0168477998552733
1988,7,0.0331934652995051
1988,8,0.00170126211798623
1988,9,0.000788680282636971
1988,10,0.00144646390475153
1988,11,0.00108630500394465
1988,12,-0.00427462215353105
1989,1,-0.00586187240393227
1989,2,0.00321198121817905
1989,3,-0.0198216663350122
1989,4,-0.0177314622350635
1989,5,-0.0406100860245137
1989,6,-0.0457379279564569
1989,7,-0.0281324378327769
1989,8,-0.0193323446884543
1989,9,-0.0225984075088713
1989,10,-0.0202163109907555
1989,11,-0.0157480091240453
1989,12,-0.0107093059547902
1990,1,-0.00694597862150271
1990,2,0.00164089194895934
1990,3,0.015945151387025
1990,4,0.0387035655390519
1990,5,0.0446302192315961
1990,6,0.0349144814867392
1990,7,0.0213352668094511
1990,8,0.0059333971947615
1990,9,0.00374871532635434
1990,10,-0.000173470076653179
1990,11,0.00263331815242974
1990,12,0.00971666740954019
1991,1,0.0168272352782616
1991,2,0.0136260347481479
1991,3,0.0181593846578041
1991,4,0.018904480242309
1991,5,0.0182633941781463
1991,6,-0.00258819524277596
1991,7,-0.00445260943716556
1991,8,0.00870375387255006
1991,9,0.0227013773476108
1991,10,0.00663349804238087
1991,11,0.0228067376562445
1991,12,0.0305457460187615
1992,1,0.0416220608435664
1992,2,0.0399807423196073
1992,3,0.0336396363742448
1992,4,0.0449570903408177
1992,5,0.050845131394241
1992,6,0.0784409820790511
1992,7,0.0749404785623335
1992,8,0.0734819795312397
1992,9,0.0719882717696093
1992,10,0.0755874183510866
1992,11,0.0743890354249302
1992,12,0.0673951412945858
1993,1,0.07398153332933
1993,2,0.0607752100439671
1993,3,0.0488756456780101
1993,4,0.0355397036305948
1993,5,0.0426067277397507
1993,6,0.0318562445996646
1993,7,0.0285136608822785
1993,8,0.0184270218131456
1993,9,0.0225075794118849
1993,10,0.0206531222537921
1993,11,0.0221025231641693
1993,12,0.0105972445236478
1994,1,0.015658688202374
1994,2,0.0278536603714554
1994,3,0.0250024363662451
1994,4,0.0281189908571845
1994,5,0.0302086780744804
1994,6,0.036710319165214
1994,7,0.0548708703669769
1994,8,0.0484411214130545
1994,9,0.0380922036507806
1994,10,0.0447687316997932
1994,11,0.0582579027386198
1994,12,0.0345542879998113
1995,1,0.0403422855714576
1995,2,0.0408989895039423
1995,3,0.0382274502813804
1995,4,0.0446706497819213
1995,5,0.042473994477033
1995,6,0.0332818296826236
1995,7,0.055290389559215
1995,8,0.0382755037738871
1995,9,0.0410319587358513
1995,10,0.028208274276358
1995,11,0.0121055595698789
1995,12,0.00794025812538059
1996,1,-0.00112781379207225
1996,2,0.000173326043790902
1996,3,0.0051493289126368
1996,4,0.000192480465807122
1996,5,-0.0289417345141369
1996,6,-0.0330099788571482
1996,7,-0.00623433120885176
1996,8,0.0142804071573172
1996,9,0.0168135535361509
1996,10,0.00552805732981284
1996,11,-0.00170245774121227
1996,12,0.00283202712725301
1997,1,0.00266854499422892
1997,2,0.00854272295815278
1997,3,0.00237098906082778
1997,4,0.00880825296263149
1997,5,-0.00123493688014911
1997,6,0.0107714075487269
1997,7,0.0159807434160406
1997,8,0.00736432389971084
