"Year","Month","DiversityCoeff"
1985,1,0.0925005115478922
1985,2,0.0609229169393166
1985,3,0.0997018637716996
1985,4,0.107035664753938
1985,5,0.0981420529454071
1985,6,0.110354903670345
1985,7,0.110599808997409
1985,8,0.10650430016295
1985,9,0.133962896315177
1985,10,0.105788210024874
1985,11,0.149314219983
1985,12,0.142795748965527
1986,1,0.136719988519211
1986,2,0.10274124552342
1986,3,0.124216337583202
1986,4,0.12914732099381
1986,5,0.106863230319809
1986,6,0.119062293795243
1986,7,0.125679768732664
1986,8,0.1506907475422
1986,9,0.146670248162175
1986,10,0.172965152832402
1986,11,0.141717547642748
1986,12,0.150820485859065
1987,1,0.149086521456609
1987,2,0.159387255315577
1987,3,0.157604243720457
1987,4,0.134319654331698
1987,5,0.141490462334899
1987,6,0.134174316028014
1987,7,0.0680713652170897
1987,8,0.116217761669441
1987,9,0.0950090262504779
1987,10,0.0852094778834618
1987,11,0.0852250994256735
1987,12,0.116437347173935
1988,1,0.0800127988321321
1988,2,0.0922112005754072
1988,3,0.0772611846276826
1988,4,0.0686109647331795
1988,5,0.0941021687606036
1988,6,0.0647700032428841
1988,7,0.0430248919495725
1988,8,0.0778638929173807
1988,9,0.0920617793813171
1988,10,0.0679108881179584
1988,11,0.0753188844950478
1988,12,0.0318275680934224
1989,1,0.0264946570309852
1989,2,0.0587775718962825
1989,3,0.0795697310575529
1989,4,0.075168399328252
1989,5,0.0675382193036393
1989,6,0.0840875306261973
1989,7,0.0707684725900473
1989,8,0.0581309255038635
1989,9,0.0537628412687399
1989,10,0.0752211308610694
1989,11,0.0406295673577283
1989,12,0.0576023940929898
1990,1,0.0264009969516048
1990,2,0.0537325697285235
1990,3,0.035833734418079
1990,4,0.0703972057247277
1990,5,0.0732214459517472
1990,6,0.0664597182488462
1990,7,0.0654471538872754
1990,8,0.0724178113789925
1990,9,0.075881985077396
1990,10,0.0739075801863146
1990,11,0.0871830843624625
1990,12,0.0816559513968215
1991,1,0.123437806332153
1991,2,0.12897108775895
1991,3,0.08597616177019
1991,4,0.087606933045029
1991,5,0.111452208033552
1991,6,0.107224966184632
1991,7,0.0710600904939543
1991,8,0.0873133301009482
1991,9,0.0618964330020537
1991,10,0.0559389760153167
1991,11,0.0490653908287435
1991,12,0.060506743853722
1992,1,0.0550396943453721
1992,2,0.0835020697714915
1992,3,0.0926262345560645
1992,4,0.0700642440449734
1992,5,0.0851855239117949
1992,6,0.0670186968768724
1992,7,0.0958472209964477
1992,8,0.0863975625710238
1992,9,0.0538696016753187
1992,10,0.0601651453720208
1992,11,0.0682142285922616
1992,12,0.0683086980922416
1993,1,0.0517072620454648
1993,2,0.0275792260379969
1993,3,0.019474442055023
1993,4,0.0177171309302662
1993,5,0.0244121299400691
1993,6,0.0314525900453574
1993,7,0.0202570654553686
1993,8,0.0320872975170578
1993,9,0.00263692946685395
1993,10,0.0387883164669583
1993,11,0.015292561563008
1993,12,0.0178206582430439
1994,1,0.0269828427487622
1994,2,0.0435698763698833
1994,3,0.0672191508934644
1994,4,0.0761617952065702
1994,5,0.0728927831795555
1994,6,0.113513430817271
1994,7,0.091394730266552
1994,8,0.0948214075367747
1994,9,0.0952566453808423
1994,10,0.109580978390139
1994,11,0.0982721662177348
1994,12,0.12317912852604
1995,1,0.114285990740763
1995,2,0.0998988363303988
1995,3,0.103001555880942
1995,4,0.139767461150934
1995,5,0.12568283534342
1995,6,0.0815820095009127
1995,7,0.0820283564694627
1995,8,0.0556298643005595
1995,9,0.0734152855817909
1995,10,0.0828807633691316
1995,11,0.07448729712015
1995,12,0.0723293381879012
1996,1,0.0685358757961277
1996,2,0.0587181892993182
1996,3,0.0627120486365571
1996,4,0.0532428432806324
1996,5,0.0644002272056571
1996,6,0.0601814885224562
1996,7,0.0697196331763767
1996,8,0.10764758934288
1996,9,0.101259368167551
1996,10,0.117384322275294
1996,11,0.118447424547567
1996,12,0.0947238285422368
1997,1,0.121522737755124
1997,2,0.133654246530793
1997,3,0.107977044321199
1997,4,0.078741041161589
1997,5,0.104284359758472
1997,6,0.0715144231018967
1997,7,0.107065050791909
1997,8,0.122173981110833
1997,9,0.0501242314496409
1997,10,0.0680621320987548
1997,11,0.0499315631605399
1997,12,0.063277256394031
1998,1,0.0616026620802375
1998,2,0.0805647387537384
1998,3,0.0921743211984764
1998,4,0.0811989197706707
