"Year","Month","DiversityCoeff"
1985,1,0.120103813856109
1985,2,0.123702403940654
1985,3,0.141029320136661
1985,4,0.165134325904409
1985,5,0.167214132405134
1985,6,0.155114079289931
1985,7,0.140840045360293
1985,8,0.168830693944525
1985,9,0.177393772522705
1985,10,0.141005607696813
1985,11,0.124720532196087
1985,12,0.163980475270289
1986,1,0.17263294323095
1986,2,0.114194920159124
1986,3,0.115175565650694
1986,4,0.129943963486682
1986,5,0.105883386782206
1986,6,0.132953870558425
1986,7,0.135077685412118
1986,8,0.114149747539362
1986,9,0.158423155107803
1986,10,0.171267872564923
1986,11,0.14482491004583
1986,12,0.141878689191384
1987,1,0.143602465705577
1987,2,0.155613462016382
1987,3,0.153214524426684
1987,4,0.110340720351462
1987,5,0.101653192869092
1987,6,0.140324863495857
1987,7,0.0948319309262168
1987,8,0.0961723502637155
1987,9,0.103256429424796
1987,10,0.0933512873905101
1987,11,0.0864913041321948
1987,12,0.0635535726623409
1988,1,0.0787497585265757
1988,2,0.0994680109947607
1988,3,0.0868861569933842
1988,4,0.0815172983563489
1988,5,0.109665007337008
1988,6,0.108189356711699
1988,7,0.083918522468107
1988,8,0.121186520758262
1988,9,0.115749379628675
1988,10,0.120083946324533
1988,11,0.118982230909436
1988,12,0.0890553995894053
1989,1,0.102972717694495
1989,2,0.116789896165453
1989,3,0.125309333793633
1989,4,0.114288024791907
1989,5,0.112338127963979
1989,6,0.11300483737843
1989,7,0.0986273730875877
1989,8,0.0805238268078449
1989,9,0.0710425357246587
1989,10,0.0993896932122059
1989,11,0.0652021209177185
1989,12,0.0688573721036703
1990,1,0.0562412649705593
1990,2,0.0561673648221402
1990,3,0.0547579232532952
1990,4,0.0743341400563529
1990,5,0.100870471936603
1990,6,0.08346010716768
1990,7,0.104814893345605
1990,8,0.148183423100963
1990,9,0.113648692739766
1990,10,0.13193000657648
1990,11,0.131891674723633
1990,12,0.124731911419177
1991,1,0.132169032564924
1991,2,0.161830864458043
1991,3,0.119718517582471
1991,4,0.139550588727125
1991,5,0.156886754798803
1991,6,0.152292675311316
1991,7,0.11122251298018
1991,8,0.127640728556817
1991,9,0.123475695697908
1991,10,0.0988368334147405
1991,11,0.0899481340755134
1991,12,0.116584347907836
1992,1,0.119187204148865
1992,2,0.141609218881777
1992,3,0.131833886736304
1992,4,0.102731982261147
1992,5,0.11863899289584
1992,6,0.0767265961296622
1992,7,0.132261643682464
1992,8,0.137263296149504
1992,9,0.14916202509651
1992,10,0.137740762459227
1992,11,0.123394028754211
1992,12,0.120025378402104
1993,1,0.117197665361025
1993,2,0.113161139873288
1993,3,0.118452826378836
1993,4,0.152246171071017
1993,5,0.13377535508747
1993,6,0.141742546263998
1993,7,0.134901080155888
1993,8,0.13320374057814
1993,9,0.143699383446307
1993,10,0.152772714158525
1993,11,0.120572283229611
1993,12,0.1217317564165
1994,1,0.111194057746368
1994,2,0.112958190278374
1994,3,0.114252780016733
1994,4,0.10826891295703
1994,5,0.103658130847417
1994,6,0.104978050211733
1994,7,0.138733004819575
1994,8,0.125525125446028
1994,9,0.127776332599932
1994,10,0.133832764836015
1994,11,0.121373949037225
1994,12,0.145634576435782
1995,1,0.122257481933096
1995,2,0.0908892426874997
1995,3,0.0767862267921684
1995,4,0.117518038004306
1995,5,0.104591680608748
1995,6,0.0925382174027856
1995,7,0.0657761206026355
1995,8,0.0601550883221959
1995,9,0.0553802619524619
1995,10,0.0405319828382567
1995,11,0.0349629536722737
1995,12,0.0651911492600701
1996,1,0.0463782152595437
1996,2,0.0052057706646909
1996,3,0.0433464249633419
1996,4,0.0442909992091889
1996,5,0.0615579170642571
1996,6,0.088066247577792
1996,7,0.0816162948712317
1996,8,0.0994762351071244
1996,9,0.0734872570022399
1996,10,0.114332156386907
1996,11,0.124511140523172
1996,12,0.0797163283091638
1997,1,0.0919140679392244
1997,2,0.119733109697261
1997,3,0.0950152831330719
1997,4,0.077876212681315
1997,5,0.105822168286543
1997,6,0.0950794851384945
1997,7,0.115000522775027
1997,8,0.128946224870966
1997,9,0.098942819370224
1997,10,0.106057469334061
1997,11,0.0849290206074059
1997,12,0.0694575107317341
1998,1,0.10297080991996
1998,2,0.111653932296929
1998,3,0.1189180204587
1998,4,0.101957557068889
1998,5,0.125966856633463
1998,6,0.133921569282654
1998,7,0.186948614251886
1998,8,0.165872323131607
1998,9,0.200322715286955
1998,10,0.158575969939283
1998,11,0.177761456857296
1998,12,0.189254208308999
1999,1,0.167952106723367
1999,2,0.15408862402495
1999,3,0.134192401496118
1999,4,0.132378596645754
1999,5,0.0897521254167183
1999,6,0.0655735765419465
1999,7,0.07413020932291
1999,8,0.0339036893332399
1999,9,0.0263062237100632
1999,10,0.0277773737424949
1999,11,0.0450924461414315
1999,12,0.0527594477288919
2000,1,0.0644411860193099
2000,2,0.0399012360897147
2000,3,0.0319159658405098
2000,4,0.0518659320499238
2000,5,0.0503502888883038
2000,6,0.0682467479705012
2000,7,0.0199147492551382
2000,8,0.0196054243777515
2000,9,0.0208701604612184
2000,10,0.0224239984911096
2000,11,0.0140755091831431
2000,12,0.0312931532388126
2001,1,-0.00492146302075349
2001,2,0.0090019300353864
2001,3,0.00466328929127855
2001,4,0.023231314442188
2001,5,0.00527804600046021
2001,6,0.0329785287134754
2001,7,0.00128409047548613
2001,8,0.0164487906998481
2001,9,0.00794955106481698
2001,10,0.00607868849532756
2001,11,0.0197348571588043
2001,12,0.042049437120941
2002,1,0.028280295125861
2002,2,0.0305783083129392
2002,3,0.0206309931433297
2002,4,0.0237574826666353
2002,5,0.00388341346366588
2002,6,0.0300180176440573
2002,7,0.0356595178688416
2002,8,0.0229825471601251
2002,9,0.0166308347431082
2002,10,0.0558843127227251
2002,11,0.0515480771837446
2002,12,0.0478579451491891
2003,1,0.053644599466538
2003,2,0.0371836771131618
2003,3,0.064493948043342
2003,4,0.0527978353641845
2003,5,0.0825233059126823
2003,6,0.0834952732389719
2003,7,0.0829174442830761
2003,8,0.0870415591510499
2003,9,0.0473225499805101
2003,10,0.048061291860309
2003,11,0.050425561301875
2003,12,0.0810936863431325
2004,1,0.062277049611692
2004,2,0.0662284939331351
2004,3,0.086054036433
2004,4,0.0764068420029759
2004,5,0.0541131508740491
