"Year","Month","DiversityCoeff"
1985,1,0.0468432287454065
1985,2,0.0538933982942835
1985,3,0.0542387466548059
1985,4,0.0457906741833043
1985,5,0.0530954481334509
1985,6,0.0594528848884434
1985,7,0.0540991711256272
1985,8,0.0502028353982613
1985,9,0.0387910319769092
1985,10,0.0373872777704915
1985,11,0.0404846769568805
1985,12,0.0366623143496469
1986,1,0.0305528154486074
1986,2,0.0391066886611232
1986,3,0.0263690147483902
1986,4,0.0330897553070712
1986,5,0.0303307378857809
1986,6,0.0215368237026781
1986,7,0.0298462335419892
1986,8,0.0291679521661164
1986,9,0.0116365084396203
1986,10,0.0119318691137928
1986,11,0.0200839357162367
1986,12,0.0225589347407069
1987,1,0.0195417847464098
1987,2,0.0198425062706269
1987,3,0.0288858199391708
1987,4,0.0260009977940976
1987,5,0.0289702791877459
1987,6,0.0316579709133537
1987,7,0.0343145106132373
1987,8,0.0403294004193773
1987,9,0.02397486893174
1987,10,0.02850714691008
1987,11,0.0315966862786711
1987,12,0.0307717763991124
1988,1,0.0260063649007248
1988,2,0.0289417966357549
1988,3,0.0221045253472227
1988,4,0.026161219270429
1988,5,0.0262422862252921
1988,6,0.0235879987891685
1988,7,0.0160298659399689
1988,8,0.0219803025250966
1988,9,0.0223251447221928
1988,10,0.0152538465469341
1988,11,0.0115960750655591
1988,12,0.0206846115822476
1989,1,0.0172807931266378
1989,2,0.0221467671607696
1989,3,0.0313397465592555
1989,4,0.0227148562740247
1989,5,0.0284989946880448
1989,6,0.0198372712591454
1989,7,0.0165785457798424
1989,8,0.00336303755309267
1989,9,0.00338983895655343
1989,10,0.00772163936651458
1989,11,0.0108729673692275
1989,12,0.0164233181272477
1990,1,0.0178449946824417
1990,2,0.0248681516417486
1990,3,0.0391934544804802
1990,4,0.0450383426906648
1990,5,0.0497075861758593
1990,6,0.0478463715663715
1990,7,0.0506673857521487
1990,8,0.0469203409163389
1990,9,0.045134026991697
1990,10,0.0508449269667554
1990,11,0.0512193584291694
1990,12,0.0535226127463998
1991,1,0.0642604295356753
1991,2,0.0612031689603532
1991,3,0.0752739754432508
1991,4,0.0660038430925016
1991,5,0.067264693244195
1991,6,0.0724266550599468
1991,7,0.0683171371856289
1991,8,0.0386863836469114
1991,9,0.0156314120724422
1991,10,0.0200677699339034
1991,11,0.0155580798347901
1991,12,0.018085180611746
1992,1,0.00777884154851698
1992,2,0.0142691492828953
1992,3,0.00250612708477265
1992,4,0.0146107179468795
1992,5,0.013025058393025
1992,6,0.0273527112089061
1992,7,0.0253547078842449
1992,8,0.0235137621911948
1992,9,0.033969665755435
1992,10,0.0256467953420686
1992,11,0.0257391596195576
1992,12,0.0120730291532691
1993,1,0.0138702011675554
1993,2,0.00957111285319844
1993,3,-0.000483509498187601
1993,4,-0.00234614906463095
1993,5,0.00133919131966643
1993,6,-0.00476284150435381
1993,7,0.000970902928112862
1993,8,0.00199720342948807
1993,9,-0.00105439654238356
1993,10,-0.00335663655074583
1993,11,0.00614837320191061
1993,12,0.00447312625310629
1994,1,-0.000128753572813855
1994,2,-0.000167141545400392
1994,3,-0.00574971041792003
1994,4,0.00507223576191518
1994,5,-0.00157079134523943
1994,6,-0.00444130069301344
1994,7,-0.0124204873035948
1994,8,-0.000898183334705156
1994,9,0.0180543583889866
1994,10,0.0373004511734664
1994,11,0.0361130710866102
1994,12,0.0394755839283317
1995,1,0.0362536362294616
1995,2,0.0406745581384669
1995,3,0.0428246328148045
1995,4,0.045894907145859
1995,5,0.0472404562136586
1995,6,0.0374967879823189
1995,7,0.0359225977089766
1995,8,0.0387770043397942
1995,9,0.0300857381341426
1995,10,0.0517846114069226
1995,11,0.0482788096373154
1995,12,0.0455361435405585
1996,1,0.037591603191804
1996,2,0.0457088629152376
1996,3,0.0454372892086505
1996,4,0.0553572084239436
1996,5,0.0529069806643209
1996,6,0.0485484704411445
1996,7,0.0469220367309104
1996,8,0.0488923817551356
1996,9,0.0496764823213594
1996,10,0.0503640921464428
1996,11,0.0630327894251144
1996,12,0.062919151165319
1997,1,0.0623338868854832
1997,2,0.0571759452644801
1997,3,0.062604175790656
1997,4,0.0647432051191062
1997,5,0.058628208207207
1997,6,0.069304518378426
1997,7,0.0677561622515832
1997,8,0.0946554482811821
1997,9,0.109646980551521
1997,10,0.101608722073209
1997,11,0.116028796873108
1997,12,0.116348416901223
1998,1,0.110412760911432
1998,2,0.111220485094051
1998,3,0.115124970265293
1998,4,0.108680536694993
1998,5,0.10198540462217
1998,6,0.112908889449438
1998,7,0.111929371522445
1998,8,0.106007545287448
1998,9,0.104783309066109
1998,10,0.10331217313543
1998,11,0.105459399903402
1998,12,0.102234997220913
1999,1,0.103630612867713
1999,2,0.101380736122709
1999,3,0.0910522856119277
1999,4,0.0861938349403236
1999,5,0.0845251532848957
1999,6,0.0867163378397826
1999,7,0.0924041351642446
1999,8,0.0728769133180741
1999,9,0.0720832535643003
1999,10,0.0800320357582352
1999,11,0.0789471870440012
1999,12,0.0790851240066867
2000,1,0.0850970316357256
2000,2,0.0729240370084063
2000,3,0.0657233697363125
2000,4,0.0775897569961875
2000,5,0.0804773841911061
2000,6,0.0702168003873135
2000,7,0.0527836172673303
2000,8,0.0406428178774821
2000,9,0.0219662598936531
2000,10,0.0353837376088178
2000,11,0.0330187677422908
2000,12,0.0436941844056739
2001,1,0.0329800571836667
2001,2,0.0315495738887415
2001,3,0.0295375715327135
2001,4,0.0405808371013475
2001,5,0.0378499395316709
2001,6,0.0346324640825672
2001,7,0.0348091047148376
2001,8,0.0421779990225773
2001,9,0.0392097917796074
2001,10,0.0451548938562613
