"Year","Month","DiversityCoeff"
1985,1,0.160032155416062
1985,2,0.159590014433024
1985,3,0.153119164906351
1985,4,0.155613125398638
1985,5,0.161995425238513
1985,6,0.161923023294702
1985,7,0.160041828095971
1985,8,0.153193406350952
1985,9,0.153233721675918
1985,10,0.152230208368306
1985,11,0.147548559520129
1985,12,0.140775768621283
1986,1,0.138511635785178
1986,2,0.138393414332643
1986,3,0.139276739552531
1986,4,0.144177584222059
1986,5,0.147024997406415
1986,6,0.143090613441511
1986,7,0.135351999121807
1986,8,0.137324732850329
1986,9,0.130132782083673
1986,10,0.12447321764668
1986,11,0.126687014338911
1986,12,0.129818169219768
1987,1,0.13425868632348
1987,2,0.13328651832864
1987,3,0.136548831302539
1987,4,0.130371347963111
1987,5,0.134624754488943
1987,6,0.129963534423612
1987,7,0.139374822029494
1987,8,0.145129189651607
1987,9,0.145445928644742
1987,10,0.146061416390286
1987,11,0.146716652368821
1987,12,0.145499592218365
1988,1,0.135882096405222
1988,2,0.139177383602651
1988,3,0.139639039069079
1988,4,0.139295952322805
1988,5,0.132604674740766
1988,6,0.122405563407046
1988,7,0.123149675717246
1988,8,0.119792682722914
1988,9,0.11455015735131
1988,10,0.108901715343482
1988,11,0.113629366227761
1988,12,0.118552061381066
1989,1,0.11335741784713
1989,2,0.11585906265222
1989,3,0.118967420875521
1989,4,0.122895242295933
1989,5,0.121853076218333
1989,6,0.114151971612255
1989,7,0.116517451078071
1989,8,0.112336945163519
1989,9,0.110490604945242
1989,10,0.107100452998066
1989,11,0.105259983250189
1989,12,0.102491963020357
1990,1,0.106566540350711
1990,2,0.106787504625418
1990,3,0.122828353648591
1990,4,0.123146519407543
1990,5,0.126811406043294
1990,6,0.125864631825847
1990,7,0.128780732311897
1990,8,0.128381618473807
1990,9,0.129824077391404
1990,10,0.123927221719202
1990,11,0.13051371905416
1990,12,0.125452559090246
1991,1,0.137848789982795
1991,2,0.143452590793146
1991,3,0.139126477337048
1991,4,0.134310982280745
1991,5,0.133846437691697
1991,6,0.127042834826391
1991,7,0.125905962908126
1991,8,0.114604385900188
1991,9,0.096676138777029
1991,10,0.0975673038328747
1991,11,0.0975134802305138
1991,12,0.10416025752559
1992,1,0.0979435879656943
1992,2,0.098455943910445
1992,3,0.0886265146470047
1992,4,0.0965120413202749
1992,5,0.0933159134801072
1992,6,0.0911796248653837
1992,7,0.0871842445628187
1992,8,0.0858108639832909
1992,9,0.081475499483507
1992,10,0.0894001522863277
1992,11,0.0880271249292797
1992,12,0.0798252819550891
1993,1,0.0783719015823207
1993,2,0.0818412037399263
1993,3,0.0822090185802394
1993,4,0.0728931511078673
1993,5,0.0821114342134506
1993,6,0.0782281432856557
1993,7,0.076742361821114
1993,8,0.0757126255715657
1993,9,0.0723367489321465
1993,10,0.0730950628453472
1993,11,0.0864295216603805
1993,12,0.084544325580385
1994,1,0.0864541903563876
1994,2,0.0883720449701548
1994,3,0.0949823489393235
1994,4,0.0984881952717141
1994,5,0.0971601162940858
1994,6,0.0920155673255153
1994,7,0.0911098151809455
1994,8,0.0999066126985227
1994,9,0.119512550225779
1994,10,0.138369264157439
1994,11,0.12812399696244
1994,12,0.146061476772848
1995,1,0.14887394777344
1995,2,0.148454384490099
1995,3,0.151877253450278
1995,4,0.149552864439777
1995,5,0.150148885305009
1995,6,0.153833173860945
1995,7,0.147842336868882
1995,8,0.147596090896147
1995,9,0.148390199672821
1995,10,0.15022745261889
1995,11,0.150664657752346
1995,12,0.148944875161448
1996,1,0.153929711763031
1996,2,0.153961523337357
1996,3,0.15846703546753
1996,4,0.160158789140412
1996,5,0.15565154391734
1996,6,0.153414935665643
1996,7,0.151321359597698
1996,8,0.153600041010025
1996,9,0.156575253619949
1996,10,0.15421255937751
1996,11,0.160420944673585
1996,12,0.169031614008543
1997,1,0.170791304813837
1997,2,0.170470886057834
1997,3,0.165433376368557
1997,4,0.16211695789906
1997,5,0.164071820621066
1997,6,0.169723759409331
1997,7,0.178740952777664
1997,8,0.18922977045799
1997,9,0.185179639434467
1997,10,0.173943230989079
1997,11,0.188429468314424
1997,12,0.197780483148484
1998,1,0.200761067108103
1998,2,0.199687659541953
1998,3,0.194761071454119
1998,4,0.192063253006045
1998,5,0.191590686380528
1998,6,0.191190006279797
1998,7,0.190602849556483
1998,8,0.186478560329926
1998,9,0.184401554691876
1998,10,0.180963719654869
1998,11,0.18179311409747
1998,12,0.186082589629852
1999,1,0.18871998101457
1999,2,0.186903837795517
1999,3,0.185935589725474
1999,4,0.182605803854002
1999,5,0.186518811888331
1999,6,0.184900049156256
1999,7,0.186698991030079
1999,8,0.180575725309793
1999,9,0.184132019636658
1999,10,0.178340591613263
1999,11,0.182798607681776
1999,12,0.18042864123665
2000,1,0.184934643009917
2000,2,0.185427321970255
2000,3,0.185230264076726
2000,4,0.184364108465245
2000,5,0.193151799374906
2000,6,0.187237660943279
2000,7,0.177464827550265
2000,8,0.161403463076121
2000,9,0.15740667200316
2000,10,0.171298616939731
2000,11,0.170429866412405
2000,12,0.167444530635515
2001,1,0.166612443710369
2001,2,0.159185750038335
2001,3,0.159460261768794
2001,4,0.161659746218923
2001,5,0.163065799284211
2001,6,0.168411582511259
2001,7,0.168721608407272
2001,8,0.17419789413109
2001,9,0.17756889332736
2001,10,0.182412325794841
2001,11,0.188207892551878
2001,12,0.177367761571598
2002,1,0.174830460919179
2002,2,0.178700017769663
2002,3,0.175398310700599
2002,4,0.174101856022865
2002,5,0.167408025076857
2002,6,0.173285490558481
2002,7,0.173283172724272
2002,8,0.172018572939025
2002,9,0.170944369840961
2002,10,0.170543095224131
2002,11,0.167186835280979
2002,12,0.167805377548587
2003,1,0.155843978206398
2003,2,0.137494089912977
2003,3,0.128880006466749
2003,4,0.126069145332852
2003,5,0.107473918032702
2003,6,0.116123913806067
2003,7,0.11631907180959
2003,8,0.116687124309841
2003,9,0.117702857946619
2003,10,0.114380965355448
2003,11,0.133843395400075
2003,12,0.125963387362384
2004,1,0.124875389177221
2004,2,0.119959449908521
2004,3,0.119051401718427
2004,4,0.111118673400937
2004,5,0.119623460817378
2004,6,0.119590936869241
2004,7,0.119849973805971
2004,8,0.117643079900592
2004,9,0.132481915428271
2004,10,0.13985308213047
2004,11,0.133840542393675
2004,12,0.150057069571062
2005,1,0.152846885661545
2005,2,0.148868693923158
2005,3,0.149429766913286
2005,4,0.152439644370473
2005,5,0.151974755914665
2005,6,0.15658890109328
2005,7,0.159422813449001
2005,8,0.165783614024598
2005,9,0.168038731939426
2005,10,0.167131513193063
2005,11,0.171740734737554
2005,12,0.18242152518495
2006,1,0.187952686766023
2006,2,0.195140530689282
2006,3,0.205367804641425
2006,4,0.191239821708664
2006,5,0.189352660322429
2006,6,0.189457578278791
2006,7,0.198411571534771
