"Year","Month","DiversityCoeff"
1985,1,0.115097476361041
1985,2,0.118793778997125
1985,3,0.118959171820548
1985,4,0.119724182384357
1985,5,0.125980435627357
1985,6,0.117360580998506
1985,7,0.11777163159816
1985,8,0.111050376000285
1985,9,0.0953931861919405
1985,10,0.0980717253757211
1985,11,0.0756894132899516
1985,12,0.0812588566825179
1986,1,0.101125364759406
1986,2,0.0794711852149914
1986,3,0.0833351936579658
1986,4,0.0899499404386673
1986,5,0.0977892700950701
1986,6,0.10926166898798
1986,7,0.105405778307053
1986,8,0.0937127034066535
1986,9,0.121489451103352
1986,10,0.100900447325748
1986,11,0.0891679025236861
1986,12,0.0937085247013164
1987,1,0.0969313175182092
1987,2,0.124452206415883
1987,3,0.0911646766484779
1987,4,0.081123279095721
1987,5,0.0823473947500226
1987,6,0.0626022399710987
1987,7,0.0602133851858726
1987,8,0.0643247763205418
1987,9,0.0475040471322128
1987,10,0.0535120835465104
1987,11,0.0509923201880522
1987,12,0.0740868189694441
1988,1,0.04390597926392
1988,2,0.0566151003425932
1988,3,0.0640115576575764
1988,4,0.025523049196393
1988,5,0.0304567172291051
1988,6,0.032793462543399
1988,7,0.0552089711898062
1988,8,0.0272473072061494
1988,9,0.0335024912771139
1988,10,0.0227651579535501
1988,11,0.052907528192917
1988,12,0.0645876478523826
1989,1,0.0431438586074137
1989,2,0.0551666200030661
1989,3,0.0653648335399263
1989,4,0.0719341068044698
1989,5,0.0628455799521347
1989,6,0.0693623718892863
1989,7,0.0491088711058254
1989,8,0.0644037787112096
1989,9,0.0483608109488334
1989,10,0.0313834961222186
1989,11,0.0435486031421621
1989,12,0.0525945962368431
1990,1,0.0538818792417014
1990,2,0.0628336924820875
1990,3,0.0308422820529533
1990,4,0.0521568699005269
1990,5,0.0668877863296221
1990,6,0.0403761556918942
1990,7,0.048217881407967
1990,8,0.037508702847413
1990,9,0.0453739162918952
1990,10,0.0614917150354282
1990,11,0.0557616685042445
1990,12,0.054555226784947
1991,1,0.0642845253285921
1991,2,0.0533465606043741
1991,3,0.0566163297499154
1991,4,0.0568315223219722
1991,5,0.0490941999005126
1991,6,0.0349379775207022
1991,7,0.0387208898895766
1991,8,0.0186356012762127
1991,9,-0.0582365513321127
1991,10,-0.0850900189361732
1991,11,-0.0876894561921951
1991,12,-0.11507369801618
1992,1,-0.121570738586997
1992,2,-0.108872926585109
1992,3,-0.102621512602699
1992,4,-0.0985589725774086
1992,5,-0.0970905632762195
1992,6,-0.0938949785939331
1992,7,-0.0917444678184756
1992,8,-0.0789771694254337
1992,9,-0.0517687012218471
1992,10,-0.0716519722246357
1992,11,-0.0667155017880508
1992,12,-0.0649505015497329
1993,1,-0.075051660293655
1993,2,-0.0692276551523042
1993,3,-0.0626651531421097
1993,4,-0.0369814924321368
1993,5,-0.0451572099555764
1993,6,-0.0557616677183388
1993,7,-0.0513187661910671
1993,8,-0.046558796827663
1993,9,-0.0544380652337196
1993,10,-0.041490459483024
1993,11,-0.04061450872207
1993,12,-0.033458919381189
1994,1,-0.0282843502180142
1994,2,-0.03302763629749
1994,3,-0.0432161684379296
1994,4,-0.029461481400381
1994,5,-0.0313106664716874
1994,6,-0.0446448799055706
1994,7,-0.0469412453583312
1994,8,-0.0382825106143462
1994,9,-0.00666437099920855
1994,10,-0.00507780668169017
1994,11,-0.00678371433685084
1994,12,0.00356417394914382
1995,1,0.000999331914837468
1995,2,-0.0131674043003931
1995,3,-0.0102859637113809
1995,4,-0.00244040319211384
1995,5,0.000847892854740674
1995,6,-0.0217454642658338
1995,7,-0.0175451645420228
1995,8,-0.0316854596092709
1995,9,-0.0490682789219696
1995,10,-0.0225232116787149
1995,11,-0.0213278788129892
1995,12,-0.00635366215137486
1996,1,-0.00876862948371398
1996,2,-0.0263344308515601
1996,3,-0.0127589864269635
1996,4,-0.0136867461297919
1996,5,-0.0421961100595931
1996,6,-0.0328224413831758
1996,7,-0.0387202879002483
1996,8,-0.0393115935126154
1996,9,-0.0319513120085059
1996,10,-0.0401714252449744
1996,11,-0.0291708704683275
1996,12,-0.0313891361354515
1997,1,-0.0442829555471055
1997,2,-0.0248762875969637
1997,3,-0.0105515384924822
1997,4,0.0045014236727864
1997,5,-0.0103545631396008
1997,6,0.0410840849412933
1997,7,0.0303411835903352
1997,8,0.0723768278206206
1997,9,0.082209045098425
1997,10,0.0565882613194144
1997,11,0.0474003254770205
1997,12,0.0332951569235288
1998,1,0.0419116546117126
1998,2,0.0272551614567678
1998,3,0.0103093041749623
1998,4,0.006438955003131
1998,5,0.0261599281578287
1998,6,0.0123824739366771
1998,7,0.0256603148567463
1998,8,0.0282588606362381
1998,9,0.0292022083182132
1998,10,0.0118879058866721
1998,11,0.0407912215136519
1998,12,0.038485509246158
1999,1,0.0460361516382892
1999,2,0.038530773008505
1999,3,0.0472784460678145
1999,4,0.0507132095228014
1999,5,0.0407815624849222
1999,6,0.0407554973461878
1999,7,0.0521956458902383
1999,8,0.0387040046298896
1999,9,0.0354598504051592
1999,10,0.0401584683291873
1999,11,0.0597287717202015
1999,12,0.0236011235740322
2000,1,0.0395814772449797
2000,2,0.0350897693580957
2000,3,0.0290156358700631
2000,4,0.0257118213645362
2000,5,0.0244414367733438
2000,6,0.00538011425303727
2000,7,0.00142206856919964
2000,8,-0.0242662547037842
2000,9,-0.052088050605276
2000,10,-0.0114388210330244
2000,11,-0.0108258296157406
