"Year","Month","DiversityCoeff"
1991,1,0.0557234209019193
1991,2,0.08324364845987
1991,3,0.102818850097922
1991,4,0.107464351956215
1991,5,0.114064852800604
1991,6,0.120767046972377
1991,7,0.128659136517398
1991,8,0.117586861685816
1991,9,0.0978267033831204
1991,10,0.103750974484339
1991,11,0.0873250732207288
1991,12,0.0632556586194386
1992,1,0.0482460872093083
1992,2,0.0630155334017952
1992,3,0.0800290596938051
1992,4,0.0541742726309156
1992,5,0.0352045016300752
1992,6,0.0112426144674512
1992,7,-0.0130676264456344
1992,8,-0.0186709618896533
1992,9,0.000927851548488709
1992,10,-0.0291713837675574
1992,11,-0.0113130173951349
1992,12,-0.0146161249920003
1993,1,-0.00890343267926135
1993,2,-0.0151399366062788
1993,3,-0.00926249945054116
1993,4,-0.00353729280628829
1993,5,-0.0196601265280606
1993,6,-0.0114719781541392
1993,7,-0.00669937351743439
1993,8,-0.00612828271567563
1993,9,0.0306566488108094
1993,10,0.032953134729596
1993,11,0.0316022558814263
1993,12,0.00808393353333318
1994,1,-0.00114019756723448
1994,2,0.00917858124725392
1994,3,-0.0103132231396296
1994,4,0.00553940413151518
1994,5,0.0269470568573032
1994,6,0.0345299446785642
1994,7,0.0297480825680022
1994,8,0.0300719498345161
1994,9,0.0421862456528808
1994,10,0.0229625887439842
1994,11,0.0343072434354826
1994,12,0.0363396323152777
1995,1,0.0676145938727323
1995,2,0.0451446582624161
1995,3,0.07803242729526
1995,4,0.0760207961605461
1995,5,0.0946943283638549
1995,6,0.132793177546476
1995,7,0.149212848416656
1995,8,0.12914751742924
1995,9,0.120326962384977
1995,10,0.103937778950593
1995,11,0.100796448575271
1995,12,0.0737936386926269
1996,1,0.0507016557739928
1996,2,0.090498970638953
1996,3,0.0960999675467469
1996,4,0.0849657612422738
1996,5,0.0889475165631802
1996,6,0.0688955123592419
1996,7,0.0817169294836956
1996,8,0.0699843226290021
1996,9,0.0745700653279443
1996,10,0.0720383818761685
1996,11,0.0655433834310067
1996,12,0.0617299680427966
1997,1,0.0425631372806152
1997,2,0.0237585722281286
1997,3,0.0158781144318405
1997,4,0.0243218901432412
1997,5,0.0406524334142382
1997,6,0.0413719574084602
1997,7,0.0222588313737171
1997,8,0.0126443459155642
1997,9,-0.00381322430178889
1997,10,-0.0211304401709669
1997,11,-0.0217632161671213
1997,12,0.0165453380764901
1998,1,0.0207569125899422
1998,2,0.0362069177298156
1998,3,0.0350077994397485
1998,4,0.0866850802616449
1998,5,0.0787465398618174
1998,6,0.0703045740341771
1998,7,0.0776567779756713
1998,8,0.100709927508096
1998,9,0.0812268495008772
1998,10,0.0821460298496491
1998,11,0.0860653121746167
1998,12,0.104357520690368
1999,1,0.115269191401427
1999,2,0.12631179854862
1999,3,0.143129818521961
1999,4,0.146071130353992
1999,5,0.140812939157609
1999,6,0.142330676360817
1999,7,0.142257728537899
1999,8,0.153111246915682
1999,9,0.162748417313898
1999,10,0.152590443488782
1999,11,0.145724243712932
1999,12,0.170918467654797
2000,1,0.178420745042928
2000,2,0.195482591425482
2000,3,0.213086763517646
2000,4,0.232010673534176
2000,5,0.232651728487721
2000,6,0.242596333187302
2000,7,0.244972292222493
2000,8,0.245750730097389
2000,9,0.244799146898639
2000,10,0.23918865649946
2000,11,0.229399205214216
2000,12,0.227717374325215
