"Year","Month","DiversityCoeff"
1991,1,0.116399112872975
1991,2,0.123555994457171
1991,3,0.129741515591175
1991,4,0.135933545452073
1991,5,0.155757183135718
1991,6,0.16314568520959
1991,7,0.175630187741368
1991,8,0.171749632705478
1991,9,0.161178890029145
1991,10,0.173768742288722
1991,11,0.186379663675484
1991,12,0.17149086202623
1992,1,0.135263176307207
1992,2,0.128129725519764
1992,3,0.131360552406033
1992,4,0.110689870955656
1992,5,0.0951698439253953
1992,6,0.0747672938951696
1992,7,0.0558975311241683
1992,8,0.0392741452483228
1992,9,0.0581037450490713
1992,10,0.03881269830577
1992,11,0.0496081745011576
1992,12,0.0592854265244373
1993,1,0.0353156285560465
1993,2,0.0323941063902287
1993,3,0.0163437314557323
1993,4,0.0167805590230019
1993,5,-0.000652378848715428
1993,6,0.0202652613490673
1993,7,0.0420622748120347
1993,8,0.0341836784309822
1993,9,0.0653165950967114
1993,10,0.0528924330148507
1993,11,0.0427048211681249
1993,12,0.0165654288762699
1994,1,0.0172284171946274
1994,2,0.0322697612357539
1994,3,0.0420283443646126
1994,4,0.0442606793766244
1994,5,0.0657099234718889
1994,6,0.0750170813770835
1994,7,0.105254824572308
1994,8,0.0996652202261088
1994,9,0.138133437148667
1994,10,0.182939995335015
1994,11,0.201069124334243
1994,12,0.215163187605256
1995,1,0.197838579567337
1995,2,0.196956431782825
1995,3,0.223488303494409
1995,4,0.223271979538515
1995,5,0.236284241773243
1995,6,0.238610233556024
1995,7,0.22838041239563
1995,8,0.205502832879857
1995,9,0.193955955033305
1995,10,0.189664159083697
1995,11,0.170250491158648
1995,12,0.157896142091942
1996,1,0.15034992688356
1996,2,0.165227683721166
1996,3,0.163459399321488
1996,4,0.155394619151659
1996,5,0.164823338279654
1996,6,0.142971697530852
1996,7,0.13585737272314
1996,8,0.122406282429152
1996,9,0.108625983726991
1996,10,0.107238809776913
1996,11,0.124889811901145
1996,12,0.121932132056803
1997,1,0.0960636251176385
1997,2,0.0850963241047453
1997,3,0.0781227585383578
1997,4,0.0859210199767464
1997,5,0.0850466163975068
1997,6,0.0732683028930322
1997,7,0.0645839146597352
1997,8,0.0566512231037478
1997,9,0.0590611425147804
1997,10,0.0526639770963883
1997,11,0.0328424349696518
1997,12,0.0427706932249473
1998,1,0.0559472808641318
1998,2,0.089908768327967
1998,3,0.0992516178498404
1998,4,0.134808751084172
1998,5,0.112641160599251
1998,6,0.119491309205553
