"Year","Month","DiversityCoeff"
1991,1,0.0988224496149728
1991,2,0.066605383110603
1991,3,0.0705375635787617
1991,4,0.0475167469320265
1991,5,0.0631430709279333
1991,6,0.0789470601186789
1991,7,0.100900079678467
1991,8,0.0823277627747676
1991,9,0.0745931167984349
1991,10,0.0814380450974563
1991,11,0.0951131126491801
1991,12,0.0874442500000322
1992,1,0.0376659477085185
1992,2,0.0380785523572231
1992,3,0.0131794017029983
1992,4,0.00782450476126289
1992,5,-0.000212919754752145
1992,6,-0.0268277621269147
1992,7,-0.0399908112416784
1992,8,-0.0528959590726492
1992,9,0.00281103827674775
1992,10,-0.00114602617886226
1992,11,0.0339365843209818
1992,12,0.0408775084318323
1993,1,0.0400469867857008
1993,2,0.0572773570567833
1993,3,0.0322513205246419
1993,4,0.0251181280261513
1993,5,0.00432610134095234
1993,6,0.0261380890945352
1993,7,0.0284745350099945
1993,8,0.0330954436136959
1993,9,0.0526930836755659
1993,10,0.0438696299455758
1993,11,0.0545497488418952
1993,12,0.0587721885282271
1994,1,0.0561911585231079
1994,2,0.0810003906213686
1994,3,0.0893652067700699
1994,4,0.109837889076493
1994,5,0.140128147236437
1994,6,0.147226028525556
1994,7,0.192773856454309
1994,8,0.210878061800695
1994,9,0.223734725866778
1994,10,0.243627759245358
1994,11,0.279206505702615
1994,12,0.245645003073478
1995,1,0.246169475768571
1995,2,0.265763255041766
1995,3,0.288641366703636
1995,4,0.276041483078182
1995,5,0.260319783341945
1995,6,0.261508241305824
1995,7,0.25111828930004
1995,8,0.237700996488705
1995,9,0.214711200454576
1995,10,0.180782217937405
1995,11,0.14809553202344
1995,12,0.140700950632849
1996,1,0.154001228936341
1996,2,0.14570655148269
1996,3,0.111188907304113
1996,4,0.105474883903854
1996,5,0.101211181577133
1996,6,0.107345477542295
1996,7,0.0978161643641253
1996,8,0.0929452231966673
1996,9,0.0951506038831564
1996,10,0.0846008388487726
1996,11,0.0833574168115462
1996,12,0.0855166905643712
1997,1,0.0784471102942811
1997,2,0.0483212266284041
1997,3,0.0498312296822288
1997,4,0.0507956266610581
1997,5,0.0446942576255942
1997,6,0.0405009217387063
1997,7,0.0381055274954502
1997,8,0.0417009570289408
1997,9,0.0391520330985705
1997,10,0.0250939032163219
1997,11,0.0373752822506364
1997,12,0.0501521266663213
1998,1,0.0680519069142435
1998,2,0.0879068003606263
1998,3,0.109867986587501
1998,4,0.143906063558414
1998,5,0.160502216169654
1998,6,0.141844378528738
1998,7,0.143541939225882
1998,8,0.139496850562564
1998,9,0.133763059026728
1998,10,0.141611156270309
1998,11,0.167228239696179
1998,12,0.16604206758923
1999,1,0.166885580256755
1999,2,0.145443095598344
1999,3,0.14226542523848
1999,4,0.128042187266819
1999,5,0.151668060935706
1999,6,0.145741051397582
1999,7,0.134298047446334
1999,8,0.138174999124854
1999,9,0.144421505457135
1999,10,0.147856128313226
1999,11,0.14516009896371
1999,12,0.13550987841327
2000,1,0.147012581896228
2000,2,0.160697832244262
2000,3,0.146835801981103
2000,4,0.154698032695828
2000,5,0.16053730439517
2000,6,0.17609972407089
2000,7,0.172559786272796
2000,8,0.170546549260148
2000,9,0.174474969351002
2000,10,0.201099699164048
2000,11,0.185674609063787
2000,12,0.187376076252291
2001,1,0.19798161312051
2001,2,0.218853628859244
2001,3,0.226508570032137
2001,4,0.254831743304967
2001,5,0.251041110135204
2001,6,0.261905421851726
2001,7,0.254382084947511
2001,8,0.255796672198389
2001,9,0.248298227167192
2001,10,0.251293082434834
2001,11,0.249579682528902
2001,12,0.238988297972451
2002,1,0.248593899409329
2002,2,0.23797845100739
2002,3,0.243445045094969
2002,4,0.253982539405508
2002,5,0.247837743915744
2002,6,0.256109780147732
2002,7,0.269353617290756
2002,8,0.257220353108157
2002,9,0.26053782297502
2002,10,0.273014454391737
2002,11,0.264577097843233
2002,12,0.247855795335555
2003,1,0.2189875869208
2003,2,0.220166691662593
2003,3,0.18839200012669
2003,4,0.188030265626879
2003,5,0.171742310015937
2003,6,0.166648292919592
2003,7,0.1673981320769
2003,8,0.174039738729112
2003,9,0.183963054666394
2003,10,0.173906950142179
2003,11,0.178138605650011
2003,12,0.168554843841306
2004,1,0.147643296575715
2004,2,0.153973651238601
2004,3,0.148824851263316
2004,4,0.134323431527949
2004,5,0.124905329847897
2004,6,0.113259501126127
2004,7,0.112096540506272
2004,8,0.100921597574702
2004,9,0.108737804353877
2004,10,0.0941209663288954
