"Year","Month","DiversityCoeff"
1985,1,-0.118729545206137
1985,2,-0.108311416180798
1985,3,-0.111064206932762
1985,4,-0.107707239416699
1985,5,-0.105568057364792
1985,6,-0.0893358070877981
1985,7,-0.0897966057075893
1985,8,-0.0874241314881906
1985,9,-0.0981496921523668
1985,10,-0.0954550754156363
1985,11,-0.0772047129046067
1985,12,-0.07807923380294
1986,1,-0.0694502813827991
1986,2,-0.0942489211674061
1986,3,-0.0821771855715546
1986,4,-0.0296831966186667
1986,5,-0.0037897614770865
1986,6,-0.00739948647868857
1986,7,-0.0293455720577628
1986,8,-0.000403126122394111
1986,9,-0.00455923128103765
1986,10,-0.0108910189428972
1986,11,-0.0230199736277316
1986,12,-0.0288903501494345
1987,1,0.0010378156193567
1987,2,-0.0695636869736117
1987,3,-0.058257641023797
1987,4,-0.0652565310416256
1987,5,-0.0572369302220499
1987,6,-0.0676504714937773
1987,7,-0.0543499133272155
1987,8,-0.0573790467906836
1987,9,-0.0790220348089551
1987,10,-0.0877156716072191
1987,11,-0.08802780947787
1987,12,-0.0736691541514931
1988,1,-0.0846292528034455
1988,2,-0.0912602218691688
1988,3,-0.0719457440337458
1988,4,-0.0769193585707168
1988,5,-0.0699517257933385
1988,6,-0.0688951755897983
1988,7,-0.063947060990154
1988,8,-0.0864346063422504
1988,9,-0.0959120080717155
1988,10,-0.100928039005385
1988,11,-0.0935640860291405
1988,12,-0.100001923820715
1989,1,-0.119485744369513
1989,2,-0.113644043744528
1989,3,-0.143895484504292
1989,4,-0.157099852145661
1989,5,-0.146524726928252
1989,6,-0.158506298755873
1989,7,-0.149161878190066
1989,8,-0.162719284761002
1989,9,-0.163448250954106
1989,10,-0.163256572279457
1989,11,-0.165206134526613
1989,12,-0.156285206957969
1990,1,-0.146601651608203
1990,2,-0.0957253428343073
1990,3,-0.106513142137588
1990,4,-0.115307646185855
1990,5,-0.111046113409129
1990,6,-0.0655100736119368
1990,7,-0.0576982865179677
1990,8,-0.0639174608272446
1990,9,-0.0519450856424568
1990,10,-0.0378066566400764
1990,11,-0.0238712374049243
1990,12,-0.0309800640624202
1991,1,-0.0225968884190148
1991,2,-0.00795697124186529
1991,3,-0.0214335015758838
1991,4,0.0187573841087687
1991,5,0.0279358153351091
1991,6,0.0236329447104762
1991,7,0.021975440488344
1991,8,0.0588700142771525
1991,9,0.0697249010903343
1991,10,0.0590105710744619
1991,11,0.0409585121025889
1991,12,0.0351386172333884
1992,1,0.035380418750448
1992,2,-0.00848345332597875
1992,3,0.0110971173247703
1992,4,0.0350725372038165
1992,5,0.0420037438263926
1992,6,0.0277770850180177
1992,7,0.0259930806066455
1992,8,0.0221003267259658
1992,9,0.0208571907283743
1992,10,0.0194067776171646
1992,11,-0.0199228252836765
1992,12,-0.0203132482982127
