"Year","Month","DiversityCoeff"
1985,1,0.0657203729034127
1985,2,0.0677447643572003
1985,3,0.0617528656757203
1985,4,0.0554776656046376
1985,5,0.0690705342902672
1985,6,0.0528891034228156
1985,7,0.0325392874083407
1985,8,0.0445312006779573
1985,9,0.0553854693954029
1985,10,0.0665621244933302
1985,11,0.068681843011583
1985,12,0.0748690222070757
1986,1,0.0872864256387559
1986,2,0.075234808806511
1986,3,0.0904218031894694
1986,4,0.11751989510573
1986,5,0.128325517380767
1986,6,0.112338213600532
1986,7,0.107277605112483
1986,8,0.144580249450257
1986,9,0.147848985646943
1986,10,0.139617471062743
1986,11,0.100596809646881
1986,12,0.110614236934701
1987,1,0.135671784704412
1987,2,0.0725012521305723
1987,3,0.0772245562978079
1987,4,0.0704112481303968
1987,5,0.0573951982222369
1987,6,0.0650131017529555
1987,7,0.0888584959061164
1987,8,0.0685214376623808
1987,9,0.0540725640854448
1987,10,0.0432612325464064
1987,11,0.0495558709688812
1987,12,0.0557523325925192
1988,1,0.037765028410883
1988,2,0.0567386379351013
1988,3,0.0904292738798835
1988,4,0.083139584390181
1988,5,0.072410142965958
1988,6,0.0698823767596269
1988,7,0.0742499847722058
1988,8,0.0755628499661831
1988,9,0.0945244437082491
1988,10,0.0922538197803651
1988,11,0.0981878295982291
1988,12,0.10272127678879
1989,1,0.0736143035330339
1989,2,0.0908620260152303
1989,3,0.0672659215063787
1989,4,0.0589721267177185
1989,5,0.0584222845142486
1989,6,0.0515530316630781
1989,7,0.0745664659933383
1989,8,0.0628825295709702
1989,9,0.0604686377600051
1989,10,0.0679345895156632
1989,11,0.0806446528391556
1989,12,0.084739948139852
1990,1,0.0973863336862156
1990,2,0.135583929751887
1990,3,0.120864354275738
1990,4,0.111283669687326
1990,5,0.119993866059464
1990,6,0.1212714496869
1990,7,0.114495922161861
1990,8,0.113611050398991
1990,9,0.130263474411337
1990,10,0.146318829191761
1990,11,0.128980050797734
1990,12,0.119462576804709
1991,1,0.118829802140509
1991,2,0.124427258064786
1991,3,0.106107536461774
1991,4,0.129368170318684
1991,5,0.144815764824263
1991,6,0.146754527677043
1991,7,0.139238741509492
1991,8,0.144337565513839
1991,9,0.135705817041719
1991,10,0.130584230836797
1991,11,0.121415831457716
1991,12,0.118247409758576
1992,1,0.11621389764147
1992,2,0.112352044742961
1992,3,0.151517696185246
1992,4,0.172265058683457
1992,5,0.156668946960808
1992,6,0.128154067378817
1992,7,0.142033157318649
1992,8,0.146061523343958
1992,9,0.154890637157711
1992,10,0.146117369700215
1992,11,0.103001006641605
1992,12,0.118049517018486
1993,1,0.115451845698772
1993,2,0.124468258646424
1993,3,0.104395573177899
1993,4,0.11504279348335
1993,5,0.0816334499691167
1993,6,0.0979169580607751
1993,7,0.106959520341726
1993,8,0.108421225831335
1993,9,0.105341390478581
1993,10,0.120314443283824
1993,11,0.0985722422959016
1993,12,0.109400339423799
1994,1,0.0982550819965589
1994,2,0.115292790118642
1994,3,0.124535920612031
1994,4,0.113462876009283
1994,5,0.0992362826259569
1994,6,0.118160913421028
1994,7,0.0961106220861529
1994,8,0.0987863808997585
1994,9,0.0610217988199842
1994,10,0.0855927297389059
1994,11,0.0676247103240575
1994,12,0.0838256765295105
1995,1,0.0749303098882304
1995,2,0.0797538975816843
1995,3,0.0668883450451949
1995,4,0.0656035041856383
1995,5,0.0692837960908223
1995,6,0.103580568320945
1995,7,0.0990418875850934
1995,8,0.120496467418627
1995,9,0.0899688750351829
1995,10,0.0837270260247875
1995,11,0.11421577861086
1995,12,0.102416277493088
1996,1,0.122215997299544
1996,2,0.0999370747924189
1996,3,0.126104492073148
1996,4,0.0916430271312311
1996,5,0.0652786678584224
1996,6,0.0790068735468669
1996,7,0.0881271466980467
