"Year","Month","DiversityCoeff"
1985,1,0.117908746959412
1985,2,0.115914757451543
1985,3,0.121708481113566
1985,4,0.125758394745015
1985,5,0.116433457443725
1985,6,0.109137905063319
1985,7,0.107174398960295
1985,8,0.104779026923689
1985,9,0.0823509989231275
1985,10,0.06582654167837
1985,11,0.0540689793572268
1985,12,0.0524994574249585
1986,1,0.0630857510986211
1986,2,0.0592653428224346
1986,3,0.055301434143842
1986,4,0.0666410140570187
1986,5,0.0740225797348937
1986,6,0.0763481021966198
1986,7,0.0600403659171127
1986,8,0.0616358667028078
1986,9,0.0707303599768645
1986,10,0.060649548886611
1986,11,0.0683762985867212
1986,12,0.0695005499434661
1987,1,0.063458013803917
1987,2,0.0630442479073035
1987,3,0.0669238053912827
1987,4,0.0658741553875204
1987,5,0.0798852934957511
1987,6,0.0832740941759748
1987,7,0.0888434116726223
1987,8,0.100492607061896
1987,9,0.109908965955017
1987,10,0.117180338319036
1987,11,0.106257901390819
1987,12,0.111802775528963
1988,1,0.113312238682412
1988,2,0.116857264442395
1988,3,0.107442513855974
1988,4,0.0986749319700826
1988,5,0.0994564936542973
1988,6,0.107306977428699
1988,7,0.100291732754044
1988,8,0.0989975589056087
1988,9,0.099404978370499
1988,10,0.0910366022045277
1988,11,0.100645076148139
1988,12,0.115517508182334
1989,1,0.101312814562121
1989,2,0.108976255992036
1989,3,0.124133132424106
1989,4,0.113111770386705
1989,5,0.11615151870305
1989,6,0.114640594270866
1989,7,0.11138694922539
1989,8,0.113509645959972
1989,9,0.0897549380021702
1989,10,0.0653680513963888
1989,11,0.0560584653426119
1989,12,0.058219480091962
1990,1,0.0648034120486671
1990,2,0.0767276407483493
1990,3,0.0846148210379671
1990,4,0.0976482605528293
1990,5,0.101504737205738
1990,6,0.100386905579459
1990,7,0.109334253460058
1990,8,0.114830970970187
1990,9,0.110107467845551
1990,10,0.106902844318618
1990,11,0.0959776514386333
1990,12,0.0914879242972479
1991,1,0.0953180086621741
1991,2,0.0897249538101983
1991,3,0.0980066204683114
1991,4,0.0938459782718688
1991,5,0.0941517381886289
1991,6,0.109692346476536
1991,7,0.109924301109787
1991,8,0.0841112540557787
1991,9,0.0371086321480952
1991,10,-0.00360740454163647
1991,11,-0.0192356188726902
1991,12,-0.0446539567221551
1992,1,-0.0420929415117931
1992,2,-0.0381786526086088
1992,3,-0.0459885440249237
1992,4,-0.0313059731518288
1992,5,-0.0371015025870848
1992,6,-0.0444540405468459
1992,7,-0.0456230147515191
1992,8,-0.0384304254845743
1992,9,-0.0304996058790751
1992,10,-0.0252625243971536
1992,11,-0.0264157426623606
1992,12,-0.0241774257634394
1993,1,-0.0306923605156905
1993,2,-0.0292151425143387
1993,3,-0.0459128729143671
1993,4,-0.0638366499836942
1993,5,-0.0772488071904371
1993,6,-0.0668758485511113
1993,7,-0.0700420556784248
1993,8,-0.0682286664213679
1993,9,-0.0681777291183939
1993,10,-0.060925479266499
1993,11,-0.054641504408865
1993,12,-0.0491755438319342
1994,1,-0.0487156662355754
1994,2,-0.0538275123794198
1994,3,-0.0519047476732471
1994,4,-0.0549362050722925
1994,5,-0.0514677020441066
1994,6,-0.0268005472029392
1994,7,-0.0406948030644966
1994,8,-0.0241974341892707
1994,9,-0.00614541464938213
1994,10,0.00925710416123764
1994,11,0.053080450170127
1994,12,0.0792940913228799
1995,1,0.0983934819535325
1995,2,0.0882186895541002
1995,3,0.101983407402717
1995,4,0.0986463530877314
1995,5,0.0983649464529571
1995,6,0.0911612776293812
1995,7,0.101792055851524
1995,8,0.0925675076615766
1995,9,0.0913646016633252
1995,10,0.0877923435942777
1995,11,0.0805988190751939
1995,12,0.0797348164988552
1996,1,0.0697467406080588
1996,2,0.0682875105929071
1996,3,0.0751366196908527
1996,4,0.0709244890193778
1996,5,0.0735054229698597
1996,6,0.0804130926763527
1996,7,0.081021778394461
1996,8,0.0747978562740056
1996,9,0.072493168507723
1996,10,0.0610112243852444
1996,11,0.0650512770573043
1996,12,0.0697192417235701
1997,1,0.0698271239616274
1997,2,0.0675337306154947
1997,3,0.0926790054863184
1997,4,0.107363672652273
1997,5,0.106639969517498
1997,6,0.106505230367083
1997,7,0.104304429021782
1997,8,0.105595545517257
1997,9,0.131298202816917
1997,10,0.142821123043559
1997,11,0.143794768632863
1997,12,0.1491085820942
1998,1,0.134967645255626
1998,2,0.141781519573735
1998,3,0.132368225392007
1998,4,0.138066613520881
1998,5,0.118187347835393
1998,6,0.118759171075571
1998,7,0.109504594567452
1998,8,0.113867337532188
1998,9,0.119945199013651
1998,10,0.133091628122133
1998,11,0.128068038095759
1998,12,0.136147383430937
1999,1,0.124246347880199
1999,2,0.121532362751922
1999,3,0.110926082085668
1999,4,0.104005138318044
1999,5,0.100111238785563
1999,6,0.106657692618645
1999,7,0.0925872806592127
1999,8,0.098243858381926
1999,9,0.0993730176485929
1999,10,0.0887193352333591
1999,11,0.0883997720308757
1999,12,0.0896883631433258
2000,1,0.0884484785548501
2000,2,0.0739717646499479
2000,3,0.0677848986068023
2000,4,0.052350953966296
2000,5,0.0577857586184108
2000,6,0.0595064543088502
2000,7,0.0606573213354389
2000,8,0.06723528224004
2000,9,0.0548880617603116
2000,10,0.0877010436281292
2000,11,0.0837542435125859
2000,12,0.0796715350969319
2001,1,0.0979181307079074
2001,2,0.0915173889263895
2001,3,0.0889078932431756
2001,4,0.0779271901269358
2001,5,0.0931529209387158
2001,6,0.0833168376545365
2001,7,0.0963293400035922
2001,8,0.102331632418227
2001,9,0.0918318559771005
2001,10,0.104597883201304
2001,11,0.111631763248222
2001,12,0.104299701395256
2002,1,0.109951479964566
2002,2,0.114181141328739
2002,3,0.124670956929706
2002,4,0.111141598758056
2002,5,0.110640330119918
2002,6,0.0970010307748699
2002,7,0.112530556303176
2002,8,0.113870585798374
2002,9,0.118118790283301
2002,10,0.128554961733062
2002,11,0.131354647461497
2002,12,0.135075796153098
2003,1,0.132319707020043
2003,2,0.129391866886647
2003,3,0.130938685999091
2003,4,0.147608667367843
2003,5,0.147469799423957
2003,6,0.153402233791729
2003,7,0.151428954174404
2003,8,0.15085958093115
2003,9,0.143693326864529
2003,10,0.149873570706569
2003,11,0.155416329347621
2003,12,0.144496538776667
2004,1,0.141041723504332
2004,2,0.154577047752998
2004,3,0.135568519323933
2004,4,0.123123713431969
2004,5,0.137045668772105
2004,6,0.116155531128757
2004,7,0.120234696626143
2004,8,0.11835124685212
2004,9,0.128245878416289
2004,10,0.12869238130202
2004,11,0.125247794346987
2004,12,0.145652731382819
2005,1,0.135052441615065
2005,2,0.135246506336294
2005,3,0.132442453550528
2005,4,0.148189372828751
2005,5,0.149531303723003
2005,6,0.151568796383975
2005,7,0.146448857956599
2005,8,0.151318742530278
2005,9,0.15569770937256
2005,10,0.159780323375812
2005,11,0.152677335550652
2005,12,0.152304511540062
2006,1,0.156729874804554
2006,2,0.165843216965377
2006,3,0.173709573939207
2006,4,0.176850574332097
2006,5,0.182088465134322
2006,6,0.185696419219319
2006,7,0.193291632058473
2006,8,0.194608408967803
2006,9,0.185836463389983
2006,10,0.183227470625885
2006,11,0.179156516132598
2006,12,0.192691661873799
2007,1,0.20155803566309
2007,2,0.197089221498801
2007,3,0.19315877053502
2007,4,0.204902288628569
2007,5,0.204350064638331
2007,6,0.21346151454511
2007,7,0.224425265667117
2007,8,0.230777278571604
2007,9,0.223722674819871
2007,10,0.21824324370328
2007,11,0.220765202792033
2007,12,0.224668656695944
2008,1,0.224645228406743
2008,2,0.232216093565928
