"Year","Month","DiversityCoeff"
1985,1,0.187783572291768
1985,2,0.188662939954729
1985,3,0.196123491611707
1985,4,0.200752752170027
1985,5,0.191097724897021
1985,6,0.179819610306361
1985,7,0.179419465891626
1985,8,0.184367530304025
1985,9,0.166760125906262
1985,10,0.169748227335011
1985,11,0.15728573315452
1985,12,0.148941629285061
1986,1,0.157748466141032
1986,2,0.162426691079073
1986,3,0.153575595559138
1986,4,0.158455789694316
1986,5,0.16374975475458
1986,6,0.1639570709711
1986,7,0.15190225556421
1986,8,0.160068014489562
1986,9,0.17351934320594
1986,10,0.174986177359347
1986,11,0.176559363968412
1986,12,0.184334630778836
1987,1,0.174616150267305
1987,2,0.177860783155573
1987,3,0.176383024627822
1987,4,0.173338847196595
1987,5,0.183753658115258
1987,6,0.182818060770791
1987,7,0.171840260935273
1987,8,0.178735534244941
1987,9,0.177474587640091
1987,10,0.1787323210413
1987,11,0.171236655687275
1987,12,0.177754916994129
1988,1,0.175915272433089
1988,2,0.174790151622824
1988,3,0.177253610889977
1988,4,0.161357215724542
1988,5,0.166632413739721
1988,6,0.161879325127875
1988,7,0.1662060147147
1988,8,0.156956338512517
1988,9,0.164463218985351
1988,10,0.151979591929267
1988,11,0.158264133630158
1988,12,0.166641538052454
1989,1,0.165192676650892
1989,2,0.1657705459546
1989,3,0.18257067190561
1989,4,0.183339799014575
1989,5,0.179282502008913
1989,6,0.171897683276886
1989,7,0.171278632776963
1989,8,0.174127896453223
1989,9,0.155250990356011
1989,10,0.139735445205524
1989,11,0.128544005381787
1989,12,0.133863472778176
1990,1,0.132028757526843
1990,2,0.141649473839141
1990,3,0.153599262284412
1990,4,0.159023008810699
1990,5,0.164710938237631
1990,6,0.16477147423943
1990,7,0.183067511558516
1990,8,0.181169878502112
1990,9,0.179119056190663
1990,10,0.169496817205078
1990,11,0.174445149021079
1990,12,0.169437005569115
1991,1,0.16866293375711
1991,2,0.160367892979543
1991,3,0.158876447226459
1991,4,0.156328858283185
1991,5,0.157454397620928
1991,6,0.136611201033507
1991,7,0.148576161281835
1991,8,0.12699804560412
1991,9,0.0944078856027584
1991,10,0.0915430373601955
1991,11,0.0831629642580816
1991,12,0.0739973592070559
1992,1,0.0730642630079843
1992,2,0.0648279793521999
1992,3,0.0573166603339891
1992,4,0.0713074834531915
1992,5,0.0757451460821231
1992,6,0.0672512779489984
1992,7,0.0574298429017328
1992,8,0.0605426176064804
1992,9,0.0655110535658912
1992,10,0.0711265501748097
1992,11,0.0677095481306093
1992,12,0.0687690615264482
1993,1,0.0663580998518165
1993,2,0.0587651183239143
1993,3,0.0551364463814876
1993,4,0.0379778182936091
1993,5,0.00826466864323447
1993,6,0.0264504817252762
1993,7,0.0196928976700382
1993,8,0.0296919861916487
1993,9,0.0294064091878006
1993,10,0.0428006662714474
1993,11,0.051603686783568
1993,12,0.0519377814330583
1994,1,0.0477208731362734
1994,2,0.0478533296291082
1994,3,0.0530303191068114
1994,4,0.0434401422080295
1994,5,0.0496301156501235
1994,6,0.0794296501543329
1994,7,0.0804354064102229
1994,8,0.0870313713041813
1994,9,0.104351694534847
1994,10,0.107057991144263
1994,11,0.129626388873343
1994,12,0.141919536045079
1995,1,0.150463846440632
1995,2,0.148014251895879
1995,3,0.151325294811027
1995,4,0.163569367991851
1995,5,0.150056588293696
1995,6,0.150377249231042
1995,7,0.154849953127361
1995,8,0.142066153750573
1995,9,0.154315910396647
1995,10,0.142990223876775
1995,11,0.143348895395561
1995,12,0.145577891271735
1996,1,0.141447821056305
1996,2,0.144633548960787
1996,3,0.152625259887574
1996,4,0.151683855829495
1996,5,0.140805600009334
1996,6,0.148331905031452
1996,7,0.145209163325852
1996,8,0.133367699069936
1996,9,0.139039091959997
1996,10,0.142600285426468
1996,11,0.13522114220848
1996,12,0.139639086956889
1997,1,0.133310098986777
1997,2,0.14069997458526
1997,3,0.153041747289135
1997,4,0.152369693178893
1997,5,0.150234243583248
1997,6,0.149951394713339
1997,7,0.143377873534528
1997,8,0.145510121736614
1997,9,0.148388463028527
1997,10,0.166957654570765
1997,11,0.16821207728773
1997,12,0.17870950551523
1998,1,0.171596594085995
1998,2,0.168482913577675
1998,3,0.167620150313841
1998,4,0.157716227313745
1998,5,0.150061029321525
1998,6,0.154482377368049
1998,7,0.141039946849796
1998,8,0.144440880193602
1998,9,0.146413721109023
1998,10,0.146519741422716
1998,11,0.147836452939003
1998,12,0.148872790385071
1999,1,0.142772308379383
1999,2,0.144910144607913
1999,3,0.128853212054059
1999,4,0.124040458198908
1999,5,0.12163379815024
1999,6,0.122192879836431
1999,7,0.115118318439949
1999,8,0.116954640985316
1999,9,0.113518488571635
1999,10,0.109451181966648
1999,11,0.109240732432963
1999,12,0.106838219437853
2000,1,0.107745841722408
2000,2,0.114177075090537
2000,3,0.106854863633734
2000,4,0.0989717240173914
2000,5,0.10537829716771
2000,6,0.11285056364241
2000,7,0.111420787465705
2000,8,0.117772751235723
2000,9,0.117470735165777
2000,10,0.120236120665118
2000,11,0.118795644453622
2000,12,0.129633460118958
2001,1,0.129012158052531
2001,2,0.124516032289817
2001,3,0.116327234689103
2001,4,0.117149193940921
2001,5,0.139203659323492
2001,6,0.138665432805524
2001,7,0.142879556332701
2001,8,0.153095173742548
2001,9,0.149537997620571
2001,10,0.152761408563739
2001,11,0.162460002929304
2001,12,0.154930862557546
2002,1,0.151999390839001
2002,2,0.151958615131191
2002,3,0.157970370966373
2002,4,0.15553518587531
2002,5,0.15400738652985
2002,6,0.13390125296533
2002,7,0.139692577231346
2002,8,0.150532550614781
2002,9,0.15567947784987
2002,10,0.158242356993982
2002,11,0.167680997038644
2002,12,0.173242116585949
2003,1,0.163515751841013
2003,2,0.168669646035602
2003,3,0.16822563069922
2003,4,0.174921203514704
2003,5,0.180788508955924
2003,6,0.176580831229142
2003,7,0.178948903155399
2003,8,0.170572433369706
2003,9,0.176611595481615
2003,10,0.16690652772237
2003,11,0.189521602728923
2003,12,0.181512124809134
2004,1,0.177861277305428
2004,2,0.172203781703271
2004,3,0.164922778711921
2004,4,0.150934660428245
2004,5,0.154365582798228
2004,6,0.139362752652781
2004,7,0.146080912565232
2004,8,0.145612499556212
2004,9,0.154773491685681
2004,10,0.159871725145477
2004,11,0.152487846747377
2004,12,0.158154222166124
2005,1,0.156204260913166
2005,2,0.154189654828178
2005,3,0.150702797531441
2005,4,0.150651430245697
2005,5,0.141607797709579
2005,6,0.153174782230045
2005,7,0.154978395802871
2005,8,0.152769363141923
2005,9,0.155322051778311
2005,10,0.157332584416638
2005,11,0.15775608455079
2005,12,0.165630045350434
2006,1,0.169594024197156
2006,2,0.174260123996033
2006,3,0.184809968945157
2006,4,0.183287517599984
2006,5,0.183529524881298
2006,6,0.184329230976704
2006,7,0.186262477737738
2006,8,0.187982695508513
2006,9,0.190293025796095
2006,10,0.189383843432504
2006,11,0.179116311047603
2006,12,0.194827869547919
2007,1,0.199863696683139
2007,2,0.209624458531048
2007,3,0.194905047844424
2007,4,0.20175407206081
2007,5,0.198442301017471
2007,6,0.201856142117174
2007,7,0.20420554455919
2007,8,0.201195627724845
2007,9,0.203560949834957
2007,10,0.202499801674692
2007,11,0.201261626640869
2007,12,0.198590372463944
2008,1,0.201480362099831
2008,2,0.205546303566443
2008,3,0.20120235216821
2008,4,0.196726936284494
2008,5,0.207098354589314
2008,6,0.200932364504802
