"Year","Month","DiversityCoeff"
1985,1,0.103783137071328
1985,2,0.111093172689559
1985,3,0.113723087374364
1985,4,0.11063628552991
1985,5,0.0962240148488787
1985,6,0.0866916619743723
1985,7,0.0847795611756451
1985,8,0.0871653828775978
1985,9,0.0719022420824188
1985,10,0.0592954632938439
1985,11,0.0586957333399989
1985,12,0.0502070607899487
1986,1,0.0602409321075593
1986,2,0.0675861157679063
1986,3,0.0672881309315872
1986,4,0.0758166299773947
1986,5,0.0782552334482243
1986,6,0.0748421553941229
1986,7,0.0743958095790679
1986,8,0.0719012232173901
1986,9,0.0843774642955197
1986,10,0.0850120856256535
1986,11,0.0782617607915289
1986,12,0.0790547334522043
1987,1,0.0834424719612314
1987,2,0.0733270237180217
1987,3,0.0787139081662785
1987,4,0.0761967600381098
1987,5,0.0882356119324545
1987,6,0.097687180486834
1987,7,0.086329535915681
1987,8,0.098577922019358
1987,9,0.108022382923286
1987,10,0.1145685219537
1987,11,0.09643858476741
1987,12,0.10390780941815
1988,1,0.102026982702502
1988,2,0.0985584504763337
1988,3,0.101181906519754
1988,4,0.0932720052149143
1988,5,0.0896481751614465
1988,6,0.0876253347133463
1988,7,0.0876092559815868
1988,8,0.0904110917204527
1988,9,0.0878086554087548
1988,10,0.0822840091786694
1988,11,0.088275791187613
1988,12,0.0953323058795818
1989,1,0.0892420370760015
1989,2,0.104184328126863
1989,3,0.11756205581029
1989,4,0.099900915793359
1989,5,0.102959930614759
1989,6,0.109057144957629
1989,7,0.111432512499214
1989,8,0.10816159501354
1989,9,0.0888499304875396
1989,10,0.0642208592026646
1989,11,0.0490964148605657
1989,12,0.0553293513596402
1990,1,0.0496422169908151
1990,2,0.0555274715835783
1990,3,0.0733037330103268
1990,4,0.0932047889204041
1990,5,0.0881324064747141
1990,6,0.0896650609704848
1990,7,0.0883819482023258
1990,8,0.0964031918665696
1990,9,0.085438484466883
1990,10,0.073864288865744
1990,11,0.0746063232410415
1990,12,0.0769438711495421
1991,1,0.0734073075360149
1991,2,0.0673764841549741
1991,3,0.0648504859147225
1991,4,0.0725658760630903
1991,5,0.0741625145800572
1991,6,0.0669207869919486
1991,7,0.0732701060551361
1991,8,0.0495209091831206
1991,9,-0.000257628843786092
1991,10,-0.0188425553679709
1991,11,-0.0379735479382874
1991,12,-0.0590565167427876
1992,1,-0.0565370669300842
1992,2,-0.0581461323246738
1992,3,-0.0702173592620409
1992,4,-0.041461437183591
1992,5,-0.0391364221724777
1992,6,-0.0399727927634521
1992,7,-0.048366001309627
1992,8,-0.04403372796147
1992,9,-0.0370592233190192
1992,10,-0.0341132253103655
1992,11,-0.0281134328208118
1992,12,-0.0253400069387609
1993,1,-0.0317071753098295
1993,2,-0.04070194225353
1993,3,-0.0506656718891694
1993,4,-0.0743739006237053
1993,5,-0.0832805040632122
1993,6,-0.073603846978148
1993,7,-0.0725504503410429
1993,8,-0.072603612563876
1993,9,-0.0711120636234813
1993,10,-0.0528300755876104
1993,11,-0.046329063570608
1993,12,-0.0462732490412401
1994,1,-0.0374935886669501
1994,2,-0.0399577012411602
1994,3,-0.0413569305080548
1994,4,-0.0438568445545777
1994,5,-0.0413530782350205
1994,6,-0.011850740892736
1994,7,-0.012061072864776
1994,8,-0.00739883218361968
1994,9,0.0193413350731192
1994,10,0.0459247799665528
1994,11,0.0800532287287238
1994,12,0.103295413386415
1995,1,0.102562381319503
1995,2,0.1054953366896
1995,3,0.100483166735042
1995,4,0.108223334222392
1995,5,0.107634111076334
1995,6,0.106109625799325
1995,7,0.104098133147414
1995,8,0.0948414595178597
1995,9,0.102589304350781
1995,10,0.0973136105010149
1995,11,0.100386483860583
1995,12,0.0963883619311227
1996,1,0.0928259149910556
1996,2,0.0952660880443303
1996,3,0.0934431263492596
1996,4,0.0967859184885544
1996,5,0.0893648619837928
1996,6,0.0940096180081717
1996,7,0.0970021625310688
1996,8,0.0851966552782345
1996,9,0.0813457032864236
1996,10,0.0803799112126813
1996,11,0.0726569003907011
1996,12,0.0837321325659808
1997,1,0.0817113016794712
1997,2,0.0857320716243393
1997,3,0.100244618573042
1997,4,0.103329912868473
1997,5,0.104795924833505
1997,6,0.10745039693014
1997,7,0.0999304809785852
1997,8,0.105949415802498
1997,9,0.115307925056512
1997,10,0.12711076138936
1997,11,0.125315737275726
1997,12,0.131013868530493
1998,1,0.116013787704011
1998,2,0.118412867949899
1998,3,0.11067609136239
1998,4,0.108628431005693
1998,5,0.101952350288922
1998,6,0.106936153141376
1998,7,0.0877369984406389
1998,8,0.0889658170946228
1998,9,0.0941305787305458
1998,10,0.0903271558279739
1998,11,0.098603573663234
1998,12,0.10468090205369
1999,1,0.096858369253983
1999,2,0.0909723100980543
1999,3,0.0767404914922206
1999,4,0.0668869245315562
1999,5,0.0620349583162605
1999,6,0.0742100359948551
1999,7,0.067433780162064
1999,8,0.0739565040637272
1999,9,0.0711335419713921
1999,10,0.055857721603586
1999,11,0.0600211860891801
1999,12,0.0609502538478532
2000,1,0.0603465715986291
2000,2,0.057803576686369
2000,3,0.0538005869292025
2000,4,0.0431898752539933
2000,5,0.0445977371729284
2000,6,0.0480841785275222
2000,7,0.046664989763062
2000,8,0.0630194698434565
2000,9,0.0534748161183487
2000,10,0.0665354105886073
2000,11,0.0690587469731579
2000,12,0.0684331820182233
2001,1,0.0838317490412771
