"Year","Month","DiversityCoeff"
1985,1,0.0277478722374197
1985,2,0.0379273835750883
1985,3,0.0468634210402043
1985,4,0.043815756188097
1985,5,0.0375401051752649
1985,6,0.0315691390642317
1985,7,0.0120978335730422
1985,8,0.010944569032679
1985,9,0.0047983327292247
1985,10,0.00165855613641573
1985,11,0.00854340837292852
1985,12,0.00549737003850785
1986,1,-0.00195349633374392
1986,2,-0.0106766553237641
1986,3,0.00069461948763272
1986,4,0.0142341223043007
1986,5,0.0195170269232915
1986,6,0.0366124255899953
1986,7,0.0181533241201316
1986,8,0.0225488492020469
1986,9,0.0344336801336769
1986,10,0.0451511863413473
1986,11,0.0568230716699418
1986,12,0.0471343616746183
1987,1,0.0357403028124838
1987,2,0.0295665720429471
1987,3,0.0173205834446051
1987,4,0.0129438072643952
1987,5,0.0389567844146478
1987,6,-0.00268842267791402
1987,7,0.0327388957366062
1987,8,0.0379236814383061
1987,9,0.0494660657525804
1987,10,0.0353360092495669
1987,11,0.033014737911065
1987,12,0.0214154893318365
1988,1,0.0152972286988012
1988,2,0.0164492353475156
1988,3,0.0133650369362798
1988,4,0.0121785727562342
1988,5,0.0146047359598546
1988,6,0.0226619116434537
1988,7,0.0135949658663148
1988,8,0.00673327045711201
1988,9,0.00816289359644529
1988,10,0.0131751930828645
1988,11,0.012299804890957
1988,12,0.0235390100834092
1989,1,0.0157828761574011
1989,2,0.0253146820793978
1989,3,0.0130116067959996
1989,4,0.000516597805702922
1989,5,-0.00622608958328784
1989,6,-0.0214821165742263
1989,7,-0.0156861214411756
1989,8,-0.00685014125886073
1989,9,-0.00942104363245651
1989,10,-0.00710833969101613
1989,11,-0.0232152185190433
1989,12,-0.0118338974549513
1990,1,-0.0164927754993753
1990,2,-0.00391714307197681
1990,3,0.00608576123607212
1990,4,0.0185191651920462
1990,5,0.0129000232727379
1990,6,0.0125542904954327
1990,7,0.0175835732939885
1990,8,0.0212657834793218
1990,9,0.0114869506977546
1990,10,0.018894675670846
1990,11,0.0228392159761169
1990,12,0.0309440965859539
1991,1,0.0274546731800031
1991,2,0.0437247062153894
1991,3,0.0560514955215442
1991,4,0.0562269625657015
1991,5,0.0631435337537867
1991,6,0.0610148891498883
1991,7,0.0548378563135628
1991,8,0.0411250571108305
1991,9,0.044980670138664
1991,10,0.046174608515777
1991,11,0.0445619057766463
1991,12,0.0354317673747056
1992,1,0.0435998337594021
1992,2,0.0427568115873691
1992,3,0.0521026461798206
1992,4,0.0560863891582745
1992,5,0.0649196024767159
1992,6,0.0351245721162212
1992,7,0.0251328628443958
1992,8,0.025583710239759
1992,9,0.0290499323689906
1992,10,0.01481081384668
1992,11,0.0112743656275656
1992,12,0.00693567038426725
1993,1,-0.00163819567311489
1993,2,0.00158683200104816
1993,3,-0.00937355457306566
1993,4,-0.012126466161031
1993,5,-0.00597277444549728
1993,6,-0.0107663672995247
1993,7,0.00582641624765772
1993,8,0.00245554123247657
1993,9,-0.000643758494924554
1993,10,-0.00754864160315975
1993,11,-0.00550376770384826
1993,12,-0.0108261952955427
1994,1,-0.00328839984691272
1994,2,0.00590665164874338
1994,3,-0.00146779342210064
1994,4,-0.0057641290491914
1994,5,0.0106081522214417
1994,6,0.0398039704777284
1994,7,0.0778097516053101
1994,8,0.0980222642404602
1994,9,0.109685874828167
1994,10,0.113324562528659
1994,11,0.103893076785061
1994,12,0.114651591765398
1995,1,0.112947625217355
1995,2,0.114292046161792
1995,3,0.118825384629026
1995,4,0.105497486116769
1995,5,0.0962120138193295
1995,6,0.0952649524531671
1995,7,0.10239760591204
1995,8,0.0874210567557237
1995,9,0.0640127156828445
1995,10,0.0646388414346261
1995,11,0.0776434003199375
1995,12,0.0808065246908951
1996,1,0.0782861303399246
1996,2,0.0707294121255965
1996,3,0.063405866380535
1996,4,0.0776016987446945
1996,5,0.062945536665523
1996,6,0.0765688548928337
1996,7,0.0640440015433254
1996,8,0.0695054980721592
1996,9,0.0490651795047373
1996,10,0.0503503365926433
1996,11,0.0415090926277592
1996,12,0.0494492673385762
1997,1,0.0476234665831535
1997,2,0.0482309898839355
1997,3,0.0856432843127935
1997,4,0.0722445357451799
1997,5,0.0569299475701322
1997,6,0.0588824037972782
1997,7,0.0534525360354795
1997,8,0.0665041262058573
1997,9,0.0555185803174795
1997,10,0.0148064636853607
1997,11,0.0119867910603642
1997,12,0.00899551026866478
1998,1,0.0135212245472083
1998,2,0.0241744344563401
1998,3,0.0356639504889098
1998,4,0.03409129432701
1998,5,0.0298943017241243
1998,6,0.0592940755149805
1998,7,0.0689602775712203
1998,8,0.0778210035465395
1998,9,0.0879454073688723
1998,10,0.0901085458695021
1998,11,0.0950320699327868
1998,12,0.0913234218912727
1999,1,0.104496082057151
1999,2,0.10100332500667
1999,3,0.100815666761878
1999,4,0.0991665259770412
1999,5,0.107862666842619
1999,6,0.0994846830701208
1999,7,0.0863580028828439
1999,8,0.0641712352591563
1999,9,0.0826812666660216
1999,10,0.0845837204454371
1999,11,0.0799222025160672
1999,12,0.0728333459196216
2000,1,0.0773817362337045
2000,2,0.0727728289485736
2000,3,0.06126076215979
2000,4,0.0538402370151684
2000,5,0.0591250689695193
2000,6,0.0665285174809229
2000,7,0.0453192209286709
2000,8,0.0439679850036637
2000,9,0.0388685022859559
2000,10,0.0531339966092944
2000,11,0.0577778237587395
2000,12,0.0625349019491865
2001,1,0.0625587265065905
2001,2,0.0646416677173864
2001,3,0.0628481610809153
2001,4,0.0637922307306479
2001,5,0.058680292349565
2001,6,0.0796759922471822
2001,7,0.0669716193548171
2001,8,0.0681412147693511
2001,9,0.0534278786262738
2001,10,0.0448754231056579
2001,11,0.0387597362748892
2001,12,0.0453663006707742
2002,1,0.0434847090286054
2002,2,0.0393484963187432
2002,3,0.0400925231294961
2002,4,0.0260253194778438
2002,5,0.0414058026770839
2002,6,0.040926053621503
2002,7,0.0363321504518259
2002,8,0.0378745038691619
2002,9,0.0296140091714277
2002,10,0.02819902002291
2002,11,0.0490244585330303
2002,12,0.0527762467151461
2003,1,0.0583432904011295
2003,2,0.0722214553775721
2003,3,0.0699679495799663
2003,4,0.0831335850903048
2003,5,0.0673106549824749
