"Year","Month","DiversityCoeff"
1985,1,-0.1292204837815
1985,2,-0.116289321716526
1985,3,-0.0961437784038432
1985,4,-0.0959699010820697
1985,5,-0.0888538675286727
1985,6,-0.0860489845532798
1985,7,-0.0921579281253314
1985,8,-0.105240159021433
1985,9,-0.120190601280388
1985,10,-0.119269416991654
1985,11,-0.103509550587103
1985,12,-0.104566207037152
1986,1,-0.107649279710739
1986,2,-0.118368357487746
1986,3,-0.113861607511708
1986,4,-0.0963091374161448
1986,5,-0.102804121511153
1986,6,-0.073638113606681
1986,7,-0.0568902076572859
1986,8,-0.0668101417263718
1986,9,-0.0599584246020872
1986,10,-0.0614070706358913
1986,11,-0.0594191608573373
1986,12,-0.0568240027874287
1987,1,-0.068711678230634
1987,2,-0.0872622190710952
1987,3,-0.0993990223576133
1987,4,-0.101939636870257
1987,5,-0.0813901953555629
1987,6,-0.109616983543631
1987,7,-0.0726443612666507
1987,8,-0.087226037180837
1987,9,-0.0992862845853033
1987,10,-0.105624714938071
1987,11,-0.11884202435244
1987,12,-0.111324184771057
1988,1,-0.114182284895956
1988,2,-0.121352923458444
1988,3,-0.138471650237109
1988,4,-0.135653484829914
1988,5,-0.129084153571188
1988,6,-0.126807189387851
1988,7,-0.122425314237415
1988,8,-0.102631160915417
1988,9,-0.113672386966519
1988,10,-0.111913408461223
1988,11,-0.110332674636643
1988,12,-0.113953134048829
1989,1,-0.116119380645113
1989,2,-0.121176350226895
1989,3,-0.131342448258352
1989,4,-0.149372012722945
1989,5,-0.149179238139213
1989,6,-0.153292712063286
1989,7,-0.13642843038951
1989,8,-0.136012281146471
1989,9,-0.123814678560427
1989,10,-0.126509361970892
1989,11,-0.127439827224322
1989,12,-0.11800830041598
1990,1,-0.100555648027037
1990,2,-0.0962759316068858
1990,3,-0.0867232463255368
1990,4,-0.0648517409603279
1990,5,-0.0458264770177031
1990,6,-0.0390259863012934
1990,7,-0.023369684727907
1990,8,0.00071163967276007
1990,9,-0.00930474363567758
1990,10,-0.00466876233870374
1990,11,-0.00307506674723322
1990,12,0.00333492520620869
1991,1,-0.0129743917666219
1991,2,-0.00495243538242988
1991,3,-0.0153681832482939
1991,4,-0.0231933250379307
1991,5,-0.0183339392324131
1991,6,-0.0109329025738798
1991,7,0.00729528001967062
1991,8,-0.0185123774737219
1991,9,-0.00561800215468706
1991,10,-0.00537178264466408
1991,11,-0.00623798296341848
1991,12,-0.0133283584047268
1992,1,0.00128440305227481
1992,2,0.00608314680572539
1992,3,0.0195646271449326
1992,4,0.00983007476897427
1992,5,0.0126784465900089
1992,6,-0.00756785919538498
1992,7,-0.0167437539193258
1992,8,-0.00909315834884428
1992,9,0.00709689189050905
1992,10,-0.00276615841029185
1992,11,-0.0157184298989974
1992,12,-0.030026081441998
1993,1,-0.0392393191014594
1993,2,-0.0403314398860277
1993,3,-0.043831327977939
1993,4,-0.0564900007332408
1993,5,-0.0563087412227047
1993,6,-0.0759273378802835
1993,7,-0.0638275491979893
1993,8,-0.0752377238644932
1993,9,-0.0750887069977294
1993,10,-0.0756010277178833
1993,11,-0.0798590841705726
1993,12,-0.0806133615983963
1994,1,-0.0704378810904392
1994,2,-0.0671300446897872
1994,3,-0.0778359798329541
1994,4,-0.0828395267939406
1994,5,-0.072668719525149
1994,6,-0.0769836434965957
1994,7,-0.0467513857247414
1994,8,-0.0313275881986468
1994,9,-0.0257417809794658
1994,10,-0.00746458207871862
1994,11,-0.00339323853725904
1994,12,0.0140370395672313
1995,1,0.0225830442568281
1995,2,0.01461926424854
1995,3,0.0106225872060356
1995,4,-0.000607070286164712
1995,5,0.00252939011556268
1995,6,0.0120595268658528
1995,7,0.0150087168374217
1995,8,0.0336227799623866
1995,9,0.0010070218392922
1995,10,0.000980838903877435
1995,11,0.0286782786134634
1995,12,0.0359897167588667
1996,1,0.0346627341993027
1996,2,0.0234473137095442
1996,3,0.0238775113804733
1996,4,0.0289014985727358
1996,5,0.0221026092193615
1996,6,0.0317084023966949
1996,7,0.0225371714889932
1996,8,0.026538058450847
1996,9,0.00601873834172
1996,10,0.00551376486654176
1996,11,-0.00159773521423593
1996,12,0.00578206305911193
1997,1,-0.00306259123905039
1997,2,-0.00453837142835536
1997,3,0.0189819646503221
1997,4,0.0278559943660731
1997,5,0.00753457054066891
1997,6,-0.00458018172964513
1997,7,0.00847017609232841
1997,8,0.0154734797931843
1997,9,0.00613173185965959
1997,10,-0.0650463916505455
1997,11,-0.0836410652734835
1997,12,-0.0865820886014889
1998,1,-0.0776434667271511
1998,2,-0.080855442137547
1998,3,-0.0790751857175328
1998,4,-0.0688668233481899
1998,5,-0.0611897277174069
1998,6,-0.0730039785884102
1998,7,-0.0566276420817479
1998,8,-0.0626796105371607
1998,9,-0.0352136048716701
1998,10,-0.0381342473873234
1998,11,-0.0362134341767619
1998,12,-0.0447382540551648
1999,1,-0.0274938673314267
1999,2,-0.0210494009716085
1999,3,-0.0290444462169136
1999,4,-0.0412615095235438
1999,5,-0.0317901186760263
1999,6,-0.0357308371582518
1999,7,-0.0454266301087533
1999,8,-0.0555454762252084
1999,9,-0.0327847203424894
1999,10,-0.0348335016557635
1999,11,-0.0398777497813579
1999,12,-0.0548469005843518
2000,1,-0.0525931290780766
2000,2,-0.0608423572362338
2000,3,-0.0603819765606016
2000,4,-0.0702636618703161
2000,5,-0.0648458399347829
2000,6,-0.0577731764302978
2000,7,-0.0652746458590488
2000,8,-0.0690089779146291
2000,9,-0.0634004279434525
2000,10,-0.0366445038240079
2000,11,-0.0136155454359293
2000,12,-0.00180691863602734
2001,1,-0.0184180965735748
2001,2,-0.0130449993972964
