"Year","Month","DiversityCoeff"
1984,1,-0.205115257805281
1984,2,-0.203561234510972
1984,3,-0.209594253426623
1984,4,-0.207648669730422
1984,5,-0.198647115634329
1984,6,-0.199823926975695
1984,7,-0.181064684593381
1984,8,-0.179429230181579
1984,9,-0.173361740449187
1984,10,-0.160125564971334
1984,11,-0.128201108073367
1984,12,0.0130642283922861
1985,1,-0.0221883334447083
1985,2,-0.0502054327879351
1985,3,-0.0521188471885022
1985,4,-0.030999981430814
1985,5,-0.00587091128592356
1985,6,-0.0157255089576945
1985,7,0.00335896153621389
1985,8,0.0119995485126128
1985,9,0.0129131337476764
1985,10,0.0255136421123513
1985,11,0.0252322437917193
1985,12,0.0587150720618469
1986,1,0.0894902024236908
1986,2,0.0960974186778435
1986,3,0.106911861588554
1986,4,0.109477681481894
1986,5,0.109728823896919
1986,6,0.13193859465855
1986,7,0.128732567704797
1986,8,0.128585771513798
1986,9,0.10491020055682
1986,10,0.0716708813146133
1986,11,0.0500487858068615
1986,12,0.0467940105361124
1987,1,0.0333957358670095
1987,2,0.00829237486444961
1987,3,0.00411265816733966
1987,4,0.0116091995139647
1987,5,-0.00230503251158803
1987,6,-0.0162972638093947
1987,7,-0.0136466320179532
1987,8,0.0161551817719838
1987,9,0.0102652977043417
1987,10,0.00653224466852583
1987,11,-0.0054565841258361
1987,12,-0.00534696245546119
1988,1,-0.0400727825997915
1988,2,-0.0351264650492276
1988,3,-0.0293061703029251
1988,4,-0.0250172008055368
1988,5,-0.0189956819492187
1988,6,-0.0262931612074738
1988,7,-0.0447444199245934
1988,8,-0.0255580506811561
1988,9,-0.00196160366326257
1988,10,-0.0123485207001616
1988,11,-0.0238440948349406
1988,12,-0.0198052822310543
1989,1,-0.0211924477847775
1989,2,-0.00509416943354193
1989,3,-0.0289609354396244
1989,4,-0.021487098256692
1989,5,-0.0217839413621469
1989,6,-0.0296849795175163
1989,7,-0.0209785006944749
1989,8,-0.0198323161691042
1989,9,-0.0200506565212893
1989,10,-0.00986510584117552
1989,11,-0.00746033561724972
1989,12,2.31137223176638e-05
1990,1,0.089873631622277
1990,2,0.0552137056377663
1990,3,0.0343524915615017
1990,4,0.0357179852707374
1990,5,0.00816297257065127
1990,6,0.00442819644700706
1990,7,0.0159085559977094
1990,8,0.00747904240389941
1990,9,0.00163169119880419
1990,10,-0.00384613391222393
1990,11,0.00144082086739899
1990,12,0.00129343112294467
1991,1,0.00929920240457861
1991,2,0.0198383244727963
1991,3,0.0179194983308387
1991,4,0.0198012255101242
1991,5,0.0116133228303444
1991,6,0.00937196481010203
1991,7,0.018172104094036
1991,8,-0.001199381340838
1991,9,0.00586201998181742
1991,10,0.00846236134425848
1991,11,0.0263549008674769
1991,12,0.0289798833589598
1992,1,0.0415358226413226
1992,2,0.0569229549593622
1992,3,0.10215678386678
1992,4,0.0906570217534089
1992,5,0.100803955517577
1992,6,0.0837033834380065
1992,7,0.0885626777036102
1992,8,0.0794821367148635
1992,9,0.0909683361386275
1992,10,0.0931291579256723
1992,11,0.0954455595754908
1992,12,0.079588677654556
1993,1,0.0736981364673395
1993,2,0.204517157476038
1993,3,0.117022785042681
1993,4,0.0452845528157401
1993,5,0.0806538209696804
1993,6,0.088912482523749
1993,7,0.0887270548145469
1993,8,0.0882262633584238
1993,9,0.0751840866272132
1993,10,0.111668919409933
1993,11,0.10015987904493
1993,12,0.107565361486757
1994,1,0.0940049915656932
1994,2,0.0879249990057916
1994,3,0.0856753259112386
1994,4,0.0830098916651654
1994,5,0.0919068403529394
1994,6,0.091690785113674
1994,7,0.0978465365573319
1994,8,0.100300182363412
1994,9,0.103316473015648
1994,10,0.10075400490449
1994,11,0.100845333452198
1994,12,0.108477911348033
1995,1,0.0618041763596686
1995,2,0.0249231596087084
1995,3,0.0246309611217363
1995,4,0.0194998341299533
