"Year","Month","DiversityCoeff"
1984,1,-0.0846917684905298
1984,2,-0.0804689825077315
1984,3,-0.0786044568076165
1984,4,-0.080261162811989
1984,5,-0.0687796593117388
1984,6,-0.060179334869396
1984,7,-0.0557145176361186
1984,8,-0.0314120612624005
1984,9,-0.0100718166862966
1984,10,0.0174512227391655
1984,11,0.0711761761536161
1984,12,0.191199556807114
1985,1,0.164646232617274
1985,2,0.146849955346916
1985,3,0.16645743121446
1985,4,0.175531242176545
1985,5,0.192855778380897
1985,6,0.187230660639426
1985,7,0.193408975792428
1985,8,0.206857789297727
1985,9,0.20592586955337
1985,10,0.216571122900007
1985,11,0.222286139301829
1985,12,0.22471934076097
1986,1,0.219561336613411
1986,2,0.22628664799142
1986,3,0.229348614489248
1986,4,0.230990502001502
1986,5,0.238611390825294
1986,6,0.243199612542293
1986,7,0.257565317387368
1986,8,0.254035599339345
1986,9,0.230074383399819
1986,10,0.219851771680473
1986,11,0.226766166381804
1986,12,0.22481128540009
1987,1,0.228413710583963
1987,2,0.226652610830174
1987,3,0.215396110464168
1987,4,0.214329995472006
1987,5,0.195625992241314
1987,6,0.179364697610703
1987,7,0.194692022495627
1987,8,0.219366829530483
1987,9,0.20572054375677
1987,10,0.203745164537803
1987,11,0.203972029965201
1987,12,0.192566702009908
1988,1,0.117289741807046
1988,2,0.157796363321875
1988,3,0.160056896702345
1988,4,0.168782936664079
1988,5,0.164285458094171
1988,6,0.165827767205609
1988,7,0.167166043958821
1988,8,0.173884488688836
1988,9,0.182183095032337
1988,10,0.190395926516429
1988,11,0.202435107578304
1988,12,0.20213592386408
1989,1,0.203147174084406
1989,2,0.210041445216041
1989,3,0.203581989653187
1989,4,0.206642323333768
1989,5,0.208695258522966
1989,6,0.200746917932574
1989,7,0.204176537390792
1989,8,0.208542744903233
1989,9,0.203569829857935
1989,10,0.212354053426075
1989,11,0.215963935848544
1989,12,0.214271095828901
1990,1,0.240380886713525
1990,2,0.204655709089607
1990,3,0.199078593458046
1990,4,0.192247035765391
1990,5,0.172160300925758
1990,6,0.164758148465236
1990,7,0.158259852998534
1990,8,0.148324334387508
1990,9,0.157390314037135
1990,10,0.153714689143138
1990,11,0.158451863559782
1990,12,0.165547128204008
1991,1,0.162161537639043
1991,2,0.165243684390905
1991,3,0.157190070914274
1991,4,0.152061732503653
1991,5,0.136400955868009
1991,6,0.11889221212786
1991,7,0.131294963063567
1991,8,0.132931519278663
1991,9,0.139261641623784
1991,10,0.146599645801192
1991,11,0.179877593301491
1991,12,0.163438579674122
1992,1,0.150964381791365
1992,2,0.155681890657257
1992,3,0.167829905139712
1992,4,0.151835888727281
1992,5,0.179003739854599
1992,6,0.168314072737424
1992,7,0.160559704554188
1992,8,0.144422620456161
1992,9,0.154972578257436
1992,10,0.153863545933071
1992,11,0.164701249786744
1992,12,0.13161339068366
1993,1,0.183456977997193
1993,2,0.282186056299155
1993,3,0.247577322280138
1993,4,0.192958791559674
1993,5,0.212252490064811
1993,6,0.231484303602795
1993,7,0.237741684967271
1993,8,0.253292920508601
1993,9,0.233105304654881
1993,10,0.256458907025762
1993,11,0.241462735640542
1993,12,0.244403338984277
1994,1,0.242026594899745
1994,2,0.23983751859843
1994,3,0.243135023951997
1994,4,0.234200303215863
1994,5,0.236895923667705
1994,6,0.23322260577862
1994,7,0.245028632167738
1994,8,0.247133087492536
1994,9,0.243769385863768
1994,10,0.242243701521093
1994,11,0.229584463903091
1994,12,0.23166726364192
1995,1,0.212463262627441
1995,2,0.210159369223905
1995,3,0.213552304350032
1995,4,0.213962387566554
1995,5,0.20364065901716
1995,6,0.20032668730997
1995,7,0.213405472812042
1995,8,0.203724841264914
1995,9,0.189032964290377
1995,10,0.180967296011957
1995,11,0.191192822977265
1995,12,0.182382500682593
