"Year","Month","DiversityCoeff"
1984,1,-0.204134201302395
1984,2,-0.198529178932352
1984,3,-0.198930610224875
1984,4,-0.19703864735113
1984,5,-0.187829469267384
1984,6,-0.172256883542251
1984,7,-0.168513397820673
1984,8,-0.159649453246285
1984,9,-0.154804113789024
1984,10,-0.130544305156811
1984,11,-0.0798233753302873
1984,12,0.0778998500470587
1985,1,0.00519068557997641
1985,2,-0.0110595514992723
1985,3,-0.0143806935279247
1985,4,-0.00808425388407968
1985,5,0.0103547366180484
1985,6,0.0130157679567247
1985,7,0.00979691073693914
1985,8,0.00781730316670585
1985,9,0.0129390062838298
1985,10,0.0290601799142588
1985,11,0.0277973821661141
1985,12,0.0435266185871219
1986,1,0.0465747423923346
1986,2,0.0568034804432227
1986,3,0.056055955469514
1986,4,0.0465199849223456
1986,5,0.0635435374554429
1986,6,0.0734017098355712
1986,7,0.0814251988901016
1986,8,0.078121265394722
1986,9,0.0589295871991847
1986,10,0.0395655602586001
1986,11,0.0363793409875843
1986,12,0.0396549925185153
1987,1,0.0299362924155306
1987,2,0.0186850261151782
1987,3,0.0171202534796029
1987,4,0.0238573694839279
1987,5,0.0157115544339176
1987,6,0.00195340777584455
1987,7,0.020796554823124
1987,8,0.0242192013319081
1987,9,0.0208515164330539
1987,10,0.0246342677431853
1987,11,0.0163974269683343
1987,12,0.0156377662016997
1988,1,-0.00915725771428716
1988,2,-0.0027268628271316
1988,3,-0.00906891838089726
1988,4,-0.00250415886266113
1988,5,0.000321126510668411
1988,6,0.00112805379898043
1988,7,0.0063427184167984
1988,8,0.0131244909379427
1988,9,0.0212945461439677
1988,10,0.010373498765816
1988,11,0.00633990353205111
1988,12,0.0110764042543139
1989,1,-0.00122256028308911
1989,2,0.00250027689385131
1989,3,-0.000911693965432492
1989,4,-0.00336283319761816
1989,5,-0.0127378063543105
1989,6,0.000690382889627652
1989,7,0.00507272974687522
1989,8,0.0113566737363633
1989,9,0.00513713082643258
1989,10,0.0194179148835161
1989,11,0.0045314267030871
1989,12,0.0135477708330997
1990,1,0.0460175727982426
1990,2,0.00760345830194717
1990,3,0.00947055341422739
1990,4,0.00826056623485219
1990,5,0.00998850670322889
1990,6,0.0112862122764176
1990,7,0.0225106059356452
1990,8,0.030113537505992
1990,9,0.0341362632459567
1990,10,0.015955336076682
1990,11,0.0233103002018358
1990,12,0.0276341870634788
1991,1,0.0230165778822346
1991,2,0.0314812787411678
1991,3,0.0299984352929692
1991,4,0.0416692798471456
1991,5,0.0336835937814093
1991,6,0.00903681548955094
1991,7,0.04146188359892
1991,8,0.0310198410528215
1991,9,0.0409742775684542
1991,10,0.0501775906445851
1991,11,0.0831960699139114
1991,12,0.0754757491576172
1992,1,0.08911767908312
1992,2,0.105778783996135
1992,3,0.123174649223698
1992,4,0.112275636950297
1992,5,0.137104051724369
1992,6,0.12688423765495
1992,7,0.11679196883508
1992,8,0.122162358683855
1992,9,0.123151647112806
1992,10,0.115576015600788
1992,11,0.11261232758813
1992,12,0.0863863721918035
1993,1,0.0961856884330407
1993,2,0.136117075297013
1993,3,0.120453627439048
1993,4,0.0945139418041623
1993,5,0.102262587336849
1993,6,0.116197038049018
1993,7,0.121320344519525
1993,8,0.103809421973152
1993,9,0.0830413107339147
1993,10,0.115161173529482
1993,11,0.121307172190766
1993,12,0.127532114792674
1994,1,0.124440898787912
1994,2,0.11213160996518
1994,3,0.0963896754345246
1994,4,0.0841191021430159
1994,5,0.0903140263135923
1994,6,0.0935929430394613
1994,7,0.100129571322084
1994,8,0.0996311232841683
1994,9,0.0927928953203969
1994,10,0.0754443995416938
1994,11,0.0676172582266298
1994,12,0.0762635688372378
1995,1,0.0547273572570314
1995,2,0.0353814748470367
1995,3,0.0378334842944519
1995,4,0.0265875715574285
1995,5,0.0179301734275628
1995,6,0.0176145124877037
1995,7,0.0221044517112762
1995,8,0.00641439638752269
1995,9,-0.016328782099505
1995,10,-0.0251275685833397
1995,11,-0.0233436086818996
1995,12,-0.0225409454472969
1996,1,-0.0232976381545817
1996,2,-0.0297024144142716
1996,3,-0.0275435978084194
1996,4,-0.0219531278214306
1996,5,-0.0156195184819564
1996,6,-0.00639616845918823
1996,7,0.00671072044195742
1996,8,0.0013938371083125
1996,9,-0.0035480113137342
1996,10,0.00287028476993908
1996,11,0.00787279863485619
1996,12,0.00694967948355158
1997,1,0.0176363375266948
1997,2,0.0247831209370457
1997,3,0.0522590771018456
1997,4,0.0578789990923158
1997,5,0.0401015697258808
1997,6,0.0515533830639687
1997,7,0.0686584092553027
1997,8,0.0427128779918812
1997,9,0.0328013313507112
1997,10,0.0133864816424572
1997,11,0.0216787384626345
1997,12,0.0239536252399445
1998,1,0.0245016196469941
1998,2,0.0270830123429064
1998,3,0.0244216949036784
1998,4,0.0351612721621262
1998,5,0.0548614819258439
1998,6,0.048033388296203
1998,7,0.0399917951181484
1998,8,0.0417399621891255
1998,9,0.0418915042542721
1998,10,0.0432753763542955
1998,11,0.0407508703238076
1998,12,0.0395794288504982
1999,1,0.0326671305807594
1999,2,0.0558304526309876
1999,3,0.0601811224134017
1999,4,0.0292240219686921
1999,5,0.0312173306264898
1999,6,0.0268597183979826
1999,7,0.0312655265133006
1999,8,0.0387620288397777
1999,9,0.0474888959015601
1999,10,0.0608040090701624
1999,11,0.0570586179313082
1999,12,0.05552195778287
2000,1,0.068742825092004
2000,2,0.0461766784157111
2000,3,0.043564088537774
2000,4,0.043069083389992
2000,5,0.0413565717411501
2000,6,0.0383723656077059
2000,7,0.0271970980837691
2000,8,0.0155419569458662
2000,9,0.0156916538817731
2000,10,0.0283012387851406
2000,11,0.0394046921943209
2000,12,0.046170485853141
2001,1,0.0649783508820925
2001,2,0.070724266579773
2001,3,0.0769883096591936
2001,4,0.0838813774341263
2001,5,0.0898439190976333
2001,6,0.0777538722606438
2001,7,0.100452316302468
2001,8,0.105819079676129
2001,9,0.12901176432146
2001,10,0.123964734835504
2001,11,0.127969456962512
2001,12,0.126557206835
2002,1,0.129337310788173
2002,2,0.145083613788932
2002,3,0.138051073812724
2002,4,0.143582982384482
2002,5,0.136396614653036
2002,6,0.141781203280699
2002,7,0.150724458875453
2002,8,0.145002096374871
2002,9,0.127874908232024
2002,10,0.128138539348435
2002,11,0.110978289554827
2002,12,0.123730931417071
2003,1,0.13182005329477
2003,2,0.184307527021073
2003,3,0.155839817341872
2003,4,0.172791013060632
2003,5,0.161926951271682
2003,6,0.192292527274219
2003,7,0.199646389163532
2003,8,0.22315158641112
2003,9,0.218850433447303
