"Year","Month","DiversityCoeff"
1984,1,-0.0613459803162146
1984,2,-0.0517082705742815
1984,3,-0.0430961368872781
1984,4,-0.0508831924759712
1984,5,-0.0472505908409459
1984,6,-0.0522812634422453
1984,7,-0.0289096450744673
1984,8,-0.0300257251465094
1984,9,-0.0391861625830114
1984,10,-0.0479055456788194
1984,11,-0.0478157770407136
1984,12,-0.0440722427977725
1985,1,-0.0304116033524228
1985,2,-0.0757222874668557
1985,3,-0.0731211119394812
1985,4,-0.0755254228747281
1985,5,-0.0454248020260391
1985,6,-0.0569035305061991
1985,7,-0.0376102999550215
1985,8,-0.0249420937084178
1985,9,-0.00965993636723319
1985,10,0.00470111739343621
1985,11,0.000552918871326509
1985,12,0.0247944478731301
1986,1,0.0794185358338548
1986,2,0.0954031147870711
1986,3,0.1267198007612
1986,4,0.144916248857096
1986,5,0.145528878742096
1986,6,0.152303508603747
1986,7,0.15337629232356
1986,8,0.142304828537244
1986,9,0.132652288965673
1986,10,0.0870445524172963
1986,11,0.0630527978933171
1986,12,0.0542731379377897
1987,1,0.046912032316588
1987,2,0.00781935277596956
1987,3,-0.00167286592103096
1987,4,-0.00588187330630803
1987,5,-0.00707144455173886
1987,6,-0.0235448223792731
1987,7,-0.00983533119555417
1987,8,-4.63167515480621e-05
1987,9,-0.000353769076597569
1987,10,-0.0106108040812045
1987,11,-0.0275165678988934
1987,12,-0.0428222781513874
1988,1,-0.0705538944542523
1988,2,-0.0561029311309696
1988,3,-0.0346219066071094
1988,4,-0.0256706004444138
1988,5,-0.0165690072501897
1988,6,-0.0110014109389914
1988,7,-0.0301085662052927
1988,8,-0.0477942824269513
1988,9,-0.00392376494964767
1988,10,0.00966339783446215
1988,11,-0.00587790066560802
1988,12,0.00985512833881488
1989,1,0.00358758017429738
1989,2,0.00672027239134458
1989,3,-0.0114284024166421
1989,4,-0.00376638359407786
1989,5,0.0010369382864425
1989,6,-0.00389655304904304
1989,7,0.0138795813703101
1989,8,0.0205500609723012
1989,9,0.0125986717949988
1989,10,0.023222228060334
1989,11,0.0141439037787964
1989,12,0.00945139625473145
1990,1,0.1301084639385
1990,2,0.0855991649708011
1990,3,0.0127283981277406
1990,4,0.0156370696372499
1990,5,0.0159906794202794
1990,6,0.0421819797747052
1990,7,0.0442923536562915
1990,8,0.0615099996703259
1990,9,0.0385215707488911
1990,10,0.0363902624241031
1990,11,0.0431229844188888
1990,12,0.055913277458717
1991,1,0.0752373257456991
1991,2,0.0822005865826533
1991,3,0.0694459974555888
1991,4,0.0838215017216717
1991,5,0.0809114511603359
1991,6,0.0640218533734604
1991,7,0.0768470419774312
1991,8,0.0541570857766164
1991,9,0.0584675575219143
1991,10,0.0677430095760186
1991,11,0.0776644230765553
1991,12,0.0623567226208895
1992,1,0.0663650137987638
1992,2,0.052724445796234
1992,3,0.066064366157332
1992,4,0.0630556911287153
1992,5,0.0742293216957656
1992,6,0.0559584111552612
1992,7,0.0446724233806742
1992,8,0.0423472995849165
1992,9,0.0395647508075268
1992,10,0.0372092766824755
1992,11,0.0468020104488701
1992,12,0.0411356901069393
1993,1,0.0718518313449698
1993,2,0.176018720384676
1993,3,0.0535861068215123
1993,4,0.0102232641580442
1993,5,0.0412443541823143
1993,6,0.0638488723324639
1993,7,0.0800342517966651
1993,8,0.0623782830922239
1993,9,0.062471009017552
1993,10,0.0700505346627332
1993,11,0.0333513861757968
1993,12,0.019840225219704
1994,1,0.0274258101805046
1994,2,0.034980757786662
1994,3,0.0660089647863203
1994,4,0.0460061140533414
1994,5,0.034663941717693
1994,6,0.039288105374484
1994,7,0.0552390426668288
1994,8,0.0412509981834695
1994,9,0.0468596815302102
1994,10,0.0501995116374704
1994,11,0.0606644345084409
1994,12,0.091836386082906
1995,1,0.0744981263241241
1995,2,0.0596506918026952
1995,3,0.0663281253185343
1995,4,0.0662709112567
1995,5,0.0622466925837855
1995,6,0.0699778524509235
1995,7,0.0860496807491274
1995,8,0.0613240078463836
1995,9,0.0386849396757658
1995,10,0.0185103376109271
1995,11,0.0280223463244659
1995,12,0.01797599025389
1996,1,0.0096309151204726
1996,2,-0.0105700333734396
1996,3,-0.00188248690189857
1996,4,0.0180377157138804
1996,5,0.00193494345611544
1996,6,0.0176578754457098
1996,7,-0.00509077583679233
1996,8,0.039263455311676
1996,9,0.0361049134917635
1996,10,0.0285522729971499
1996,11,0.0384984879381122
1996,12,0.0603182471696152
1997,1,0.0808531546570941
1997,2,0.133428236605285
1997,3,0.0972555320262074
1997,4,0.11947803880902
1997,5,0.120190068830467
1997,6,0.133892256008092
1997,7,0.127373951368612
1997,8,0.113355909772921
1997,9,0.114994467211198
1997,10,0.0928090222631627
1997,11,0.0997987596229063
1997,12,0.0990460028574762
1998,1,0.118376050848342
1998,2,0.109120469233749
1998,3,0.136393983346205
1998,4,0.14193145663094
1998,5,0.146558070495041
1998,6,0.142650378337279
1998,7,0.125332208325269
1998,8,0.122534176405054
1998,9,0.115833493628167
1998,10,0.110605958134464
1998,11,0.0866833648438763
1998,12,0.103136820247402
1999,1,0.104903182508261
1999,2,0.097022077864967
1999,3,0.0950559149363239
1999,4,0.0579627372233842
1999,5,0.0385999111100954
1999,6,0.0374782557101445
1999,7,0.0564661948082207
1999,8,0.0620291350441111
1999,9,0.0919225312458191
1999,10,0.104150579108872
1999,11,0.113097281684613
1999,12,0.123055283410932
2000,1,0.213404443373557
2000,2,0.0993685499468933
2000,3,0.108253491566357
