"Year","Month","DiversityCoeff"
1984,1,-0.0553457108118395
1984,2,-0.0645126480947897
1984,3,-0.0492829253742037
1984,4,-0.0560592856939446
1984,5,-0.0592590237021589
1984,6,-0.0580992685447857
1984,7,-0.0559007292839533
1984,8,-0.0477678420890309
1984,9,-0.0568814685966832
1984,10,-0.0601940303316836
1984,11,-0.050548623503583
1984,12,-0.0483756098821057
1985,1,-0.0639404815402428
1985,2,-0.072688610163286
1985,3,-0.0700588671057418
1985,4,-0.0611669396858764
1985,5,-0.0595869636630005
1985,6,-0.0675662831287639
1985,7,-0.0567854222877916
1985,8,-0.0569677362443207
1985,9,-0.0606324406747143
1985,10,-0.0437758283960226
1985,11,-0.0480811135233355
1985,12,-0.0595724514453299
1986,1,-0.0398392224974152
1986,2,-0.0270419806889075
1986,3,-0.0180968102198301
1986,4,0.00614245209985999
1986,5,0.0150516194211918
1986,6,0.0178928494133133
1986,7,0.0108256687511286
1986,8,0.0154861517720735
1986,9,0.00571403939507906
1986,10,-0.0225458570463588
1986,11,-0.00495334638329313
1986,12,-0.00434730811203344
1987,1,-0.0134673682060098
1987,2,0.0119740225245525
1987,3,-0.000660449225383674
1987,4,0.0192958499527373
1987,5,0.0283996943969
1987,6,0.0291933373002587
1987,7,0.0374053942323455
1987,8,0.00454656726090567
1987,9,0.0145737672402334
1987,10,-0.0032704452647495
1987,11,-0.0100922301934411
1987,12,-0.00466849028161121
1988,1,0.00557370587795671
1988,2,-0.00420708479021663
1988,3,-0.00678237051817216
1988,4,-0.0222306703531566
1988,5,-0.0189218845303814
1988,6,-0.0187417457157363
1988,7,-0.029130452287241
1988,8,-0.0667526937568174
1988,9,-0.087565435567849
1988,10,-0.098510763392048
1988,11,-0.121299813984924
1988,12,-0.123123975761561
1989,1,-0.129778463661187
1989,2,-0.116834349930821
1989,3,-0.106068741909179
1989,4,-0.116750837259272
1989,5,-0.0999680742056265
1989,6,-0.112344179215687
1989,7,-0.0958365165740571
1989,8,-0.105888728492148
1989,9,-0.104642943310976
1989,10,-0.111879309504489
1989,11,-0.108008499861172
1989,12,-0.109358838248776
1990,1,-0.0926402983910588
1990,2,-0.0929740191122366
1990,3,-0.0950255627315581
1990,4,-0.0985112810080526
1990,5,-0.0812933001463553
1990,6,-0.0700288230336026
1990,7,-0.0556534096973489
1990,8,-0.0451138845292876
1990,9,-0.0690216406734197
1990,10,-0.0616903914579376
1990,11,-0.0737064175017351
1990,12,-0.0868279222155582
1991,1,-0.0823338023234202
1991,2,-0.0779142220137281
1991,3,-0.0815831702443861
1991,4,-0.0867136673824228
1991,5,-0.0833078487331494
1991,6,-0.081511964872362
1991,7,-0.0906689923963244
1991,8,-0.0511431477991523
1991,9,-0.0271082418908286
1991,10,-0.0179584830789798
1991,11,-0.010169725522842
1991,12,-0.0401477250483818
1992,1,-0.00438469344461563
1992,2,-0.0169696062222367
1992,3,-0.0142753581049733
1992,4,-0.0395770169652446
1992,5,-0.0393525763661889
1992,6,-0.0392186009597741
1992,7,-0.00973796176103825
1992,8,-0.0193407806426645
1992,9,-0.0205452733354879
1992,10,-0.0325513220185591
1992,11,-0.0178022823080253
