"Year","Month","DiversityCoeff"
1984,1,-0.0614423890457537
1984,2,-0.0729487399855822
1984,3,-0.0657509439035816
1984,4,-0.0625459542177519
1984,5,-0.0736094804501181
1984,6,-0.0828329646103166
1984,7,-0.0707648476710911
1984,8,-0.071787277275757
1984,9,-0.06949732754631
1984,10,-0.0745889478487526
1984,11,-0.0621919699318497
1984,12,-0.0585840131937213
1985,1,-0.0826491790823042
1985,2,-0.104230299868872
1985,3,-0.100972109292585
1985,4,-0.0971476024810435
1985,5,-0.112007670532135
1985,6,-0.117226339221632
1985,7,-0.10961755589719
1985,8,-0.0958760894944268
1985,9,-0.0829739766077519
1985,10,-0.0769707876366175
1985,11,-0.0773262571348482
1985,12,-0.0933154208453844
1986,1,-0.0777853056332284
1986,2,-0.0661580923558639
1986,3,-0.0507802179967728
1986,4,-0.0449932783153856
1986,5,-0.0458984994876162
1986,6,-0.0618117034734957
1986,7,-0.0524053333872031
1986,8,-0.0465628941993235
1986,9,-0.0627832294715037
1986,10,-0.0642343933467481
1986,11,-0.0534268642653677
1986,12,-0.0482899732588198
1987,1,-0.0506525876585309
1987,2,-0.035375803001649
1987,3,-0.0504554885199612
1987,4,-0.018074744412991
1987,5,-0.0270919207628371
1987,6,-0.0251689542624399
1987,7,-0.0200478079014822
1987,8,-0.0267864954238214
1987,9,-0.0465655286896509
1987,10,-0.0494254955221104
1987,11,-0.0464170957554376
1987,12,-0.0546040213324777
1988,1,-0.0372925897803033
1988,2,-0.0388614983715754
1988,3,-0.0358835490909932
1988,4,-0.0527757167985475
1988,5,-0.0476091482593477
1988,6,-0.038992324048252
1988,7,-0.0463240134860224
1988,8,-0.0458712440321884
1988,9,-0.0856735113616192
1988,10,-0.0946934323086178
1988,11,-0.104204669394275
1988,12,-0.101213095760567
1989,1,-0.105056454550661
1989,2,-0.0934951595245605
1989,3,-0.0877256669545022
1989,4,-0.105650358412289
1989,5,-0.105165124668093
1989,6,-0.100664777649401
1989,7,-0.101622268367253
1989,8,-0.115766347577901
1989,9,-0.11832773522538
1989,10,-0.125661366031921
1989,11,-0.131946661713992
