"Year","Month","DiversityCoeff"
1984,1,0.0939666323991621
1984,2,0.0997428387272935
1984,3,0.100982205080323
1984,4,0.0846988148978366
1984,5,0.0951769675703639
1984,6,0.111329490573323
1984,7,0.107277625939543
1984,8,0.111696053104826
1984,9,0.106028885457023
1984,10,0.112418004553261
1984,11,0.117283786013405
1984,12,0.110868269921167
1985,1,0.109571722670659
1985,2,0.106793979298482
1985,3,0.112999284934142
1985,4,0.114498866338393
1985,5,0.133648926801864
1985,6,0.14067024231033
1985,7,0.128075555478648
1985,8,0.131172504378372
1985,9,0.138615210839453
1985,10,0.138049594016289
1985,11,0.133342777051779
1985,12,0.144216131402214
1986,1,0.112981175199262
1986,2,0.139788766188967
1986,3,0.15464002793139
1986,4,0.163520547017429
1986,5,0.156207243663881
1986,6,0.161606493314372
1986,7,0.171321057672579
1986,8,0.139088145063519
1986,9,0.142050095131774
1986,10,0.134712708769018
1986,11,0.128319189780035
1986,12,0.125964286125791
1987,1,0.121004862409227
1987,2,0.122356165691289
1987,3,0.132846552161176
1987,4,0.122054531601583
1987,5,0.125082193979595
1987,6,0.125749630783561
1987,7,0.145466007889611
1987,8,0.115672205994868
1987,9,0.0980410982425471
1987,10,0.0871251239483195
1987,11,0.0872113165324894
1987,12,0.0949965780181645
1988,1,0.0923411208531831
1988,2,0.0785708616488101
1988,3,0.0758573216979359
1988,4,0.0706832517418211
1988,5,0.0652879142562175
1988,6,0.0539714590103608
1988,7,0.0493487554957177
1988,8,0.0465059460590002
1988,9,0.0419711100459626
1988,10,0.0359958442151369
1988,11,0.0384205912365796
1988,12,0.0445110172010816
1989,1,0.0490031316353991
1989,2,0.0780503774698118
1989,3,0.072723752530127
1989,4,0.065783861623136
1989,5,0.048689878021375
1989,6,0.0421726557196448
1989,7,0.057387962510792
1989,8,0.0638525600513357
1989,9,0.0674599096323944
1989,10,0.0623294652628094
1989,11,0.0749441523826433
1989,12,0.089721192532959
1990,1,0.0909655210973333
1990,2,0.0930264689634555
1990,3,0.0795055373623708
1990,4,0.101673150133645
1990,5,0.127284711477591
1990,6,0.0905865032727725
1990,7,0.0832594204216529
1990,8,0.0786382280234471
1990,9,0.0680012292303852
1990,10,0.0750462074668817
1990,11,0.0707008556411939
1990,12,0.0751194339301711
1991,1,0.0804835283316462
1991,2,0.0934157096999879
1991,3,0.0785334849773584
1991,4,0.0621047803756189
1991,5,0.0489229091024123
1991,6,0.0454274013521123
1991,7,0.0512317175824667
1991,8,0.042292400410913
1991,9,0.0453699785316208
1991,10,0.0468617258672997
1991,11,0.0502586165617433
1991,12,0.0603140327176329
1992,1,0.0792615224949388
1992,2,0.0657459601507018
1992,3,0.0729362610170891
1992,4,0.0917523694891913
1992,5,0.104089556257525
1992,6,0.114419616694478
1992,7,0.101919721401771
1992,8,0.113169896655265
1992,9,0.104672610103543
1992,10,0.107707512535678
1992,11,0.108998020814839
1992,12,0.108666996179127
1993,1,0.101665423450002
1993,2,0.114672494690345
1993,3,0.115100193968878
1993,4,0.0973587813318705
1993,5,0.079898640577994
1993,6,0.0851719948678683
1993,7,0.0830688302774753
1993,8,0.0974710704112911
1993,9,0.0931856757903661
1993,10,0.0884336514606027
1993,11,0.0915375856080144
1993,12,0.0852843673918817
1994,1,0.0829147854006986
1994,2,0.0683879368751378
1994,3,0.0610991961367994
1994,4,0.0665650596593999
1994,5,0.0590696758466424
1994,6,0.0688043675041005
1994,7,0.0601169784679024
1994,8,0.058073295971639
1994,9,0.0651728236388615
1994,10,0.0653304454929176
1994,11,0.0679706996039744
1994,12,0.064029254132654
1995,1,0.0590029695877132
1995,2,0.0578388745732054
1995,3,0.0461559900638366
1995,4,0.0549432075157511
1995,5,0.0730414225001377
1995,6,0.0651168525570659
1995,7,0.0659098482925882
1995,8,0.0552361137519404
1995,9,0.0632707654080743
1995,10,0.0578767079008375
1995,11,0.0430226913310226
1995,12,0.0523238532401706
1996,1,0.0561051873700756
1996,2,0.0475002424122565
1996,3,0.0613888040296865
1996,4,0.0622662974021922
1996,5,0.0378668441066118
1996,6,0.0238061447153442
1996,7,0.0269382036950611
1996,8,0.0319116805621168
1996,9,0.0243752469678782
1996,10,0.0130186077526239
1996,11,0.0205463267518051
1996,12,0.0283226194135827
1997,1,0.0110559709885585
1997,2,0.015960941166904
1997,3,0.0195654134165997
1997,4,0.0397130213324214
1997,5,0.027380249592699
1997,6,0.0566518884291869
1997,7,0.0474280388067645
1997,8,0.0337891355414056
1997,9,0.0509227483893279
1997,10,0.0507151294565308
1997,11,0.039147075737922
1997,12,0.0454321125438141
1998,1,0.0429138648420256
1998,2,0.039504921347772
1998,3,0.0423908822439993
1998,4,0.0176202035837794
1998,5,0.00531941045780455
1998,6,0.0216808229927176
1998,7,0.0107236659813343
1998,8,0.0107750581388026
1998,9,0.0400575098460401
1998,10,0.0141649378281497
1998,11,0.0147663088141548
1998,12,0.010270920175409
1999,1,0.00795554000736912
1999,2,0.0137846608010464
1999,3,0.0189055156068783
1999,4,0.0170434350816455
1999,5,0.0347213236353719
1999,6,0.0584666788473189
1999,7,0.0603451598376416
1999,8,0.0707407281156356
1999,9,0.0926918347605788
1999,10,0.0992958278460263
1999,11,0.091417297523763
1999,12,0.0980264065010777
2000,1,0.0899144484971958
2000,2,0.0766855364505192
2000,3,0.0903508638157497
2000,4,0.0717044437396857
2000,5,0.0713566615589518
2000,6,0.0467150304786581
2000,7,0.0606506831809183
2000,8,0.0510139704145825
2000,9,0.0391185492498584
2000,10,0.0375115797585901
2000,11,0.0343403387456855
2000,12,0.0348290527643091
2001,1,0.0382434563806395
2001,2,0.026024978288842
2001,3,0.0194259248857055
2001,4,0.047574562199851
2001,5,0.0560180602260333
2001,6,0.0405638975334833
2001,7,0.0673444927626257
2001,8,0.0702686817833269
2001,9,0.0272672196666756
2001,10,0.0150544791042003
2001,11,0.0174098088430068
2001,12,0.0236838200730589
2002,1,0.0228652590114538
2002,2,0.0192027579104144
2002,3,0.0218736934735587
2002,4,0.025343134417737
2002,5,0.0164295870179577
2002,6,0.0281257255307376
2002,7,0.0299332750236917
2002,8,0.0254452454654474
2002,9,0.042974382104494
2002,10,0.0483405654713231
2002,11,0.0683693084447264
2002,12,0.0642626252879212
2003,1,0.0815808069619758
2003,2,0.0892509890562813
2003,3,0.0893267473118037
2003,4,0.0902502365575402
2003,5,0.0899862595489323
2003,6,0.0734263217141163
2003,7,0.10335259242287
2003,8,0.0983386401666542
2003,9,0.122689717835828
2003,10,0.0922974864771139
2003,11,0.0695311531048928
2003,12,0.0655857977814749
2004,1,0.0816035191947579
2004,2,0.0815994353570134
2004,3,0.0742943827778934
2004,4,0.0694957623689665
2004,5,0.0718633916937056
2004,6,0.094290901052228
2004,7,0.0840475190099573
2004,8,0.0896745605665148
2004,9,0.0924795164122655
2004,10,0.107015889671145
2004,11,0.106675086930421
2004,12,0.0982595155571321
2005,1,0.0740841277532943
2005,2,0.0889592089558155
2005,3,0.101623275480437
2005,4,0.0953469506148159
2005,5,0.103894530406778
2005,6,0.0814705831977501
2005,7,0.0743057831531718
2005,8,0.0848042929766868
2005,9,0.0803346956918229
2005,10,0.0899084360644913
2005,11,0.0973792064568645
2005,12,0.115705771778175
2006,1,0.135137113026728
2006,2,0.136816437190597
2006,3,0.12727604778395
2006,4,0.135919326426634
2006,5,0.160565139283683
2006,6,0.157119484084409
2006,7,0.138824115017624
2006,8,0.14640307488021
2006,9,0.120710675099586
2006,10,0.120144656334823
2006,11,0.130796994748334
2006,12,0.151982296658764
2007,1,0.141235611616689
2007,2,0.152615789681621
2007,3,0.173363601110565
2007,4,0.170026319548158
2007,5,0.160512718807798
2007,6,0.17800024130055
2007,7,0.177340255801215
2007,8,0.157903376172872
2007,9,0.144692016511191
2007,10,0.135309849294991
2007,11,0.141340569903737
2007,12,0.136254912071116
2008,1,0.140784485996602
2008,2,0.137568319828928
2008,3,0.133989068739279
2008,4,0.14310692598835
2008,5,0.131403935778443
2008,6,0.123223921917866
2008,7,0.110313268503056
2008,8,0.121145484824881
2008,9,0.129082975910559
2008,10,0.145380378863592
2008,11,0.125276199771841
2008,12,0.138602241450816
2009,1,0.13592565213126
2009,2,0.148227358709596
2009,3,0.137724453828232
2009,4,0.138492167607092
2009,5,0.120802519071355
2009,6,0.124093965802125
2009,7,0.109540436929438
2009,8,0.103193157302706
2009,9,0.115123872648563
2009,10,0.136611752293357
2009,11,0.123811198639751
2009,12,0.123339393919025
2010,1,0.145596833033329
2010,2,0.119033879868157
2010,3,0.139302281790414
2010,4,0.107672721686475
2010,5,0.0829714518935384
2010,6,0.0676521159882769
2010,7,0.0687163989031679
2010,8,0.0483785030458704
2010,9,0.0585199640244651
2010,10,0.0795178224593376
2010,11,0.0696368049949198
2010,12,0.0687197775929632
2011,1,0.0725292137072972
2011,2,0.0733362537603048
2011,3,0.0772787935246348
2011,4,0.0981762975065069
2011,5,0.0968099365988209
2011,6,0.103051725840267
2011,7,0.124861472566333
2011,8,0.135052797647597
2011,9,0.12219174128876
2011,10,0.128798274535381
2011,11,0.130548963957216
2011,12,0.127418311428773
2012,1,0.130598669291383
2012,2,0.118118282589168
2012,3,0.110443398462495
2012,4,0.0933972161214534
2012,5,0.101442499208853
2012,6,0.113950998281883
2012,7,0.138879395748499
2012,8,0.165521663390753
2012,9,0.152838543467396
2012,10,0.142404388426833
2012,11,0.147178658123789
2012,12,0.122886444184514
2013,1,0.112940403240188
2013,2,0.117741224537071
2013,3,0.112241504920371
2013,4,0.125756459687381
2013,5,0.109940041838139
2013,6,0.118899699944203
2013,7,0.137388774553535
2013,8,0.1433635044091
2013,9,0.118308868855468
2013,10,0.108022465661645
2013,11,0.11760517935647
2013,12,0.118536914607506
2014,1,0.130105184682653
2014,2,0.129575715298665
2014,3,0.143918519708283
2014,4,0.129308425946981
2014,5,0.124848462598752
2014,6,0.11580038117049
2014,7,0.113553551349454
2014,8,0.117954363095495
2014,9,0.10925418352569
2014,10,0.116234136085824
2014,11,0.115876195751421
2014,12,0.12772740190635
2015,1,0.134436580051246
2015,2,0.13198073809258
2015,3,0.117874713642487
2015,4,0.126011841116538
2015,5,0.116752486817546
2015,6,0.129651689037152
2015,7,0.115129186304195
2015,8,0.0997499023767059
2015,9,0.10290739263925
2015,10,0.100159727201838
2015,11,0.102200914585673
2015,12,0.120599928236316
2016,1,0.109090527032091
2016,2,0.0782115836743394
2016,3,0.0555104022187232
