"Year","Month","DiversityCoeff"
1984,1,0.0973061328309961
1984,2,0.114212445489412
1984,3,0.117659455252466
1984,4,0.101127014469265
1984,5,0.11137901529815
1984,6,0.0940831461667613
1984,7,0.116560747970611
1984,8,0.111846907004757
1984,9,0.107448092654329
1984,10,0.0775376904250904
1984,11,0.0710478756480011
1984,12,0.0586181722368505
1985,1,0.0906679664520303
1985,2,0.0745774782972471
1985,3,0.0774346022976958
1985,4,0.0791644427827109
1985,5,0.0918993690246466
1985,6,0.0924838088183493
1985,7,0.0795033812188586
1985,8,0.0961515733970327
1985,9,0.100579549304359
1985,10,0.114720483665108
1985,11,0.113966896563947
1985,12,0.125802583363499
1986,1,0.148069562685768
1986,2,0.153271818026684
1986,3,0.168977172970351
1986,4,0.167945986605117
1986,5,0.17823629722918
1986,6,0.181110508219921
1986,7,0.190524063526107
1986,8,0.179931335600961
1986,9,0.174411175385809
1986,10,0.167354069401637
1986,11,0.190652732445457
1986,12,0.18215541833206
1987,1,0.189227477285314
1987,2,0.162437302688021
1987,3,0.153109402792064
1987,4,0.153036511332869
1987,5,0.152712780313642
1987,6,0.153369914032003
1987,7,0.159386708682573
1987,8,0.168607515916737
1987,9,0.167939505240178
1987,10,0.158440172908556
1987,11,0.153650128167447
1987,12,0.140126454260771
1988,1,0.130413996638277
1988,2,0.167864030139352
1988,3,0.169961911894346
1988,4,0.163271961316854
1988,5,0.179910344416052
1988,6,0.19534231816525
1988,7,0.176421774072156
1988,8,0.155224849533181
1988,9,0.184146694153667
1988,10,0.197254757213511
1988,11,0.206934982563706
1988,12,0.212283226888006
1989,1,0.16362085815995
1989,2,0.129479005801455
1989,3,0.131870825383274
1989,4,0.1354968083004
1989,5,0.13919371613886
1989,6,0.129760973339701
1989,7,0.135184937305221
1989,8,0.147611848095933
1989,9,0.137051856402121
1989,10,0.159877706940167
1989,11,0.137707040827888
1989,12,0.121170111512299
1990,1,0.154240951616862
1990,2,0.114205183121044
1990,3,0.110969574108717
1990,4,0.110977222599981
1990,5,0.116107157731512
1990,6,0.139103561136442
1990,7,0.13637417138759
1990,8,0.149090761832267
1990,9,0.147242345940624
1990,10,0.153773023246517
1990,11,0.161671293750843
1990,12,0.163922137876563
1991,1,0.168267100305948
1991,2,0.193644180746621
1991,3,0.206852719743038
1991,4,0.211218267591487
1991,5,0.216580994638151
1991,6,0.204895766440255
1991,7,0.183647025767678
1991,8,0.165378607986477
1991,9,0.199325360133303
1991,10,0.225351344385818
