"Year","Month","DiversityCoeff"
1984,1,0.0240961978469677
1984,2,0.0276633551244602
1984,3,0.018820777312222
1984,4,-0.00343554879108165
1984,5,-0.00767386349291884
1984,6,-0.00992277466787379
1984,7,-0.00881966108541461
1984,8,-0.000412297368647865
1984,9,-0.0131242394829127
1984,10,-0.025027485483143
1984,11,-0.0272116308860096
1984,12,-0.0235449023397533
1985,1,0.000915609771291379
1985,2,-0.0351658821176316
1985,3,-0.0392921371366863
1985,4,-0.0310241228036318
1985,5,-0.00218014598076943
1985,6,-0.0217457546507676
1985,7,-0.027480924870461
1985,8,-0.0335502334033751
1985,9,-0.0177347698295806
1985,10,0.0105497403968351
1985,11,0.0174476082331698
1985,12,0.0513203479367339
1986,1,0.102889381699642
1986,2,0.11290883791602
1986,3,0.131555739567543
1986,4,0.129246800325203
1986,5,0.15114312041021
1986,6,0.186292791265521
1986,7,0.193399046419767
1986,8,0.139771194446512
1986,9,0.117292910925931
1986,10,0.0792256432005768
1986,11,0.073065682798191
1986,12,0.0645548402036456
1987,1,0.0474847745749758
1987,2,0.011913418380575
1987,3,0.0169770079012061
1987,4,0.0296862759134871
1987,5,0.0379090965367096
1987,6,0.0446070438554183
1987,7,0.0610272433747263
1987,8,0.0601999384388572
1987,9,0.0578569620660959
1987,10,0.0542789225215691
1987,11,0.0307611399430286
1987,12,0.00644747403499947
1988,1,-0.0169977004168929
1988,2,0.00798961325786549
1988,3,0.00253104682542087
1988,4,0.0166363771953419
1988,5,0.0231405067278735
1988,6,0.0317898936990045
1988,7,0.025729868449313
1988,8,0.0444536604331584
1988,9,0.0708802977005168
1988,10,0.0718233771942893
1988,11,0.074232730555185
1988,12,0.0824845301532896
1989,1,0.0714975156096851
1989,2,0.0760965825035184
1989,3,0.0982902464814736
1989,4,0.101771723339978
1989,5,0.107399218893057
1989,6,0.109771974948519
1989,7,0.123367582728234
1989,8,0.12358384120585
1989,9,0.111232480662066
1989,10,0.135441604714929
1989,11,0.11624803675713
1989,12,0.11589193198454
1990,1,0.147443294999393
1990,2,0.0879160547483908
1990,3,0.0631956134093865
1990,4,0.0488329236763436
1990,5,0.052043640370641
1990,6,0.071036858030991
1990,7,0.0748144487514872
1990,8,0.0899909895612767
1990,9,0.0999971549517384
1990,10,0.0854536622033197
1990,11,0.0860736368225535
1990,12,0.0937239285512277
1991,1,0.114517471570243
1991,2,0.148992715170078
1991,3,0.154941948964119
1991,4,0.165049959827849
1991,5,0.173976685484108
1991,6,0.181201594357078
1991,7,0.172845828746535
1991,8,0.15049777623399
1991,9,0.153037098750701
1991,10,0.188995294487816
1991,11,0.218300344662101
1991,12,0.19912701401541
1992,1,0.184948317314325
1992,2,0.154753171409403
1992,3,0.174885371518247
1992,4,0.156651438826419
1992,5,0.206566006198049
1992,6,0.21596344566545
1992,7,0.198616459396563
1992,8,0.196740586207617
1992,9,0.185433620292673
1992,10,0.175162358273969
1992,11,0.215924527070368
1992,12,0.176321081380708
1993,1,0.217132401063936
1993,2,0.235134505301923
1993,3,0.17223655716529
1993,4,0.13280584023824
1993,5,0.153270582738523
1993,6,0.176558582846209
1993,7,0.170021021675467
1993,8,0.159703506596375
1993,9,0.14845539328298
1993,10,0.18043800330361
1993,11,0.140387175374892
1993,12,0.143328095145978
1994,1,0.142424189567472
1994,2,0.116511992634614
1994,3,0.166324139067894
1994,4,0.141006739142738
1994,5,0.129438143012802
1994,6,0.141315688080742
1994,7,0.142178375813104
1994,8,0.139210024591992
1994,9,0.147711360885929
1994,10,0.137962577056753
1994,11,0.160117143058478
1994,12,0.195059683866765
1995,1,0.140803897065142
1995,2,0.106752796935367
1995,3,0.108629179177224
1995,4,0.109000865483887
1995,5,0.101253965253738
1995,6,0.113355585977025
1995,7,0.113907571834302
