"Year","Month","DiversityCoeff"
1985,1,0.0620312614234315
1985,2,0.0664429022179219
1985,3,0.0734087553891703
1985,4,0.0675759045843118
1985,5,0.068355806607157
1985,6,0.0870538442925554
1985,7,0.0854758887230726
1985,8,0.0895541134460109
1985,9,0.0993429154120057
1985,10,0.101398624673798
1985,11,0.0954375564926598
1985,12,0.101451137340508
1986,1,0.0940968908201998
1986,2,0.107081703200833
1986,3,0.0877927239349584
1986,4,0.0907701318392582
1986,5,0.074914716741254
1986,6,0.082330128058668
1986,7,0.110216781684876
1986,8,0.100954151305733
1986,9,0.11116628812774
1986,10,0.100398741338287
1986,11,0.107136695587011
1986,12,0.113977859382684
1987,1,0.118824375187989
1987,2,0.113658661161845
1987,3,0.108351627159047
1987,4,0.0998231525803573
1987,5,0.100458094247339
1987,6,0.0882561395602496
1987,7,0.106925876709216
1987,8,0.114187319604854
1987,9,0.118352716144012
1987,10,0.102560962686247
1987,11,0.0965236705946539
1987,12,0.10536169325843
1988,1,0.109759558232214
1988,2,0.110283763667366
1988,3,0.110643657966558
1988,4,0.109748494916783
1988,5,0.11968293296769
1988,6,0.129916250947624
1988,7,0.115442758375527
1988,8,0.124581376169648
1988,9,0.129156688731774
1988,10,0.118270138931785
1988,11,0.120487098198584
1988,12,0.120048297050565
1989,1,0.122400771921261
1989,2,0.123128300137609
1989,3,0.122534836883346
1989,4,0.128556770908977
1989,5,0.115986127910144
1989,6,0.114771476663531
1989,7,0.102432076294778
1989,8,0.11096343224026
1989,9,0.0953737298793305
1989,10,0.102952582985767
1989,11,0.105424731502871
1989,12,0.101633793683706
1990,1,0.0903644489917901
1990,2,0.100022831135069
1990,3,0.112697772899626
1990,4,0.0987612938786989
1990,5,0.120469404410627
1990,6,0.106882339610567
1990,7,0.123530400994831
1990,8,0.110477823962937
1990,9,0.0981503718949552
1990,10,0.0950935874497207
1990,11,0.0928593694569102
1990,12,0.0949625258265222
1991,1,0.101699952150171
1991,2,0.111142274517673
1991,3,0.106709578281479
1991,4,0.0968870262821513
1991,5,0.0877250552284234
1991,6,0.105915554947634
1991,7,0.11660076920402
1991,8,0.108408874008453
1991,9,0.103765545139114
1991,10,0.0967812616793846
1991,11,0.0972997733683335
1991,12,0.106883640203868
