"Year","Month","DiversityCoeff"
1985,1,-0.0260849804942814
1985,2,-0.0426611027008634
1985,3,-0.0367928825158164
1985,4,-0.0390471082773666
1985,5,-0.00262257582305395
1985,6,-0.0016771465198687
1985,7,0.0170127929557699
1985,8,0.0038355432128941
1985,9,0.0281064763043746
1985,10,0.0254571659560521
1985,11,0.022003612255738
1985,12,0.0364993179078593
1986,1,0.0560076321561347
1986,2,0.0701051541274543
1986,3,0.0381701956703003
1986,4,0.090340314331038
1986,5,0.045807791544728
1986,6,0.0477839667406744
1986,7,0.0699241928089197
1986,8,0.0924641255399256
1986,9,0.113736468125993
1986,10,0.106278489439318
1986,11,0.0988705766874604
1986,12,0.0878154745435917
1987,1,0.0861603670844008
1987,2,0.0941324863948081
1987,3,0.0893731864091918
1987,4,0.073854213921277
1987,5,0.0824245465845056
1987,6,0.0997098275876178
1987,7,0.0854347445648454
1987,8,0.0955914379108179
1987,9,0.105195744611643
1987,10,0.0761071891273141
1987,11,0.0957816587518941
1987,12,0.108880933962218
1988,1,0.0969323541805396
1988,2,0.0842869676666836
1988,3,0.0893575172003911
1988,4,0.0710733186173985
1988,5,0.0695668612196923
1988,6,0.0700283786862142
1988,7,0.0556592612477907
1988,8,0.075045321326914
1988,9,0.0719910073846576
1988,10,0.068618989188976
1988,11,0.0754326188580794
1988,12,0.0630006990317246
1989,1,0.0537800995943517
1989,2,0.0486722651030473
1989,3,0.0670214241869601
1989,4,0.0297430159860311
1989,5,0.0347590982548537
1989,6,0.0259205922298933
1989,7,0.0407250292861744
1989,8,0.034812368375078
1989,9,0.0596381490628698
1989,10,0.047439274769295
1989,11,0.0660140177036149
1989,12,0.0474267124614345
1990,1,0.0684047841134041
1990,2,0.086309394949723
1990,3,0.075384933005277
1990,4,0.0583932801278514
1990,5,0.0450761325919972
1990,6,0.0651860299998778
1990,7,0.0623754490071886
1990,8,0.0517008750046337
1990,9,0.0554172270213589
1990,10,0.0440246076064175
1990,11,0.0694246302541087
1990,12,0.076737656923129
1991,1,0.0408744732908844
1991,2,0.0649187248015584
1991,3,0.0663181045149615
1991,4,0.0506042736662797
1991,5,0.0507644509559129
1991,6,0.0632974809806273
1991,7,0.0688912640594578
1991,8,0.0712571568012378
1991,9,0.0296229555120788
1991,10,0.0109193125104154
1991,11,0.0243106492595046
1991,12,0.0161684116796757
1992,1,0.0177478076494962
1992,2,0.0346687137678074
1992,3,0.0467116570194483
1992,4,0.0620041951645284
