"Year","Month","DiversityCoeff"
1991,1,0.150926423052497
1991,2,0.136242538895404
1991,3,0.137680968310059
1991,4,0.116148235216216
1991,5,0.123718107681462
1991,6,0.116896621071264
1991,7,0.104489361865064
1991,8,0.0823646112664171
1991,9,0.108050282710122
1991,10,0.120335130632727
1991,11,0.145095246249865
1991,12,0.139389672678642
1992,1,0.11573932305283
1992,2,0.0866799254671405
1992,3,0.0524951791594305
1992,4,0.0441552781225493
1992,5,0.0572824710638677
1992,6,0.0460290480173059
1992,7,0.0345958563456109
1992,8,0.0105744334537673
1992,9,0.0284952435274009
1992,10,0.0239764611488082
1992,11,0.0124878608690464
1992,12,0.0283718042751043
1993,1,0.034262714806764
1993,2,0.0392087720192
1993,3,0.0374855285338035
1993,4,0.0416639633612683
1993,5,0.0451334989671423
1993,6,0.0484919684526851
1993,7,0.0677389669192711
1993,8,0.0634757154218501
1993,9,0.0667376466923313
1993,10,0.0653254829568658
1993,11,0.0574208113372767
1993,12,0.0652940570416324
1994,1,0.0703560016305212
1994,2,0.0685736887198563
1994,3,0.0866738681546858
1994,4,0.0944114736403012
1994,5,0.0935920386309018
1994,6,0.108996352302235
1994,7,0.134412465125427
1994,8,0.146929620858262
1994,9,0.172158057569258
1994,10,0.247957500214641
1994,11,0.278713079113793
1994,12,0.295049850662271
1995,1,0.283176651578691
1995,2,0.277479868658562
1995,3,0.283824216230992
1995,4,0.268111416741051
1995,5,0.273566341422467
1995,6,0.270698279729417
1995,7,0.250526179168549
1995,8,0.221310358939595
1995,9,0.238875323485913
1995,10,0.230156217121165
1995,11,0.215732856379357
1995,12,0.199312433360543
1996,1,0.179310060636152
1996,2,0.153587932971365
1996,3,0.14209844037083
1996,4,0.160340828824586
1996,5,0.145300163781275
1996,6,0.140755723299179
1996,7,0.116339714413386
1996,8,0.12231015920503
1996,9,0.121401320390868
1996,10,0.11149913676397
1996,11,0.0983158340180948
1996,12,0.0901391412047909
1997,1,0.0907972991673038
1997,2,0.0655526959457868
1997,3,0.0836904567588997
1997,4,0.0890492007963128
1997,5,0.0627072937128343
1997,6,0.051270642781198
1997,7,0.0336137682399057
1997,8,0.0556934099216883
1997,9,0.080822449564017
1997,10,0.0799085119510682
