"Year","Month","DiversityCoeff"
1991,1,0.209043747657187
1991,2,0.201595169309127
1991,3,0.205867797651162
1991,4,0.215322978669317
1991,5,0.223543367714017
1991,6,0.224081224153416
1991,7,0.23798110733643
1991,8,0.216662208642449
1991,9,0.205878825016096
1991,10,0.218467199096269
1991,11,0.227133151865437
1991,12,0.207228297328562
1992,1,0.188433526783797
1992,2,0.184723323042488
1992,3,0.171518027261268
1992,4,0.176817227311804
1992,5,0.166788320676412
1992,6,0.137407040688529
1992,7,0.113792650038364
1992,8,0.0934316926374613
1992,9,0.168781635518765
1992,10,0.151204792554722
1992,11,0.153343699111114
1992,12,0.16400857742709
1993,1,0.156793578023043
1993,2,0.153900036714542
1993,3,0.108224342333179
1993,4,0.129344407569375
1993,5,0.0931722546531024
1993,6,0.101993457381163
1993,7,0.109111467097891
1993,8,0.0894579097837001
1993,9,0.122593880798687
1993,10,0.123076089543224
1993,11,0.118331926351681
1993,12,0.0875074753047048
1994,1,0.0920721108159832
1994,2,0.105409385180419
1994,3,0.123823877791214
1994,4,0.132004887937939
1994,5,0.154592271832002
1994,6,0.167514669603108
1994,7,0.203162187585198
1994,8,0.204519154234127
1994,9,0.236153045215767
1994,10,0.241166750841882
1994,11,0.265035666136554
1994,12,0.2700781277997
1995,1,0.271563660431646
1995,2,0.266242125368838
1995,3,0.277072603711456
1995,4,0.261986570031794
1995,5,0.257720893318851
1995,6,0.260166349640721
1995,7,0.26137513989692
1995,8,0.251429073215928
1995,9,0.233892716776394
1995,10,0.19744600089128
1995,11,0.195029617316003
1995,12,0.172005702352864
1996,1,0.15461946679349
1996,2,0.177364714394134
1996,3,0.191483222617113
1996,4,0.181461637876778
1996,5,0.181082179069646
1996,6,0.170215705336847
1996,7,0.166219583035531
1996,8,0.160607598700484
1996,9,0.159004116734407
1996,10,0.145020809494996
1996,11,0.141108864500043
1996,12,0.135566590800281
1997,1,0.109061456665727
1997,2,0.0798911970294186
1997,3,0.071487030639401
1997,4,0.0604946984006769
1997,5,0.0692611430907998
1997,6,0.06157744516983
1997,7,0.0661365053087396
1997,8,0.071882455683111
1997,9,0.064798025792873
1997,10,0.0654782542471959
1997,11,0.0675091821940845
1997,12,0.10412518660944
1998,1,0.122557333214753
1998,2,0.163278212675183
1998,3,0.175886833606766
1998,4,0.201059834908383
1998,5,0.220703980486198
1998,6,0.217404612432162
1998,7,0.220005537834969
1998,8,0.223367126730657
1998,9,0.218693583985835
1998,10,0.234261575385074
1998,11,0.257451307882031
1998,12,0.263176496623936
1999,1,0.257836084041186
1999,2,0.247265275972786
1999,3,0.249549183391913
1999,4,0.230368234960513
1999,5,0.230855658582211
1999,6,0.230878296424932
1999,7,0.23386153539472
1999,8,0.226318088176875
1999,9,0.227434919603416
1999,10,0.217741142819599
1999,11,0.227450059720095
1999,12,0.225081438363455
2000,1,0.237686579455788
2000,2,0.247092622189483
2000,3,0.249006650301651
2000,4,0.261284916345092
2000,5,0.251259587009148
2000,6,0.252756696895198
2000,7,0.242563250551716
2000,8,0.230003921573811
2000,9,0.238497446466914
2000,10,0.234941550220227
2000,11,0.235949087905211
2000,12,0.245766759398402
2001,1,0.257499476857455
2001,2,0.260879735616869
2001,3,0.258640014343556
2001,4,0.256744058142581
2001,5,0.254796492832254
2001,6,0.241378033388068
2001,7,0.222808896019058
2001,8,0.241292118946111
2001,9,0.236584842509798
2001,10,0.230923726206031
2001,11,0.230427246520203
2001,12,0.219824335876342
2002,1,0.230244554649668
2002,2,0.24223020575155
2002,3,0.249245387579137
2002,4,0.258264843771863
2002,5,0.262668364636965
2002,6,0.276844815576586
2002,7,0.271545481832316
2002,8,0.268816064579997
2002,9,0.292419453896981
2002,10,0.293810053673208
2002,11,0.298164602368677
2002,12,0.295538082680378
2003,1,0.282905615880753
2003,2,0.280630440143886
2003,3,0.280792741377125
2003,4,0.277245608064304
2003,5,0.281515392330973
2003,6,0.271880665779027
2003,7,0.289610299163499
2003,8,0.297990902683659
2003,9,0.294041431552272
2003,10,0.29804397123976
2003,11,0.301887523020337
2003,12,0.292620104964786
2004,1,0.282395963874865
2004,2,0.279833471771204
2004,3,0.270930429216002
2004,4,0.259330286282822
2004,5,0.246024946856024
2004,6,0.234251226931237
2004,7,0.231991962692562
2004,8,0.216947118131866
2004,9,0.226755165693381
2004,10,0.228329531933668
2004,11,0.210024829303248
2004,12,0.222566441190988
2005,1,0.20031344646961
2005,2,0.202843763527669
2005,3,0.206689848578048
2005,4,0.207727730584426
2005,5,0.217746306408028
2005,6,0.214230153038126
2005,7,0.220607022334187
2005,8,0.240217457970925
2005,9,0.241521343302001
2005,10,0.243234109449924
2005,11,0.238866116449718
2005,12,0.238808202752612
2006,1,0.23094097118456
2006,2,0.249603962109621
2006,3,0.239658433435168
2006,4,0.233070015462052
2006,5,0.233789912162032
2006,6,0.250442849626109
2006,7,0.258878062835544
2006,8,0.254867812662292
2006,9,0.255290554543785
2006,10,0.250976601360413
2006,11,0.248222618275197
2006,12,0.248929167909033
2007,1,0.276141654106827
2007,2,0.270927672996265
2007,3,0.27244611893615
2007,4,0.280320194647983
2007,5,0.293491767504535
2007,6,0.300252853026947
2007,7,0.300913493663923
2007,8,0.299697223186403
2007,9,0.307620563264895
2007,10,0.308345530821471
2007,11,0.297407547391411
2007,12,0.289328069101017
2008,1,0.294551826088715
2008,2,0.282968028821194
2008,3,0.272873763209616
2008,4,0.278091892685511
2008,5,0.27844747287845
2008,6,0.278090873628235
2008,7,0.296352408695121
2008,8,0.263801932965083
2008,9,0.231139664566976
2008,10,0.197152445477397
2008,11,0.186068003992838
2008,12,0.155604064628413
2009,1,0.124812346109237
2009,2,0.121747438272784
2009,3,0.0993859882863679
2009,4,0.0585762425603854
2009,5,0.0570675236516649
2009,6,0.0389865592968338
2009,7,0.0319401463599803
2009,8,0.0419644515946277
2009,9,0.0519316084612645
2009,10,0.0534936590221567
2009,11,0.0791930826877273
2009,12,0.0714363838270575
2010,1,0.0607982106125261
2010,2,0.0655150807262175
2010,3,0.0940072934340843
2010,4,0.100993581431741
2010,5,0.0936080989297596
2010,6,0.0764168833773579
2010,7,0.0749077932257458
2010,8,0.0664850402016369
2010,9,0.0621365742136059
2010,10,0.0804633095233949
2010,11,0.0888020151420779
2010,12,0.0919448328816041
2011,1,0.0878901926691957
2011,2,0.100371166120516
2011,3,0.102476665237165
2011,4,0.10300986846251
2011,5,0.108890289904978
2011,6,0.0944227488816099
2011,7,0.0915506673522783
2011,8,0.0963385557586438
2011,9,0.0847821268959741
2011,10,0.0911576590180823
2011,11,0.0985448439796072
2011,12,0.119341724117033
2012,1,0.139316878952432
2012,2,0.156013375287776
2012,3,0.173937597022399
2012,4,0.19366989219612
2012,5,0.207086014025187
2012,6,0.204306122004795
2012,7,0.198811508071834
2012,8,0.182969515489109
2012,9,0.195806296045657
2012,10,0.203221377671482
2012,11,0.173338434913704
2012,12,0.165539467586633
2013,1,0.163428900303195
2013,2,0.173920598960307
2013,3,0.167468909525106
2013,4,0.179021904183293
2013,5,0.171841726726108
2013,6,0.180145857819056
2013,7,0.177886642150828
2013,8,0.184100832890396
2013,9,0.188805811613373
2013,10,0.194760839694993
2013,11,0.204897435292595
2013,12,0.210164494954916
2014,1,0.233494716422795
2014,2,0.264712667166252
2014,3,0.269363871449096
2014,4,0.279588712732444
2014,5,0.272355165841634
2014,6,0.275857408134631
2014,7,0.273418405885951
2014,8,0.282866047763428
2014,9,0.278327448122694
2014,10,0.29389226036989
2014,11,0.309511087747679
2014,12,0.312646408627861
2015,1,0.320112130982946
2015,2,0.33181786786805
2015,3,0.350644719251055
2015,4,0.353737196407842
2015,5,0.33358695109525
2015,6,0.330413522493232
2015,7,0.306641725019065
2015,8,0.315921090765279
2015,9,0.300180357768832
2015,10,0.290967187541246
2015,11,0.272421820042068
2015,12,0.270650439707431
2016,1,0.257330521498697
2016,2,0.243178803873636
2016,3,0.228266135392492
2016,4,0.202937513738543
2016,5,0.197671413304325
2016,6,0.186327095646238
2016,7,0.181539784315394
2016,8,0.196534076412677
2016,9,0.218265948109309
2016,10,0.229291251287516
2016,11,0.222725160651526
2016,12,0.228531116985143
NA,NA,0.303078820402237
