"Year","Month","DiversityCoeff"
1991,1,0.14716238906169
1991,2,0.139393862355392
1991,3,0.14280779961206
1991,4,0.145795310731419
1991,5,0.162298098395191
1991,6,0.160879074179887
1991,7,0.158608948563529
1991,8,0.151413819622055
1991,9,0.159976048231657
1991,10,0.190399959864674
1991,11,0.208673300007576
1991,12,0.207977356592427
1992,1,0.194376470595793
1992,2,0.175360800936391
1992,3,0.187462799936588
1992,4,0.152884123818663
1992,5,0.155448331886114
1992,6,0.172082299750531
1992,7,0.167570351858702
1992,8,0.155882749423187
1992,9,0.189893879620938
1992,10,0.184602543901421
1992,11,0.172114839402625
1992,12,0.183349135942579
1993,1,0.171631993853103
1993,2,0.162232257002175
1993,3,0.149145071394786
1993,4,0.154004129166631
1993,5,0.147843104332902
1993,6,0.156398911003248
1993,7,0.1490633838649
1993,8,0.159625776967334
1993,9,0.156927328666838
1993,10,0.134602224420087
1993,11,0.125941474409834
1993,12,0.132840962453971
1994,1,0.138219289686209
1994,2,0.149473849226879
1994,3,0.151123925884957
1994,4,0.143833953827115
1994,5,0.135852502439035
1994,6,0.147982525388564
1994,7,0.145208812446268
1994,8,0.128743920094085
1994,9,0.157908326294076
1994,10,0.172428527158858
1994,11,0.192324712055151
1994,12,0.182608534561914
1995,1,0.18635695601717
1995,2,0.187565928742682
1995,3,0.182157821352255
1995,4,0.16796342577759
1995,5,0.186547000828786
1995,6,0.182853097434768
1995,7,0.183211926094829
1995,8,0.180276887243947
1995,9,0.183652408977158
1995,10,0.196771716668169
1995,11,0.199926517665326
1995,12,0.206371156964104
1996,1,0.219622424535057
1996,2,0.219920672227999
1996,3,0.215026239010836
1996,4,0.234160522759032
1996,5,0.217178097084298
1996,6,0.223396691435935
1996,7,0.225921034145705
1996,8,0.237916340922766
1996,9,0.224465974677066
1996,10,0.195073224582309
1996,11,0.257826727338584
1996,12,0.261518556105172
1997,1,0.270428028737259
1997,2,0.264004386947099
1997,3,0.266311075207363
1997,4,0.263590852462149
1997,5,0.265911711743887
1997,6,0.272160295092233
1997,7,0.27164713736672
1997,8,0.27000257123076
1997,9,0.256948490750081
1997,10,0.249814675577461
1997,11,0.238508211669156
1997,12,0.236570267728634
1998,1,0.243016646530423
1998,2,0.209221785312162
1998,3,0.223022259148148
1998,4,0.219818037278429
1998,5,0.206356621876078
1998,6,0.211229179105998
1998,7,0.19511293083847
1998,8,0.21734512587381
1998,9,0.227274352748897
1998,10,0.232435791829452
1998,11,0.235937941244335
1998,12,0.236863159061756
1999,1,0.252094391460647
1999,2,0.240340439221625
1999,3,0.239611498926393
1999,4,0.257086098213433
1999,5,0.274246255406162
1999,6,0.257785100435074
1999,7,0.252149729517364
1999,8,0.241636999199816
1999,9,0.198931533860821
1999,10,0.202719935366688
1999,11,0.195452755003487
1999,12,0.208020226277397
2000,1,0.199002978235351
2000,2,0.192499287531006
2000,3,0.185373219274445
2000,4,0.219148023798753
2000,5,0.220274823379583
2000,6,0.211165575090859
2000,7,0.206785288285619
2000,8,0.231684684441245
2000,9,0.23464681254905
2000,10,0.257230120013949
2000,11,0.210554014036773
2000,12,0.213261756774893
2001,1,0.188463053482626
2001,2,0.225631542358346
2001,3,0.207770843161374
2001,4,0.206740855379729
2001,5,0.207008480358964
2001,6,0.198116414699065
2001,7,0.208768645039647
2001,8,0.224939058141897
2001,9,0.189582761749755
2001,10,0.191104364031477
2001,11,0.198902941676376
2001,12,0.249240585596195
2002,1,0.259171445795111
2002,2,0.266578609735101
2002,3,0.26624802613937
2002,4,0.257161572420431
2002,5,0.222930243146209
2002,6,0.251435330679145
2002,7,0.27083419008636
2002,8,0.275634382703524
2002,9,0.284823538020066
2002,10,0.286320575668377
2002,11,0.291499363280804
2002,12,0.279498265029111
2003,1,0.280733343974968
2003,2,0.304145125618561
2003,3,0.29733769185731
2003,4,0.284375045520623
2003,5,0.291830072514603
2003,6,0.279751499253917
2003,7,0.268305528975579
2003,8,0.273432510960218
2003,9,0.288226261944596
2003,10,0.287853711476129
2003,11,0.305923140416599
2003,12,0.274837268110488
2004,1,0.273819918867075
2004,2,0.28080325895713
2004,3,0.253998684952243
2004,4,0.278684193134664
2004,5,0.255466385877096
2004,6,0.254977884768057
2004,7,0.236185450349765
2004,8,0.254029746276981
2004,9,0.239188618907162
2004,10,0.24555753185851
2004,11,0.230293567577406
2004,12,0.2321807910477
2005,1,0.184901313708298
2005,2,0.194915024766318
2005,3,0.181762497579643
2005,4,0.203429025087571
2005,5,0.174409711961646
2005,6,0.17793570047068
2005,7,0.160636327403731
2005,8,0.167615710737834
2005,9,0.17473820215372
2005,10,0.197962424345529
2005,11,0.195072748089797
2005,12,0.187901630011056
2006,1,0.171296871399117
2006,2,0.172833956775063
2006,3,0.163174875165685
2006,4,0.130382543005336
2006,5,0.160279921347953
2006,6,0.11538000916209
2006,7,0.150569834232331
2006,8,0.153284524478771
2006,9,0.143920469216117
2006,10,0.165853977149121
2006,11,0.172970175221558
2006,12,0.160097897416057
2007,1,0.174890206038733
2007,2,0.174176282887542
2007,3,0.158255013084087
2007,4,0.162999019015755
2007,5,0.175501506614944
2007,6,0.174119009549198
2007,7,0.195974714313336
2007,8,0.191530940497192
2007,9,0.200603996662489
2007,10,0.209268506729811
2007,11,0.213030202987657
2007,12,0.224433878951671
2008,1,0.262139171473161
2008,2,0.265693495966465
2008,3,0.273057288850069
2008,4,0.274192688793829
2008,5,0.248816240088143
2008,6,0.267469346046872
2008,7,0.260652203215257
2008,8,0.291911414696106
2008,9,0.282037037739277
2008,10,0.251631679812509
2008,11,0.244398874003028
2008,12,0.256602493030289
2009,1,0.220080480033251
2009,2,0.208393851626024
2009,3,0.193517440155097
2009,4,0.196321454633624
2009,5,0.167536316248966
